gene,n_cells,cells,direction,theme,pathway
RPS25,4,"L6 IT Car3,Pvalb,Sncg,Sst",down,axon_guidance,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
RPS6,4,"L6 IT Car3,Pvalb,Sncg,Sst",down,axon_guidance,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
RPS8,4,"L6 IT Car3,Pvalb,Sncg,Sst",down,axon_guidance,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
ZSWIM8,4,"Micro-PVM,Pvalb,Sncg,Sst",down,axon_guidance,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
ABL1,3,"Pvalb,Sncg,Sst",down,axon_guidance,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
CDC42,3,"L6 IT Car3,Pvalb,Sst",down,axon_guidance,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
EIF4G1,3,"L6 IT Car3,Pvalb,Sst",down,axon_guidance,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
EVL,3,"L6 IT Car3,Pvalb,Sst",down,axon_guidance,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
FAU,3,"L6 IT Car3,Pvalb,Sst",down,axon_guidance,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
NCBP2,3,"Pvalb,Sncg,Sst",down,axon_guidance,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
NCK2,3,"Micro-PVM,Sncg,Sst",down,axon_guidance,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
PAK4,3,"Pvalb,Sncg,Sst",down,axon_guidance,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
PPP3CB,3,"Pvalb,Sncg,Sst",down,axon_guidance,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
PRKCA,3,"L6 IT Car3,Pvalb,Sst",down,axon_guidance,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
PSMA5,3,"Pvalb,Sncg,Sst",down,axon_guidance,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
PSMC1,3,"Pvalb,Sncg,Sst",down,axon_guidance,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
PSMC5,3,"Pvalb,Sncg,Sst",down,axon_guidance,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
PSMD1,3,"L6 IT Car3,Pvalb,Sncg",down,axon_guidance,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
PSMD2,3,"Pvalb,Sncg,Sst",down,axon_guidance,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
RBX1,3,"Pvalb,Sncg,Sst",down,axon_guidance,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
ROBO2,3,"L6 IT Car3,Sncg,Sst",down,axon_guidance,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
RPL19,3,"L6 IT Car3,Micro-PVM,Sst",down,axon_guidance,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
RPL27,3,"L6 IT Car3,Pvalb,Sst",down,axon_guidance,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
RPL3,3,"L6 IT Car3,Sncg,Sst",down,axon_guidance,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
RPL34,3,"L6 IT Car3,Pvalb,Sncg",down,axon_guidance,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
RPL35,3,"Micro-PVM,Sncg,Sst",down,axon_guidance,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
RPL35A,3,"L6 IT Car3,Pvalb,Sst",down,axon_guidance,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
RPL36,3,"Micro-PVM,Pvalb,Sst",down,axon_guidance,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
RPL36AL,3,"L6 IT Car3,Pvalb,Sncg",down,axon_guidance,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
RPL38,3,"L6 IT Car3,Sncg,Sst",down,axon_guidance,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
RPLP1,3,"L6 IT Car3,Micro-PVM,Pvalb",down,axon_guidance,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
RPS12,3,"Pvalb,Sncg,Sst",down,axon_guidance,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
RPS13,3,"Pvalb,Sncg,Sst",down,axon_guidance,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
RPS14,3,"L6 IT Car3,Micro-PVM,Sst",down,axon_guidance,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
RPS21,3,"Pvalb,Sncg,Sst",down,axon_guidance,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
RPS23,3,"L6 IT Car3,Pvalb,Sst",down,axon_guidance,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
RPS26,3,"L6 IT Car3,Pvalb,Sst",down,axon_guidance,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
RPS5,3,"Pvalb,Sncg,Sst",down,axon_guidance,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
RPS7,3,"L6 IT Car3,Pvalb,Sst",down,axon_guidance,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
SRGAP3,3,"L6 IT Car3,Pvalb,Sst",down,axon_guidance,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
