cell_type,pathway,NES,padj,gene
Chandelier,HALLMARK_MYC_TARGETS_V1,1.8940637717509088,0.0027107984511135384,CLNS1A
Chandelier,HALLMARK_MYC_TARGETS_V1,1.8940637717509088,0.0027107984511135384,RPL22
Chandelier,HALLMARK_MYC_TARGETS_V1,1.8940637717509088,0.0027107984511135384,HNRNPD
Chandelier,HALLMARK_MYC_TARGETS_V1,1.8940637717509088,0.0027107984511135384,PSMA1
Chandelier,HALLMARK_MYC_TARGETS_V1,1.8940637717509088,0.0027107984511135384,SSB
Chandelier,HALLMARK_MYC_TARGETS_V1,1.8940637717509088,0.0027107984511135384,COPS5
Chandelier,HALLMARK_MYC_TARGETS_V1,1.8940637717509088,0.0027107984511135384,EIF4H
Chandelier,HALLMARK_MYC_TARGETS_V1,1.8940637717509088,0.0027107984511135384,HNRNPR
Chandelier,HALLMARK_MYC_TARGETS_V1,1.8940637717509088,0.0027107984511135384,RRM1
Chandelier,HALLMARK_MYC_TARGETS_V1,1.8940637717509088,0.0027107984511135384,PABPC4
Chandelier,HALLMARK_MYC_TARGETS_V1,1.8940637717509088,0.0027107984511135384,SNRPB2
Chandelier,HALLMARK_MYC_TARGETS_V1,1.8940637717509088,0.0027107984511135384,XPO1
Chandelier,HALLMARK_MYC_TARGETS_V1,1.8940637717509088,0.0027107984511135384,TRA2B
Chandelier,HALLMARK_MYC_TARGETS_V1,1.8940637717509088,0.0027107984511135384,GLO1
Chandelier,HALLMARK_MYC_TARGETS_V1,1.8940637717509088,0.0027107984511135384,BUB3
Chandelier,HALLMARK_MYC_TARGETS_V1,1.8940637717509088,0.0027107984511135384,SRSF3
Chandelier,HALLMARK_MYC_TARGETS_V1,1.8940637717509088,0.0027107984511135384,SYNCRIP
Chandelier,HALLMARK_MYC_TARGETS_V1,1.8940637717509088,0.0027107984511135384,PRPS2
Chandelier,HALLMARK_MYC_TARGETS_V1,1.8940637717509088,0.0027107984511135384,PABPC1
Chandelier,HALLMARK_MYC_TARGETS_V1,1.8940637717509088,0.0027107984511135384,COX5A
Chandelier,HALLMARK_MYC_TARGETS_V1,1.8940637717509088,0.0027107984511135384,ABCE1
Chandelier,HALLMARK_MYC_TARGETS_V1,1.8940637717509088,0.0027107984511135384,SF3A1
Chandelier,HALLMARK_MYC_TARGETS_V1,1.8940637717509088,0.0027107984511135384,HNRNPA3
Chandelier,HALLMARK_MYC_TARGETS_V1,1.8940637717509088,0.0027107984511135384,CDK4
Chandelier,HALLMARK_MYC_TARGETS_V1,1.8940637717509088,0.0027107984511135384,TOMM70
Chandelier,HALLMARK_MYC_TARGETS_V1,1.8940637717509088,0.0027107984511135384,HNRNPU
Chandelier,HALLMARK_MYC_TARGETS_V1,1.8940637717509088,0.0027107984511135384,PRPF31
Chandelier,HALLMARK_MYC_TARGETS_V1,1.8940637717509088,0.0027107984511135384,HNRNPC
Chandelier,HALLMARK_MYC_TARGETS_V1,1.8940637717509088,0.0027107984511135384,PA2G4
Endo,REACTOME_SIGNALING_BY_BMP,2.032540711876173,0.0940456892166285,SMAD7
Endo,REACTOME_SIGNALING_BY_BMP,2.032540711876173,0.0940456892166285,SMAD1
Endo,REACTOME_SIGNALING_BY_BMP,2.032540711876173,0.0940456892166285,FSTL1
Endo,REACTOME_SIGNALING_BY_BMP,2.032540711876173,0.0940456892166285,SMAD5
Endo,REACTOME_SIGNALING_BY_BMP,2.032540711876173,0.0940456892166285,SMAD9
Endo,REACTOME_SIGNALING_BY_BMP,2.032540711876173,0.0940456892166285,UBE2D1
Endo,REACTOME_SIGNALING_BY_BMP,2.032540711876173,0.0940456892166285,ACVR2A
Endo,REACTOME_TRANSLATION,1.8334425254945197,0.011503432497720215,RPN1
Endo,REACTOME_TRANSLATION,1.8334425254945197,0.011503432497720215,MRPS27
Endo,REACTOME_TRANSLATION,1.8334425254945197,0.011503432497720215,RPS29
Endo,REACTOME_TRANSLATION,1.8334425254945197,0.011503432497720215,RPS16
Endo,REACTOME_TRANSLATION,1.8334425254945197,0.011503432497720215,AIMP1
Endo,REACTOME_TRANSLATION,1.8334425254945197,0.011503432497720215,RPLP0
Endo,REACTOME_TRANSLATION,1.8334425254945197,0.011503432497720215,EEF1D
Endo,REACTOME_TRANSLATION,1.8334425254945197,0.011503432497720215,RPL37A
Endo,REACTOME_TRANSLATION,1.8334425254945197,0.011503432497720215,RPS2
Endo,REACTOME_TRANSLATION,1.8334425254945197,0.011503432497720215,GSPT1
Endo,REACTOME_TRANSLATION,1.8334425254945197,0.011503432497720215,RPS14
Endo,REACTOME_TRANSLATION,1.8334425254945197,0.011503432497720215,RPSA
Endo,REACTOME_TRANSLATION,1.8334425254945197,0.011503432497720215,RPL27
