source,term_name,term_id,p_value,term_size,intersection_size,query_set,cell_type,dir
GO:BP,regulation of synapse assembly,GO:0051963,0.13726655603855156,117,14,Astro|down,Astro,down
GO:BP,isoprenoid metabolic process,GO:0006720,0.13744837461859807,59,9,Astro|down,Astro,down
GO:BP,alcohol biosynthetic process,GO:0046165,0.13744837461859807,93,12,Astro|down,Astro,down
GO:BP,pallium development,GO:0021543,0.14017031205621333,130,15,Astro|down,Astro,down
GO:BP,fatty acid transport,GO:0015908,0.1445848935999705,49,8,Astro|down,Astro,down
GO:BP,biological regulation,GO:0065007,0.14482885300242124,7132,413,Astro|down,Astro,down
GO:BP,regulation of signaling receptor activity,GO:0010469,0.14508888782218152,21,5,Astro|down,Astro,down
GO:BP,carboxylic acid biosynthetic process,GO:0046394,0.14508888782218152,183,19,Astro|down,Astro,down
GO:BP,acyl-CoA metabolic process,GO:0006637,0.14508888782218152,71,10,Astro|down,Astro,down
GO:BP,positive regulation of lipid metabolic process,GO:0045834,0.14508888782218152,71,10,Astro|down,Astro,down
GO:BP,myotube differentiation,GO:0014902,0.14508888782218152,71,10,Astro|down,Astro,down
GO:BP,glial cell differentiation,GO:0010001,0.14518782518006035,170,18,Astro|down,Astro,down
GO:BP,voluntary musculoskeletal movement,GO:0050882,0.1474106292717806,7,3,Astro|down,Astro,down
GO:BP,positive regulation of astrocyte differentiation,GO:0048711,0.1474106292717806,7,3,Astro|down,Astro,down
GO:BP,organic acid biosynthetic process,GO:0016053,0.1474106292717806,184,19,Astro|down,Astro,down
GO:BP,alcohol metabolic process,GO:0006066,0.1474106292717806,211,21,Astro|down,Astro,down
GO:BP,nucleobase-containing small molecule metabolic process,GO:0055086,0.1474106292717806,442,37,Astro|down,Astro,down
GO:BP,regulation of gliogenesis,GO:0014013,0.1565906794840157,61,9,Astro|down,Astro,down
GO:BP,plasma membrane bounded cell projection organization,GO:0120036,0.1571716523396654,1127,80,Astro|down,Astro,down
GO:BP,regulation of biological quality,GO:0065008,0.1589422843979086,1783,119,Astro|down,Astro,down
GO:BP,cell projection organization,GO:0030030,0.1589422843979086,1161,82,Astro|down,Astro,down
GO:BP,regulation of cellular process,GO:0050794,0.16015409148168738,6688,389,Astro|down,Astro,down
