pathway,pval,padj,log2err,ES,NES,size,cell_type
Complex V (ATP syn),1.2580160019388276e-6,3.7740480058164828e-6,0.6435518361507222,-0.5181208932147775,-2.1527920878941664,76,Sst
Inner membrane,7.183670248827473e-7,3.2326516119723632e-6,0.6594443980379349,-0.3252282584695666,-1.683676216602823,397,Sst
Mito import / fold,0.007445724586566345,0.011168586879849517,0.1480567364697555,-0.3076825946687645,-1.4504717199074586,173,Sst
Mito translation,0.027376116978066613,0.03079813160032494,0.07798253493617367,-0.3117840270037321,-1.3914731145832027,117,Sst
TCA cycle,0.004099433057130397,0.008706556789681118,0.2113169008864272,-0.4771853832406464,-1.7260996878743364,39,Sst
Aerobic resp / OxPhos summary,0.5918144611186903,0.8307103730110426,0.019385269423165312,0.2565405816499455,0.9117207034732988,27,Sst Chodl
Complex I (NADH:UQ),0.8307103730110426,0.8307103730110426,0.010667647476776912,-0.3219539383251412,-0.7180859170730175,7,Sst Chodl
Inner membrane,0.6276691729323308,0.8307103730110426,0.012052989312269847,-0.24802382188650127,-0.8986051801153567,45,Sst Chodl
Mito import / fold,0.6557980900409277,0.8307103730110426,0.018137427906830553,0.24637706335217938,0.8756005310132274,27,Sst Chodl
Aerobic resp / OxPhos summary,1.1833983491184012e-4,5.325292571032805e-4,0.5384340963099162,-0.30365787271051686,-1.5616753992296288,271,Vip
Complex I (NADH:UQ),0.1859209673936515,0.24759092322039167,0.03324120883313124,-0.2863594149284406,-1.1762446619863685,63,Vip
Complex III (UQ:Cyt c),0.22008082064034815,0.24759092322039167,0.02959888118931489,-0.36959483845623015,-1.1901487725578532,22,Vip
Complex IV (CytOx),0.20847943895441504,0.24759092322039167,0.030936143982053275,-0.31135751898433345,-1.1684717491371361,41,Vip
Complex V (ATP syn),0.026192295099858126,0.04714613117974463,0.09266281584032021,-0.3326715002952124,-1.425099955305098,78,Vip
Inner membrane,9.709677928598197e-7,8.738710135738377e-6,0.6435518361507222,-0.30981658182241795,-1.669011035339024,419,Vip
Mito import / fold,0.31087429815515066,0.31087429815515066,0.025753817462325707,-0.21545186499469812,-1.0564166114417561,183,Vip
Mito translation,0.009714158106297454,0.021856855739169272,0.15478286506961125,-0.3125411294684819,-1.441366641152582,121,Vip
TCA cycle,2.818885177041038e-4,8.456655531123114e-4,0.49849310876659025,-0.5162709203444158,-1.9374768506998292,41,Vip
Aerobic resp / OxPhos summary,0.10806465261910807,0.3241939578573242,0.0390699636628489,-0.5567016291453522,-1.375240665301881,10,VLMC
Inner membrane,0.44230441452190217,0.47488921713441656,0.01723389904080854,-0.42743968146616107,-1.0217005128356305,9,VLMC
Mito import / fold,0.47488921713441656,0.47488921713441656,0.020868597705800702,0.35253626959516315,0.974498479988734,11,VLMC
