pathway,pval,padj,log2err,ES,NES,size,cell_type
Lipid transport,0.607911172796669,0.8122864812103465,0.0138908006268062,-0.3201338411414316,-0.8908011771212512,15,Pvalb
Mevalonate / isoprenoid,0.3564694408322497,0.7601542999773089,0.019249326899624695,-0.29968928589116295,-1.0662843770408796,40,Pvalb
Phospholipid metabolism,0.04003341472818404,0.40033414728184036,0.05691658863376416,-0.25603274057420317,-1.2579248574913655,336,Pvalb
SREBP regulation,0.9046508010577072,0.959079283887468,0.008653126120665763,-0.18902672180224062,-0.7485654769433622,69,Pvalb
Sphingolipid metabolism,0.09191861298180255,0.45959306490901275,0.038972219088113685,-0.2785795191541547,-1.2412171630721271,144,Pvalb
Steroid metabolism,0.42398489140698775,0.7601542999773089,0.015068919140477114,-0.21325121057928817,-1.0129172653585115,239,Pvalb
Sterol biosynthesis,0.3699138816465197,0.7601542999773089,0.01845341741940877,-0.275745999327877,-1.053250165663315,57,Pvalb
Cholesterol biosynthesis,0.06456501970294029,0.16886195995785036,0.05617572987043179,-0.46175453003129524,-1.4485754993990352,20,Sncg
Cholesterol homeostasis,0.6444007858546169,0.789914207993304,0.015163833672688485,-0.2351321790570945,-0.8937646643642568,44,Sncg
Fatty acid metabolism,0.9325233239314384,0.9325233239314384,0.011750766178674047,-0.16220542499851423,-0.8337991925736604,270,Sncg
Lipid transport,0.29815381577648337,0.5956822107081174,0.024191802272090224,0.44772421509046173,1.1420238371252376,10,Sncg
Mevalonate / isoprenoid,0.04220544119168305,0.16886195995785036,0.07073602710448403,-0.41239709986638895,-1.4640654709688476,33,Sncg
Phospholipid metabolism,0.033528645833333336,0.16886195995785036,0.08150255973621828,-0.24227079017848452,-1.2546103576009506,285,Sncg
SREBP regulation,0.6797758638580471,0.789914207993304,0.014617665802991835,-0.2144626175795024,-0.8877340686621391,66,Sncg
Sphingolipid metabolism,0.06754478398314015,0.16886195995785036,0.056085058394527584,-0.28071238466145787,-1.2811746785895328,113,Sncg
Steroid metabolism,0.7109227871939736,0.789914207993304,0.013100779403331205,0.18742092281697248,0.9077854589530217,187,Sncg
Sterol biosynthesis,0.35740932642487044,0.5956822107081174,0.022349315909543307,-0.2755957254175823,-1.0583523641875519,46,Sncg
Cholesterol biosynthesis,0.024232633279483037,0.1621425986246833,0.0872868906983817,-0.4924551659030029,-1.5673075423194736,23,Sst
Cholesterol homeostasis,0.5654022792992005,0.7067528491240006,0.014458204506918561,-0.2387155703982461,-0.9388627155141022,58,Sst
Fatty acid metabolism,0.33265201839550335,0.5544200306591722,0.018780983042809594,-0.2051551057838775,-1.044563613458877,335,Sst
Lipid transport,0.08107129931234165,0.1621425986246833,0.04711886437030652,-0.5118792023740446,-1.4241725123080409,14,Sst
Mevalonate / isoprenoid,0.06510325516275814,0.1621425986246833,0.05191679896147446,-0.38562681864229903,-1.391516805399238,39,Sst
