sample_id,x,y,subclass,supertype,layer,qc_pass
Br1139,2494.444024,4416.27712,Endothelial,Endo_2,L5,True
Br1139,2509.965012,4362.67608,Endothelial,Endo_2,L5,True
Br1139,2507.43202,4201.388576,VLMC,SMC-SEAAD,L5,True
Br1139,2482.858528,4276.868596,L4 IT,L4 IT_1,L5,True
Br1139,2480.963024,4264.390604,L5 IT,L5 IT_7,L5,True
Br1139,2508.503028,4288.080096,Endothelial,Endo_1,L5,True
Br1139,2514.368036,4202.383092,Endothelial,Endo_1,L5,True
Br1139,2535.93254,4248.20662,Lamp5,Lamp5_1,L5,True
Br1139,2542.035512,4298.416112,L6 CT,L6 CT_4,L5,True
Br1139,2541.916536,4280.957084,Sst,Sst_10,L5,True
Br1139,2526.166016,4294.667584,L4 IT,L4 IT_1,L5,True
Br1139,2529.336544,4215.838636,VLMC,SMC-SEAAD,L5,True
Br1139,2548.920536,4216.714004,Endothelial,Endo_1,L5,True
Br1139,2552.108024,4194.741604,Microglia-PVM,Micro-PVM_2_1-SEAAD,L5,True
Br1139,2546.115528,4100.612536,Endothelial,Endo_2,L5,True
Br1139,2532.50702,4057.356052,Pvalb,Pvalb_9,L5,True
Br1139,2538.576024,4068.457072,Unassigned,Unassigned,L5,False
Br1139,2533.739528,4110.812544,L5/6 NP,L5/6 NP_2,L5,True
Br1139,2513.654024,4129.708104,L5 IT,L5 IT_5,L5,True
Br1139,2509.778024,4163.359628,OPC,OPC_2_1-SEAAD,L5,True
Br1139,2502.79952,4140.953576,L5 IT,L5 IT_5,L5,True
Br1139,2474.120516,4137.341104,L4 IT,L4 IT_1,L5,True
Br1139,2522.077516,4208.724132,Endothelial,Endo_1,L5,True
Br1139,2529.277032,4144.625636,Sst,Sst_11,L5,False
Br1139,2496.433032,4089.435044,L6 CT,L6 CT_4,L5,True
Br1139,2492.676024,4101.700528,Astrocyte,Astro_5,L5,True
Br1139,2520.360536,4110.923104,Microglia-PVM,Micro-PVM_2_3-SEAAD,L5,True
Br1139,2520.02904,4091.220148,Pvalb,Pvalb_9,L5,False
Br1139,2263.54154,3264.12758,L5 IT,L5 IT_6,L5,True
Br1139,2290.928516,3277.107068,L6 IT,L6 IT_1,L5,False
Br1139,2289.517528,3266.788084,Sst,Sst_19,L5,True
Br1139,2266.278548,3310.56306,Sst,Sst_3,L5,True
Br1139,2293.172528,3319.539068,L4 IT,L4 IT_3,L5,True
Br1139,2274.685032,3314.354064,Sst,Sst_11,L5,True
Br1139,2290.580032,3285.972556,L6 IT,L6 IT_1,L5,False
Br1139,2314.55852,3303.15104,L4 IT,L4 IT_4,L5,True
Br1139,2284.885016,3287.927564,L6 IT,L6 IT_1,L5,True
Br1139,2383.357512,3337.933024,L5 IT,L5 IT_5,L5,True
