type,source,rbh_partner,rbh_mean_auroc,best_match,best_match_auroc,is_reciprocal,in_combined_franken
Mmb_329,siletti,,,,,False,True
Mmb_330,siletti,,,,,False,True
Mmb_331,siletti,,,,,False,True
Mmb_332,siletti,,,,,False,True
Mmb_333,siletti,,,,,False,True
Mono_3,siletti,Micro-PVM_1_1-SEAAD,1.0,,,True,False
Nkcell_2,siletti,,,,,False,True
OPC_32,siletti,,,,,False,True
OPC_33,siletti,,,,,False,True
OPC_34,siletti,,,,,False,True
OPC_35,siletti,OPC_2,1.0,,,True,False
OPC_36,siletti,,,,,False,True
Oligo_40,siletti,Oligo_3,1.0,,,True,False
Oligo_44,siletti,Oligo_1,1.0,,,True,False
Oligo_45,siletti,Oligo_2,1.0,,,True,False
Oligo_46,siletti,,,,,False,True
Oligo_47,siletti,Oligo_4,1.0,,,True,False
Oligo_48,siletti,,,,,False,True
Oligo_49,siletti,,,,,False,True
Oligo_50,siletti,,,,,False,True
Per_21,siletti,,,,,False,True
Per_22,siletti,VLMC_2,1.0,,,True,False
Per_23,siletti,VLMC_2_2-SEAAD,1.0,,,True,False
Splat_235,siletti,Sst Chodl_1,1.0,,,True,False
Splat_237,siletti,,,,,False,True
Splat_238,siletti,,,,,False,True
Splat_313,siletti,,,,,False,True
Splat_334,siletti,,,,,False,True
Splat_335,siletti,,,,,False,True
Splat_336,siletti,,,,,False,True
Splat_337,siletti,,,,,False,True
Splat_338,siletti,,,,,False,True
Splat_339,siletti,,,,,False,True
Splat_340,siletti,,,,,False,True
Splat_341,siletti,,,,,False,True
Splat_342,siletti,,,,,False,True
Splat_343,siletti,,,,,False,True
Splat_344,siletti,,,,,False,True
Splat_345,siletti,,,,,False,True
Splat_346,siletti,,,,,False,True
Splat_347,siletti,,,,,False,True
Splat_348,siletti,,,,,False,True
Splat_349,siletti,,,,,False,True
Splat_350,siletti,,,,,False,True
Splat_351,siletti,,,,,False,True
Splat_352,siletti,,,,,False,True
Splat_353,siletti,,,,,False,True
Splat_354,siletti,,,,,False,True
Splat_355,siletti,,,,,False,True
Splat_356,siletti,,,,,False,True
Splat_357,siletti,,,,,False,True
Splat_358,siletti,,,,,False,True
Splat_359,siletti,,,,,False,True
Splat_360,siletti,,,,,False,True
Splat_361,siletti,,,,,False,True
Splat_362,siletti,,,,,False,True
Splat_363,siletti,,,,,False,True
Splat_364,siletti,,,,,False,True
Splat_365,siletti,,,,,False,True
Splat_366,siletti,,,,,False,True
Splat_367,siletti,,,,,False,True
Splat_368,siletti,,,,,False,True
Splat_369,siletti,,,,,False,True
Splat_370,siletti,,,,,False,True
Splat_371,siletti,,,,,False,True
Splat_373,siletti,,,,,False,True
Splat_374,siletti,,,,,False,True
Splat_375,siletti,,,,,False,True
Splat_376,siletti,,,,,False,True
Splat_377,siletti,,,,,False,True
Splat_378,siletti,,,,,False,True
Splat_379,siletti,,,,,False,True
Splat_380,siletti,,,,,False,True
Splat_381,siletti,,,,,False,True
Splat_382,siletti,,,,,False,True
Splat_383,siletti,,,,,False,True
Splat_384,siletti,,,,,False,True
Splat_385,siletti,,,,,False,True
Splat_386,siletti,,,,,False,True
Splat_387,siletti,,,,,False,True
Splat_388,siletti,,,,,False,True
Splat_389,siletti,,,,,False,True
Splat_390,siletti,,,,,False,True
Splat_391,siletti,,,,,False,True
Splat_392,siletti,,,,,False,True
Splat_393,siletti,,,,,False,True
Splat_394,siletti,,,,,False,True
Splat_395,siletti,,,,,False,True
Splat_396,siletti,,,,,False,True
Splat_397,siletti,,,,,False,True
Splat_398,siletti,,,,,False,True
Splat_399,siletti,,,,,False,True
Splat_400,siletti,,,,,False,True
Splat_402,siletti,,,,,False,True
Splat_403,siletti,,,,,False,True
Splat_409,siletti,,,,,False,True
Splat_410,siletti,,,,,False,True
Splat_411,siletti,,,,,False,True
Splat_412,siletti,,,,,False,True
Splat_413,siletti,,,,,False,True
Splat_414,siletti,,,,,False,True
Splat_415,siletti,,,,,False,True
Splat_416,siletti,,,,,False,True
Splat_417,siletti,,,,,False,True
Splat_418,siletti,,,,,False,True
Splat_420,siletti,,,,,False,True
Splat_421,siletti,,,,,False,True
Splat_422,siletti,,,,,False,True
Splat_423,siletti,,,,,False,True
Splat_424,siletti,,,,,False,True
Splat_425,siletti,,,,,False,True
Splat_428,siletti,,,,,False,True
Splat_429,siletti,,,,,False,True
Splat_431,siletti,,,,,False,True
Splat_432,siletti,,,,,False,True
Tcell_1,siletti,,,,,False,True
Thex_372,siletti,,,,,False,True
Thex_445,siletti,,,,,False,True
Thex_446,siletti,,,,,False,True
Thex_447,siletti,,,,,False,True
Thex_448,siletti,,,,,False,True
Thex_449,siletti,,,,,False,True
Thex_450,siletti,,,,,False,True
Thex_451,siletti,,,,,False,True
Thex_452,siletti,,,,,False,True
Thex_453,siletti,,,,,False,True
Thex_454,siletti,,,,,False,True
Thex_455,siletti,,,,,False,True
Thex_456,siletti,,,,,False,True
Thex_457,siletti,,,,,False,True
Thex_458,siletti,,,,,False,True
Thex_459,siletti,,,,,False,True
Thex_460,siletti,,,,,False,True
ULIT_120,siletti,,,,,False,True
ULIT_121,siletti,,,,,False,True
ULIT_122,siletti,L2/3 IT_1,1.0,,,True,False
ULIT_123,siletti,L2/3 IT_2,1.0,,,True,False
ULIT_124,siletti,L2/3 IT_6,1.0,,,True,False
ULIT_125,siletti,L2/3 IT_7,1.0,,,True,False
ULIT_126,siletti,L2/3 IT_12,1.0,,,True,False
ULIT_127,siletti,,,,,False,True
ULIT_128,siletti,,,,,False,True
ULIT_129,siletti,L2/3 IT_10,1.0,,,True,False
ULIT_130,siletti,L2/3 IT_13,1.0,,,True,False
ULIT_131,siletti,,,,,False,True
ULIT_133,siletti,,,,,False,True
ULIT_134,siletti,L2/3 IT_3,1.0,,,True,False
