pathway,source,NES_depleted,NES_intermediate,NES_non_depleted,padj_depleted,padj_intermediate,padj_non_depleted,family
GOBP_RESPONSE_TO_COPPER_ION,C5:GO:BP,-1.0990795248833414,-1.2561798296050488,-0.9223103226412692,0.7426530126220529,0.6450208789404395,0.9169918787459502,Other
GOBP_RRNA_PROCESSING,C5:GO:BP,-1.0614451696798932,-0.8763183441251436,1.054398754684308,0.7426530126220529,0.9272911526257136,0.8140988874521502,Other
GOMF_CYSTEINE_TYPE_ENDOPEPTIDASE_REGULATOR_ACTIVITY_INVOLVED_IN_APOPTOTIC_PROCESS,C5:GO:MF,-1.1023754950244908,0.7302624312895657,1.061341894841497,0.7426530126220529,0.9605880174958036,0.8386214028190997,Other
REACTOME_EARLY_SARS_COV_2_INFECTION_EVENTS,C2:CP:REACTOME,-1.0882920717077569,-0.8892814264049127,1.0178837386368096,0.7426530126220529,0.8741275748726428,0.8726583006997691,Other
REACTOME_INHIBITION_OF_THE_PROTEOLYTIC_ACTIVITY_OF_APC_C_REQUIRED_FOR_THE_ONSET_OF_ANAPHASE_BY_MITOTIC_SPINDLE_CHECKPOINT_COMPONENTS,C2:CP:REACTOME,1.1054723271397036,0.8371963934305487,0.7417711868193123,0.7426530126220529,0.8999190012427344,0.977153879558247,Other
REACTOME_PHOSPHORYLATION_OF_THE_APC_C,C2:CP:REACTOME,1.1054723271397036,0.8197964967497124,0.7624003319788245,0.7426530126220529,0.903872884521189,0.9746609028088418,Other
GOBP_FERROPTOSIS,C5:GO:BP,-1.1118291311097948,-0.6244147079345232,NA,0.7432099126026749,0.9815734349233376,NA,Synaptic
GOBP_MORPHOGENESIS_OF_A_POLARIZED_EPITHELIUM,C5:GO:BP,1.075538392480149,-0.9422285534406156,-1.0268895662606676,0.7432099126026749,0.8460382561807257,0.8600252528260534,Other
GOBP_PROTEIN_BRANCHED_POLYUBIQUITINATION,C5:GO:BP,-1.1018191545652505,0.5318959011191599,0.6581698003062176,0.7432099126026749,0.9988263359826454,0.9899938088316584,Other
GOMF_PHOSPHATASE_REGULATOR_ACTIVITY,C5:GO:MF,-1.0658465446614815,-1.3683490134323757,-0.7546658347409162,0.7432099126026749,0.4447221228577932,0.9920677258989644,Other
GOMF_TRANSCRIPTION_FACTOR_BINDING,C5:GO:MF,-1.0474201219998995,-1.1628024627967544,0.9310241092360017,0.7432099126026749,0.5837965063520871,0.954040908132424,Other
REACTOME_GLUTAMATE_NEUROTRANSMITTER_RELEASE_CYCLE,C2:CP:REACTOME,-1.094373651027468,-1.3635178184555885,-0.7386685133095826,0.7432099126026749,0.5730886070370615,0.980636627952824,Synaptic
GOMF_CYCLIN_DEPENDENT_PROTEIN_KINASE_ACTIVITY,C5:GO:MF,1.0735405992633242,-1.2400907971482098,1.345991337208814,0.7433158052002772,0.6329145501562689,0.628787765658786,Other
GOBP_POSITIVE_REGULATION_OF_NEUROTRANSMITTER_SECRETION,C5:GO:BP,1.0947471601476997,-0.7878666402933245,-1.00680187763217,0.7437791067194829,0.92904124483149,0.887075948802,Other
GOBP_POSITIVE_REGULATION_OF_POTASSIUM_ION_TRANSMEMBRANE_TRANSPORT,C5:GO:BP,-1.094369062437731,-0.8238680934016224,0.7993931551073657,0.7437791067194829,0.909577146584975,0.9654222330799228,Other
GOCC_PROTEASOME_CORE_COMPLEX,C5:GO:CC,-1.1060696524444893,-0.6611777780747047,0.6928141215451509,0.7437791067194829,0.97684741525819,0.9807835991492888,Other
HALLMARK_G2M_CHECKPOINT,H:,1.0525302307627846,-0.9466327739904162,-0.9797573061938022,0.7437791067194829,0.8546771843389059,0.9020406216404812,Other
REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH,C2:CP:REACTOME,-1.0848584605507372,1.0192194238690966,1.053547537283143,0.7437791067194829,0.7978964370040995,0.83708027340023194,Other
GOBP_POSITIVE_REGULATION_OF_GLYCOPROTEIN_METABOLIC_PROCESS,C5:GO:BP,-1.1001022523821309,-1.3106732293503376,-0.6676020610350355,0.7442101882936797,0.6154313830596024,0.989368521115848,Other
GOBP_RESPIRATORY_GASEOUS_EXCHANGE_BY_RESPIRATORY_SYSTEM,C5:GO:BP,-1.0808881079167756,-1.0575377843507352,-0.6257976520906726,0.7449209744055272,0.7709811997550471,0.9980893650724948,Other
GOBP_ACIDIC_AMINO_ACID_TRANSPORT,C5:GO:BP,-1.0728105371665562,-1.1781888278368489,-0.9095689746064948,0.7455375766605453,0.6776895517156201,0.928187486006579,Synaptic
GOBP_CLATHRIN_DEPENDENT_ENDOCYTOSIS,C5:GO:BP,1.0718793014748598,-1.1735845142998496,-1.0943133566838,0.7455375766605453,0.6796683055529154,0.8075227622467298,Other
GOBP_DNA_ALKYLATION_REPAIR,C5:GO:BP,1.103849385945222,-1.0404326043343817,-1.2658491353207928,0.7455375766605453,0.7955914530914491,0.7227732875091964,Other
GOBP_GLYCOSAMINOGLYCAN_BIOSYNTHETIC_PROCESS,C5:GO:BP,-1.0831976592894186,-1.418941396562042,-0.8005943045401164,0.7455375766605453,0.5260532310823325,0.9700100665879148,Other
GOBP_INNATE_IMMUNE_RESPONSE_ACTIVATING_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY,C5:GO:BP,-1.083258096237915,0.7210983635387668,1.253145341059558,0.7455375766605453,0.97684741525819,0.7022063652849444,Other
GOBP_LIGAND_GATED_ION_CHANNEL_SIGNALING_PATHWAY,C5:GO:BP,1.0726958581979047,1.1619995540754469,-0.8799730304887391,0.7455375766605453,0.6914048659637653,0.9348640407332796,Other
GOBP_MANNOSYLATION,C5:GO:BP,-1.0933797235177425,-0.8322570703679137,-1.0968813271315374,0.7455375766605453,0.903872884521189,0.8208389923508845,Other
GOBP_MESONEPHRIC_TUBULE_MORPHOGENESIS,C5:GO:BP,-1.0912986124634658,-1.1248198885887313,-1.029510889530029,0.7455375766605453,0.7374990097127889,0.8674420305635115,Other
GOBP_NEGATIVE_REGULATION_OF_T_CELL_PROLIFERATION,C5:GO:BP,-1.0900048216607725,-0.5480038704718524,-0.9284358631018408,0.7455375766605453,0.9988904811834748,0.9155012598600568,Other
GOBP_POLARIZED_EPITHELIAL_CELL_DIFFERENTIATION,C5:GO:BP,-1.0976077993115798,-1.233645636185773,-1.349106986591244,0.7455375766605453,0.6712767805414869,0.6726140369202914,Other
GOBP_POSITIVE_REGULATION_OF_LONG_TERM_SYNAPTIC_POTENTIATION,C5:GO:BP,-1.0913548303659806,-1.196300649761891,-0.9357233181152608,0.7455375766605453,0.6811592552092826,0.9144652276485848,Synaptic
GOBP_POSITIVE_REGULATION_OF_NOTCH_SIGNALING_PATHWAY,C5:GO:BP,-1.0885185930438006,-0.8885936482230927,0.690754555056978,0.7455375766605453,0.8744411332374012,0.989368521115848,Other
GOBP_SENSORY_PERCEPTION,C5:GO:BP,-1.0489819509309397,-1.0230913807393685,-1.296919531405568,0.7455375766605453,0.7924859720465501,0.5495568938822244,Other
GOBP_WOUND_HEALING_SPREADING_OF_EPIDERMAL_CELLS,C5:GO:BP,-1.102633524994706,-0.9122250700547078,NA,0.7455375766605453,0.8544301978435224,NA,Other
GOCC_CILIARY_TRANSITION_ZONE,C5:GO:CC,1.0617766975793304,1.4980130051284706,1.0706957410227782,0.7455375766605453,0.3887309148522841,0.8267699881834903,Other
GOCC_COPI_COATED_VESICLE,C5:GO:CC,-1.0959187355676778,1.1736156258201542,0.8934601123936272,0.7455375766605453,0.7048049435971173,0.9277247361468726,Other
GOCC_GOLGI_ASSOCIATED_VESICLE_MEMBRANE,C5:GO:CC,-1.0812318428066976,-0.924116019780346,-0.991750651543176,0.7455375766605453,0.8584601737736866,0.8950403266105506,Other
GOCC_PHOSPHATASE_COMPLEX,C5:GO:CC,1.0726437122684518,0.6647436807703275,-0.771097774380793,0.7455375766605453,0.99201138675109,0.980636627952824,Other
GOCC_VESICLE_COAT,C5:GO:CC,-1.0744112979868994,-0.904948022316678,-1.2204729453817322,0.7455375766605453,0.8777272064690668,0.711375048661693,Other
GOMF_ATP_DEPENDENT_PROTEIN_FOLDING_CHAPERONE,C5:GO:MF,-1.089661830220476,0.6930093244061398,1.4916792723664134,0.7455375766605453,0.97684741525819,0.5575786291232345,Other
GOMF_PROTEIN_SERINE_THREONINE_TYROSINE_KINASE_ACTIVITY,C5:GO:MF,1.0778454891780065,-0.890163041521846,0.9143188777147568,0.7455375766605453,0.8815707682725547,0.9261607407350412,Other
