gene,spearman_rho,pval,pval_fdr,abs_rho,is_scz_gwas,magma_zstat,spredixcan_z,spredixcan_fdr,lead_snp_beta,signed_magma_z,direction_source
AC010642.2,0.7089783281733747,0.000986925867795126,0.02155164495959074,0.7089783281733747,False,,,,,,none
AC016576.1,0.7089783281733747,0.000986925867795126,0.02155164495959074,0.7089783281733747,False,,,,,,none
ACAD11,-0.7089783281733747,0.000986925867795126,0.02155164495959074,0.7089783281733747,False,-0.016096,,,0.0443039255565243,0.016096,lead_snp
TMEM131,-0.7089783281733747,0.000986925867795126,0.02155164495959074,0.7089783281733747,True,1.3722,2.285555016294549,0.0493005782890363,0.0908000243264389,2.285555016294549,spredixcan
GRSF1,0.7089783281733747,0.000986925867795126,0.02155164495959074,0.7089783281733747,False,-1.5351,,,-0.123705539108153,-1.5351,lead_snp
NPIPB2,0.7089783281733747,0.000986925867795126,0.02155164495959074,0.7089783281733747,False,,5.726688369920509,9.00165619005334e-08,,5.726688369920509,spredixcan
PAPPA,0.7089783281733747,0.000986925867795126,0.02155164495959074,0.7089783281733747,False,-0.080492,,,-0.147097280304574,-0.080492,lead_snp
NSUN6,0.7089783281733747,0.000986925867795126,0.02155164495959074,0.7089783281733747,False,4.9146,0.5007545306157635,0.7108222311717011,0.0644010116835795,0.5007545306157635,spredixcan
MED21,-0.7089783281733747,0.000986925867795126,0.02155164495959074,0.7089783281733747,False,0.38519,9.45860894320815,1.0776117501819205e-19,-0.0750037578653527,9.45860894320815,spredixcan
PCDH8,-0.7089783281733747,0.000986925867795126,0.02155164495959074,0.7089783281733747,False,2.6477,,,-0.0416973775562091,-2.6477,lead_snp
AC133485.7,-0.7089783281733747,0.000986925867795126,0.02155164495959074,0.7089783281733747,False,,,,,,none
MARCH4,-0.7089783281733747,0.000986925867795126,0.02155164495959074,0.7089783281733747,False,2.112,,,-0.0641012834065877,-2.112,lead_snp
ZNF615,0.7089783281733747,0.000986925867795126,0.02155164495959074,0.7089783281733747,False,0.31779,-0.6813995828316403,0.6031058647097651,0.0520040417467951,-0.6813995828316403,spredixcan
C8orf37,-0.7089783281733747,0.000986925867795126,0.02155164495959074,0.7089783281733747,False,-1.4552,-3.24689757411639,0.0037844285624662,-0.0414993071780289,-3.24689757411639,spredixcan
TPPP3,0.7083779370278007,0.0010012111341214202,0.021848891259072016,0.7083779370278007,False,3.4411,-13.436004131866005,4.7324699603196255e-39,-0.0511985620326965,-13.436004131866005,spredixcan
BLACE,0.708092679364363,0.0010080584344424588,0.021981879477369733,0.708092679364363,False,,,,,,none
AC016383.2,0.7080676934144613,0.0010086600475132058,0.021981879477369733,0.7080676934144613,False,,,,,,none
DMRTA1,-0.707806448153881,0.0010149682483804943,0.022017531099047583,0.707806448153881,False,-0.24656,0.2447395359431921,0.8612429293114152,-0.106005167845849,0.2447395359431921,spredixcan
ZBTB7B,0.7074239153315123,0.0010242643723032065,0.022017531099047583,0.7074239153315123,False,3.2027,4.474714691624217,4.106310378399626e-05,0.0985956857049385,4.474714691624217,spredixcan
KCNA5,0.707008065147477,0.0010344504557661042,0.022017531099047583,0.707008065147477,False,0.72651,1.2670746869004417,0.3062611595357355,-0.0914028234733439,1.2670746869004417,spredixcan
AL137139.2,0.7069143446852425,0.0010367577047563853,0.022017531099047583,0.7069143446852425,False,,,,,,none
NACAD,0.7069143446852425,0.0010367577047563853,0.022017531099047583,0.7069143446852425,False,1.3249,-3.1756559901531065,0.0046954807625777,0.0227003855207759,-3.1756559901531065,spredixcan
AC097634.3,0.7069143446852425,0.0010367577047563853,0.022017531099047583,0.7069143446852425,False,,,,,,none
SIRT7,0.7069143446852425,0.0010367577047563853,0.022017531099047583,0.7069143446852425,False,1.6811,,,-0.127799281181876,-1.6811,lead_snp
RAPGEF1,0.7069143446852425,0.0010367577047563853,0.022017531099047583,0.7069143446852425,False,-0.02126,-2.2272310138086326,0.0560565549342593,0.145700794171554,-2.2272310138086326,spredixcan
RNF41,0.7069143446852425,0.0010367577047563853,0.022017531099047583,0.7069143446852425,False,1.1579,,,-0.0850024870699465,-1.1579,lead_snp
IRF9,0.7069143446852425,0.0010367577047563853,0.022017531099047583,0.7069143446852425,False,-0.1815,,,0.0344980404075674,0.1815,lead_snp
AC079336.4,0.7069143446852425,0.0010367577047563853,0.022017531099047583,0.7069143446852425,False,,,,,,none
AVEN,0.7069143446852425,0.0010367577047563853,0.022017531099047583,0.7069143446852425,False,1.1979,1.1612348261587688,0.3527486008159891,0.0278972284172359,1.1612348261587688,spredixcan
AC018685.2,0.7069143446852425,0.0010367577047563853,0.022017531099047583,0.7069143446852425,False,,,,,,none
RNF144A-AS1,0.7069143446852425,0.0010367577047563853,0.022017531099047583,0.7069143446852425,False,,,,,,none
LINC01284,-0.7069143446852425,0.0010367577047563853,0.022017531099047583,0.7069143446852425,False,,,,,,none
ZBTB4,0.7069143446852425,0.0010367577047563853,0.022017531099047583,0.7069143446852425,False,0.95703,4.8935865148197495,6.239271946248425e-06,0.0667984655384157,4.8935865148197495,spredixcan
AC005740.5,0.7069143446852425,0.0010367577047563853,0.022017531099047583,0.7069143446852425,False,,,,,,none
CYTH1,-0.7069143446852425,0.0010367577047563853,0.022017531099047583,0.7069143446852425,False,2.2376,0.7869089119942478,0.54445087290042,0.0400953305639422,0.7869089119942478,spredixcan
MTHFR,0.7069143446852425,0.0010367577047563853,0.022017531099047583,0.7069143446852425,False,1.0798,-3.4898656769946412,0.0017249619835059,-0.103096414004759,-3.4898656769946412,spredixcan
CADM2-AS2,0.7069143446852425,0.0010367577047563853,0.022017531099047583,0.7069143446852425,False,,,,,,none
AFAP1,0.7069143446852425,0.0010367577047563853,0.022017531099047583,0.7069143446852425,False,0.79287,-0.8423124757594396,0.5138550440834743,-0.0319035490130083,-0.8423124757594396,spredixcan
MEIS1,0.7069143446852425,0.0010367577047563853,0.022017531099047583,0.7069143446852425,False,2.3658,-2.879602999731485,0.0111191259134515,0.0299956000353805,-2.879602999731485,spredixcan
MAST1,0.7069143446852425,0.0010367577047563853,0.022017531099047583,0.7069143446852425,False,1.7,14.37458952627494,1.3086457476977716e-44,0.109598522606661,14.37458952627494,spredixcan
AC010969.2,-0.7069143446852425,0.0010367577047563853,0.022017531099047583,0.7069143446852425,False,,,,,,none
FBXO3,0.7069143446852425,0.0010367577047563853,0.022017531099047583,0.7069143446852425,False,-0.96246,0.0962088540549332,0.946375923603806,0.0567961259994112,0.0962088540549332,spredixcan
UBE3C,0.7069143446852425,0.0010367577047563853,0.022017531099047583,0.7069143446852425,False,-1.5691,,,-0.1049050638362,-1.5691,lead_snp
LINC01310,-0.7069143446852425,0.0010367577047563853,0.022017531099047583,0.7069143446852425,False,,1.5600974407319144,0.1974210544663321,,1.5600974407319144,spredixcan
AP005131.6,0.7069143446852425,0.0010367577047563853,0.022017531099047583,0.7069143446852425,False,,,,,,none
RBMX2,0.7069143446852425,0.0010367577047563853,0.022017531099047583,0.7069143446852425,False,,,,,,none
