supertype,beta,se,t_stat,p_value,n_genes,p_bonferroni,p_fdr,source
CA13_187,0.1669523619888327,2.6839034943755933,0.06220505407094526,0.47520013743281453,16870,1.0,0.740017551482061,Siletti
Splat_379,0.17066969181846245,3.984637214469379,0.04283192738317834,0.48291801000994283,16870,1.0,0.7477413172765608,Siletti
Splat_374,0.15588847250523763,3.6859701705956507,0.042292385800844975,0.48313305788246974,16870,1.0,0.7477413172765608,Siletti
Oligo_2,0.022674496408326136,2.660915368504893,0.00852131438553283,0.49660057894239196,16870,1.0,0.7662272736442428,SEA-AD
LRL_322,0.004977209680552805,1.6701415612090535,0.00298011246241288,0.4988111265217823,16870,1.0,0.7672843933958914,Siletti
Bgl_51,-0.002872777109057717,0.942716608536776,-0.003047339023247566,0.5012156924763369,16870,1.0,0.7686326015719435,Siletti
Amex_171,-0.06385242649713299,2.7240553242118963,-0.02344020913584283,0.5093502955653446,16870,1.0,0.778733126654615,Siletti
Mmb_326,-0.09123849424555865,2.5925210434071357,-0.035192961876849976,0.5140368545674927,16870,1.0,0.7822975590471393,Siletti
Amex_157,-0.056195315300071186,1.443662754717582,-0.03892551436714488,0.5155248824025314,16870,1.0,0.7822975590471393,Siletti
Midi_444,-0.0907000192854105,2.2127798610346487,-0.040989174243027095,0.5163474942418493,16870,1.0,0.7822975590471393,Siletti
Oligo_3,-0.18523968979233066,2.4711011593580743,-0.07496240657361472,0.5298772439993479,16870,1.0,0.8003851463413573,SEA-AD
Splat_383,-0.09851260647196948,1.2185724614236368,-0.08084263315525687,0.5322159690387596,16870,1.0,0.8015108755284313,Siletti
Thex_446,-0.2899226287994328,3.343230069172613,-0.08671931718751956,0.5345521745661548,16870,1.0,0.8026261009157489,Siletti
DLCT6b_112,-0.5336995982963454,4.7085824380029395,-0.11334613024694211,0.5451212523338845,16870,1.0,0.8160594938212616,Siletti
LRL_315,-0.4588718178860621,3.273810312279563,-0.14016444879683587,0.5557341329255693,16870,1.0,0.829478542615909,Siletti
Misc_164,-0.5927435285223683,3.728115790590009,-0.15899278933838082,0.5631617706797918,16870,1.0,0.8380532997547708,Siletti
CA13_169,-0.5988977608754233,3.670131960148199,-0.16318153335588512,0.5648112696160383,16870,1.0,0.8380532997547708,Siletti
Splat_429,-0.5367151157300392,3.0832634362596685,-0.17407371339671596,0.5690951896054091,16870,1.0,0.8402278934351409,Siletti
EMSN_227,-0.4826790710073775,2.710787094275788,-0.17805864282983452,0.5706604701218254,16870,1.0,0.8402278934351409,Siletti
MSN_219,-0.3504066793803882,1.9246051882679749,-0.18206678518607364,0.5722337485933304,16870,1.0,0.8402278934351409,Siletti
Splat_337,-0.5305170891945937,2.8845872933822037,-0.18391438193314574,0.5729585833961299,16870,1.0,0.8402278934351409,Siletti
Splat_366,-0.3715472965149422,1.834640233447027,-0.202517795991456,0.5802428048294654,16870,1.0,0.8466595743064935,Siletti
Splat_392,-0.5764279157931267,2.829573729189707,-0.20371546068820615,0.5807108412241357,16870,1.0,0.8466595743064935,Siletti
