gene,spearman_rho,pval,n_expressing,pval_fdr,abs_rho
LOC729737,-0.15833211579710627,0.06766981385693295,27,0.33505650301597445,0.15833211579710627
CMTR2,-0.1583117986540534,0.06770551324560037,43,0.3350813389544841,0.1583117986540534
PPP1R9A,0.15830874448302248,0.0677108810740349,113,0.3350813389544841,0.15830874448302248
LOC105370733,0.15830573983362814,0.06771616220390976,45,0.3350813389544841,0.15830573983362814
RASGRF2-AS1,-0.15829053889064315,0.06774288531543457,70,0.3351277152233422,0.15829053889064315
GLT1D1,0.15828473370589993,0.0677530930370122,111,0.3351277152233422,0.15828473370589993
DPP10,0.1582725397148303,0.06777453878185181,125,0.33516562783924725,0.1582725397148303
LOC102724001,0.15824433383899958,0.06782416600673681,25,0.33530918904794027,0.15824433383899958
MIR133A1HG,-0.15823665744792098,0.0678376774549508,12,0.33530918904794027,0.15823665744792098
FBXL5,-0.1582276446565252,0.06785354393505375,125,0.33530918904794027,0.1582276446565252
FNDC3A,0.15822470716643222,0.06785871586258632,131,0.33530918904794027,0.15822470716643222
MPV17L2,-0.15821083409380243,0.06788314598781925,45,0.3353617699715117,0.15821083409380243
CEACAM22P,0.15814708225544688,0.06799550329531873,30,0.3357557591792755,0.15814708225544688
TSG1,0.15814303983022046,0.06800263282754042,42,0.3357557591792755,0.15814303983022046
GTF2F2,0.1581410945616806,0.06800606386942754,121,0.3357557591792755,0.1581410945616806
NDUFA5,0.15813263750570888,0.06802098196175821,123,0.3357557591792755,0.15813263750570888
CTNNAL1,-0.15811115540991377,0.06805888794867977,121,0.3357557591792755,0.15811115540991377
SCFD1,0.15810999194696315,0.0680609414140585,131,0.3357557591792755,0.15810999194696315
LOC102723344,0.15810307534320134,0.06807314998164786,33,0.3357557591792755,0.15810307534320134
ZNF446,-0.15810296894786838,0.06807333779503341,70,0.3357557591792755,0.15810296894786838
MPST,-0.15806571707207065,0.06813912222496887,51,0.33600366901491135,0.15806571707207065
FNDC5,-0.15805886316382417,0.06815123141526079,44,0.33600366901491135,0.15805886316382417
SHROOM3,0.15804327941959098,0.06817877061450683,84,0.33601227672594236,0.15804327941959098
GOLPH3,-0.1580356647516844,0.06819223035273675,117,0.33601227672594236,0.1580356647516844
TPTE2,-0.15802830820044997,0.06820523589338233,74,0.33601227672594236,0.15802830820044997
TMTC3,-0.1580253445278315,0.06821047589706575,106,0.33601227672594236,0.1580253445278315
OSMR,0.1580130517712618,0.06823221394021756,36,0.33601227672594236,0.1580130517712618
CRYM-AS1,0.15801098365910252,0.06823587166438178,19,0.33601227672594236,0.15801098365910252
HELZ2,-0.15799791657280943,0.06825898618344793,28,0.3360580572808982,0.15799791657280943
AKNAD1,0.1579838797998374,0.06828382308183059,28,0.33611229734329123,0.1579838797998374
C1orf234,-0.15797093927886824,0.06830672676024714,11,0.33615700152488276,0.15797093927886824
IGFBP5,-0.15795414372497907,0.06833646284632747,46,0.33623530505473,0.15795414372497907
FMO3,0.15792903022517127,0.06838094526200386,11,0.33638117615271174,0.15792903022517127
RFXANK,-0.15792179137740003,0.06839377147630277,65,0.33638117615271174,0.15792179137740003
STAC,0.15790880008328953,0.06841679511467537,37,0.33642637969753736,0.15790880008328953
DEXI,-0.1578926421631755,0.06844543954938932,59,0.3364991985608849,0.1578926421631755
PSMA6,-0.1578723570357406,0.06848141441046367,124,0.3366080193768971,0.1578723570357406
STOX2,0.1578413080789064,0.06853650824758131,122,0.3367859525970907,0.1578413080789064
MIA3,0.15782431697606436,0.06856667281485786,128,0.3367859525970907,0.15782431697606436
ERRFI1,-0.157821350916777,0.06857193961143511,79,0.3367859525970907,0.157821350916777
C19orf25,-0.1578204868549439,0.06857347397769073,80,0.3367859525970907,0.1578204868549439
OGDHL,-0.15781081173818304,0.06859065656598086,75,0.3367859525970907,0.15781081173818304
TNKS1BP1,0.15780515778499146,0.06860069936129219,62,0.3367859525970907,0.15780515778499146
CMIP,0.15779445872694808,0.06861970675865929,130,0.3368112791276191,0.15779445872694808
ECI1,-0.15778437232705947,0.06863762965709942,80,0.3368312733838408,0.15778437232705947
ZNF397,-0.15777042668297747,0.06866241645426263,68,0.33688493657133783,0.15777042668297747
CUL4A,-0.1577518855887119,0.0686953824029111,121,0.33689491043819153,0.1577518855887119
HSPA4L,-0.15774739162063,0.06870337458551028,97,0.33689491043819153,0.15774739162063
BCYRN1P1,0.15774120288000457,0.06871438202940465,38,0.33689491043819153,0.15774120288000457
CMTM6,-0.15773812477606966,0.06871985735306393,85,0.33689491043819153,0.15773812477606966
