supertype,beta,se,t_stat,p_value,n_genes,p_bonferroni,p_fdr,source
Splat_352,12.793817845456529,4.5014440438622385,2.842158587509495,0.002243231822015912,16363,1.0,0.011201398937403278,Conti
MSN_221,9.568008987288401,3.369228158152075,2.839822219857078,0.002259718223814544,16363,1.0,0.011201398937403278,Conti
DLIT_148,16.05672428503088,5.673205228656515,2.830273828967987,0.002328242874187758,16363,1.0,0.011331010262380295,Conti
DLNP_88,13.21458006445623,4.6705474673861005,2.8293428461507206,0.002335023806781189,16363,1.0,0.011331010262380295,Conti
Splat_403,6.9675219100941606,2.4813589715732274,2.807945964253863,0.0024958818820854933,16363,1.0,0.01198543278793138,Conti
CA13_185,12.44250089391279,4.46541702035428,2.7864140879110146,0.002667806445940002,16363,1.0,0.012678956408024132,Conti
ULIT_124,10.000397992484976,3.6495392074177646,2.740180999332452,0.0030735975276648952,16363,1.0,0.014458453676056294,Conti
Thex_454,13.31579662186363,4.928686890289974,2.701692543727445,0.0034529316650659947,16363,1.0,0.015986460474105173,Conti
MGE_245,10.505568258684807,3.8905695715251474,2.700264849541427,0.0034677788447082802,16363,1.0,0.015986460474105173,Conti
LLC_265,11.885695766338154,4.419905544795349,2.689128906913889,0.003585568424638863,16363,1.0,0.01636581231444075,Conti
LLC_268,12.32201853165299,4.612173650228017,2.6716293587609856,0.003777936058240061,16363,1.0,0.017074789439692824,Conti
EMSN_226,15.710411167860958,5.9191542553579675,2.654164850263875,0.003979094046390963,16363,1.0,0.01780934325617703,Conti
LLC_272,4.390562882332844,1.6631918317835885,2.639841537475838,0.004151174866124374,16363,1.0,0.01840088089695516,Conti
CGE_279,8.296904268027998,3.175958344982034,2.6124096624683317,0.004499431608673388,16363,1.0,0.019754647348556493,Conti
Amex_405,15.284087055499553,5.880231769145639,2.5992320805613818,0.004675823140645519,16363,1.0,0.02033541950790174,Conti
MSN_427,8.748379822805317,3.386744661167872,2.58312352953959,0.004899811893522066,16363,1.0,0.02111040451321189,Conti
CGE_277,8.227248553558942,3.193071321568282,2.576594045358848,0.004993294668770409,16363,1.0,0.021313970762066283,Conti
Splat_393,11.792892837556549,4.63772011154466,2.5428211608114393,0.005502640682613524,16363,1.0,0.023272636281512247,Conti
Splat_369,11.39746453333909,4.516878699637594,2.523305426433867,0.005817566316559386,16363,1.0,0.024380891563035245,Conti
