gene,spearman_rho_sag,pval_sag,pval_fdr_sag,spearman_rho_tau,pval_tau,pval_fdr_tau,combined_score,is_scz
IRS1,0.823529411764706,8.83913936384215e-05,0.03147413547325024,-0.7323529411764707,0.0012549581661522625,0.030256257037077204,1.5558823529411767,False
LINC01793,0.7088235294117646,0.0021116812392545335,0.09386118956867578,-0.8470588235294119,3.468046484915084e-05,0.005852870325557471,1.5558823529411765,False
COTL1,0.7823529411764706,0.00034122076396497244,0.047453117659901296,-0.7735294117647058,0.00043935565171172104,0.01856120102009765,1.5558823529411763,False
TMEM38A,0.8058823529411765,0.00016384666473672616,0.03847190925698651,-0.7470588235294118,0.0008821069929846312,0.02552045794078661,1.5529411764705883,False
CFAP53,0.8676470588235294,1.334868129916697e-05,0.021626866006845366,-0.6852941176470588,0.0033915617452165985,0.05235672950464671,1.5529411764705883,False
LRRC34,0.7147058823529412,0.0018627410999474342,0.08941985164680993,-0.8382352941176471,5.010342100683488e-05,0.006879242164764706,1.5529411764705883,False
CD302,0.8764705882352942,8.439118583861077e-06,0.021320421529211556,-0.6735294117647058,0.0042327392484605075,0.059425238244309286,1.55,False
AASDH,0.711764705882353,0.0019840432477699634,0.09290311178828053,-0.8382352941176471,5.010342100683488e-05,0.006879242164764706,1.55,False
MRPS6,0.7911764705882354,0.0002619464480824596,0.04286793311725221,-0.7588235294117647,0.0006540302361647908,0.022144766711021648,1.55,False
PRKCQ-AS1,0.7852941176470588,0.00031285391788601164,0.045256274559198374,-0.7647058823529411,0.0005596762943567444,0.02070227279228492,1.5499999999999998,False
MTURN,0.7088235294117646,0.0021116812392545335,0.09386118956867578,-0.8411764705882352,4.44290429431383e-05,0.006695973388309351,1.5499999999999998,False
EYA2,0.7852941176470588,0.00031285391788601164,0.045256274559198374,-0.7647058823529411,0.0005596762943567444,0.02070227279228492,1.5499999999999998,False
SLC25A25-AS1,0.6617647058823529,0.005233753301327502,0.13502333457238458,-0.888235294117647,4.32625086797558e-06,0.002261024304435689,1.5499999999999998,False
MC4R,0.7476087380856804,0.0008701646193842717,0.06725391269101412,-0.802060555623417,0.00018577329249156528,0.0121608323163721,1.5496692937090975,False
ANKRD16,0.7941176470588236,0.00023919092762563114,0.04212230232528981,-0.7529411764705882,0.0007610810731946066,0.023781398278423183,1.5470588235294118,False
ZNF519,0.6941176470588235,0.0028537059034569076,0.1067767117664136,-0.8529411764705882,2.679074057724726e-05,0.0054256272932783935,1.5470588235294116,False
CASP8AP2,0.8117647058823528,0.00013432237477471035,0.035100386369555966,-0.7352941176470589,0.0011716155350991776,0.02945217857549934,1.5470588235294116,False
AC036176.1,0.75,0.0008197640272555874,0.06542564969251921,-0.7941176470588236,0.00023919092762563114,0.013549831517226094,1.5441176470588236,False
BMP6,0.8735294117647058,9.869651666147373e-06,0.021320421529211556,-0.6705882352941177,0.004467208697738124,0.061127940638854905,1.5441176470588234,False
AL512343.2,0.6264705882352941,0.009413977306783627,0.16853099816116565,-0.9147058823529413,7.011802190203182e-07,0.0010327428471325168,1.5411764705882354,False
INTS8,0.8764705882352942,8.439118583861077e-06,0.021320421529211556,-0.6647058823529411,0.0049673859374819995,0.06451230722734638,1.5411764705882354,False
HARS,0.7029411764705883,0.0023869526693009323,0.0991595222350745,-0.8382352941176471,5.010342100683488e-05,0.006879242164764706,1.5411764705882354,False
TNNI3K,0.788235294117647,0.0002864656823918494,0.044201654793062366,-0.7529411764705882,0.0007610810731946066,0.023781398278423183,1.5411764705882351,False
KCNH2,0.6,0.01400712232959999,0.19897973908199407,-0.9411764705882352,5.588937633072706e-08,0.0004527458653111372,1.5411764705882351,False
CTBP1-DT,0.8264705882352942,7.923548582249701e-05,0.031310578623248424,-0.711764705882353,0.0019840432477699634,0.038335690731955946,1.5382352941176471,False
TNFRSF21,0.7205882352941175,0.0016381911638796128,0.08493169325310575,-0.8176470588235294,0.00010936308081986552,0.009228364343245058,1.538235294117647,False
TMEM161B-AS1,0.7235294117647059,0.001534481189823956,0.08286965665644273,-0.8147058823529412,0.00012130950572235612,0.009851608806820816,1.538235294117647,False
CRACR2A,0.8647058823529412,1.544234049652657e-05,0.021702509173113574,-0.6705882352941177,0.004467208697738124,0.061127940638854905,1.535294117647059,False
ANTXR1,0.7411764705882353,0.0010184695495736751,0.07097090067706623,-0.7941176470588236,0.00023919092762563114,0.013549831517226094,1.535294117647059,False
BCAN,0.7647058823529411,0.0005596762943567444,0.05702890240893582,-0.7705882352941176,0.00047682239536332553,0.01921701004596746,1.5352941176470587,False
AL442067.1,0.6725692979123095,0.004308166187686688,0.1278735687121586,-0.8613606797824314,1.8152283513263473e-05,0.004422469493836664,1.5339299776947408,False
ZBTB20-AS1,0.7411764705882353,0.0010184695495736751,0.07097090067706623,-0.7911764705882354,0.0002619464480824596,0.014361845612886528,1.5323529411764707,False
RERE,0.6852941176470588,0.0033915617452165985,0.1143566859836144,-0.8470588235294119,3.468046484915084e-05,0.005852870325557471,1.5323529411764707,True
ARHGAP12,0.7382352941176471,0.0010928508118481525,0.07226866297207282,-0.7941176470588236,0.00023919092762563114,0.013549831517226094,1.5323529411764707,False
ZNF804A,0.7176470588235294,0.0017475350604702388,0.086982148332438,-0.8147058823529412,0.00012130950572235612,0.009851608806820816,1.5323529411764705,True
ASAH2B,0.7264705882352941,0.0014361826350785254,0.0807927533410581,-0.8058823529411765,0.00016384666473672616,0.01132009270248217,1.5323529411764705,False
LINC00836,0.8264705882352942,7.923548582249701e-05,0.031310578623248424,-0.7058823529411764,0.0022459006010513297,0.041138449505859945,1.5323529411764705,False
AKR1C3,0.7235294117647059,0.001534481189823956,0.08286965665644273,-0.8088235294117646,0.0001484755922323442,0.010787117971086658,1.5323529411764705,False
WDR60,0.7911764705882354,0.0002619464480824596,0.04286793311725221,-0.7382352941176471,0.0010928508118481525,0.028511791349690566,1.5294117647058825,False
AC007780.1,0.6941176470588235,0.0028537059034569076,0.1067767117664136,-0.8352941176470589,5.637132062814421e-05,0.007191338198085657,1.5294117647058822,False
LMO2,0.7441176470588236,0.0009482827857378677,0.06983456160514576,-0.7852941176470588,0.00031285391788601164,0.015596008463477593,1.5294117647058822,False
SOX6,0.611764705882353,0.011788405053115205,0.1868785170920215,-0.9176470588235294,5.528654958744469e-07,0.0010327428471325168,1.5294117647058822,False
RXFP3,0.654685760787686,0.005921854907502005,0.14153516001584246,-0.8718340081776611,1.0783213743955357e-05,0.003802040657277927,1.5265197689653471,False
AC004852.2,0.7470588235294118,0.0008821069929846312,0.06725391269101412,-0.7794117647058825,0.00037168023647875443,0.01730395790606477,1.5264705882352942,False
AC079140.6,0.7529411764705882,0.0007610810731946066,0.06438984338048259,-0.7735294117647058,0.00043935565171172104,0.01856120102009765,1.526470588235294,False
AL121578.3,0.7058823529411764,0.0022459006010513297,0.09550382831478509,-0.8205882352941177,9.841270416875375e-05,0.008809024456298695,1.526470588235294,False
AL139240.1,0.6352941176470589,0.008182064616334002,0.1597129155199221,-0.8911764705882352,3.618648907351986e-06,0.002093840724016543,1.526470588235294,False
AC026341.1,0.7470588235294118,0.0008821069929846312,0.06725391269101412,-0.7764705882352941,0.0004043508405454708,0.017899153396441107,1.5235294117647058,False
CBWD5,0.6882352941176471,0.003203908614395742,0.11127143711925533,-0.8352941176470589,5.637132062814421e-05,0.007191338198085657,1.5235294117647058,False
PRTFDC1,0.7852941176470588,0.00031285391788601164,0.045256274559198374,-0.7382352941176471,0.0010928508118481525,0.028511791349690566,1.5235294117647058,False
FGF9,0.711764705882353,0.0019840432477699634,0.09290311178828053,-0.8088235294117646,0.0001484755922323442,0.010787117971086658,1.5205882352941176,False
HTR2C,0.8058823529411765,0.00016384666473672616,0.03847190925698651,-0.7147058823529412,0.0018627410999474342,0.037166502377830486,1.5205882352941176,False
OR11A1,0.6504784689643125,0.006363824404326844,0.14386722381013345,-0.8697574098595219,1.1998127167586482e-05,0.003927023379912169,1.5202358788238344,False
SOCS5,0.6294117647058822,0.00898808926444692,0.16547787297492816,-0.888235294117647,4.32625086797558e-06,0.002261024304435689,1.5176470588235293,False
FRA10AC1,0.65,0.006415706521175287,0.14386722381013345,-0.8676470588235294,1.334868129916697e-05,0.004042404861092592,1.5176470588235293,False
AC096667.1,0.6852941176470588,0.0033915617452165985,0.1143566859836144,-0.8323529411764706,6.328124573232546e-05,0.007679783541065699,1.5176470588235293,False
OR5V1,0.8163186921780597,0.00011463114046682504,0.03407699857382139,-0.6992784441162325,0.0025725510912250377,0.04433956011115154,1.5155971362942924,False
SYTL5,0.7058823529411764,0.0022459006010513297,0.09550382831478509,-0.8088235294117646,0.0001484755922323442,0.010787117971086658,1.5147058823529411,False
ZHX2,0.7676470588235293,0.0005168835242959222,0.055828589459202556,-0.7470588235294118,0.0008821069929846312,0.02552045794078661,1.5147058823529411,False
EIF1B-AS1,0.7558823529411764,0.0007058905869098935,0.06249446089519475,-0.7588235294117647,0.0006540302361647908,0.022144766711021648,1.5147058823529411,False
NRDE2,0.6205882352941177,0.010313515549677663,0.1767259885543127,-0.8941176470588235,3.0113099296374175e-06,0.0019913362377559436,1.5147058823529411,False
KAZN,0.8205882352941177,9.841270416875375e-05,0.0331186159608047,-0.6941176470588235,0.0028537059034569076,0.04691457756961653,1.5147058823529411,False
ITGAV,0.7411764705882353,0.0010184695495736751,0.07097090067706623,-0.7735294117647058,0.00043935565171172104,0.01856120102009765,1.5147058823529411,False
AC007878.1,0.7441176470588236,0.0009482827857378677,0.06983456160514576,-0.7705882352941176,0.00047682239536332553,0.01921701004596746,1.5147058823529411,False
OR14J1,0.8289121610235042,7.224882549679895e-05,0.03080366700753653,-0.684368759279192,0.003452398236499538,0.05324514995587555,1.5132809203026962,False
HIPK4,0.6823529411764706,0.0035879704117567236,0.11719859400418661,-0.8294117647058824,7.088454064639912e-05,0.007865999214264625,1.511764705882353,False
