cell_type,source,group,cell_class,color,n_genes,beta,se,p,neglog10p,fdr,bonferroni,depleted_scz
L5 IT_6,SEA-AD,L5 IT,Excitatory,#3d625f,15981,4.6171,4.5543,0.15535,0.8086887424090068,0.22824149560117302,1.0,False
L5 IT_7,SEA-AD,L5 IT,Excitatory,#264945,15981,-4.3282,3.5074,0.89139,0.04993224232655262,1.0,1.0,False
L5 ET_2,SEA-AD,L5 ET,Excitatory,#0d5b78,15981,0.10125,3.1713,0.48727,0.3122303262249548,0.5998090171990171,1.0,False
L6 CT_1,SEA-AD,L6 CT,Excitatory,#81cde7,15981,17.011,5.2979,0.00066334,3.178263813563227,0.002792717142857143,0.33233334,False
L6 CT_2,SEA-AD,L6 CT,Excitatory,#5fa3bc,15981,8.0302,4.4919,0.036922,1.4327147820383679,0.07142054826254828,1.0,False
L6 CT_3,SEA-AD,L6 CT,Excitatory,#3d7a91,15981,7.3711,3.446,0.016227,1.7897617638382732,0.03700568181818182,1.0,False
L6b_1,SEA-AD,L6b,Excitatory,#c7afd4,15981,4.1255,2.9806,0.083169,1.0800385203164542,0.13889223000000003,1.0,False
L6b_2,SEA-AD,L6b,Excitatory,#aa93bb,15981,4.8825,3.7695,0.09763,1.010416710688995,0.1577826774193548,1.0,False
L6b_3,SEA-AD,L6b,Excitatory,#8e77a3,15981,6.6005,3.1681,0.018617,1.7300903012502387,0.04145385333333334,1.0,False
L6b_4,SEA-AD,L6b,Excitatory,#715b8b,15981,8.7374,3.91,0.01273,1.8951715963463447,0.030083632075471697,1.0,False
L6b_5,SEA-AD,L6b,Excitatory,#553f73,15981,4.4817,3.8189,0.1203,0.9197343726601552,0.18775794392523362,1.0,False
L6b_6,SEA-AD,L6b,Excitatory,#39245b,15981,1.8523,4.3843,0.33634,0.4732214801541543,0.4340540359897172,1.0,False
L6 IT Car3_1,SEA-AD,L6 IT Car3,Excitatory,#874fff,15981,1.8513,3.0323,0.27076,0.5674154945747791,0.36077329787234047,1.0,False
L6 IT Car3_2,SEA-AD,L6 IT Car3,Excitatory,#631aff,15981,0.19993,2.4523,0.46751,0.3302090951692793,0.5769027339901478,1.0,False
L6 IT Car3_3,SEA-AD,L6 IT Car3,Excitatory,#23068c,15981,1.4785,3.0564,0.31428,0.502683255527143,0.40897215584415586,1.0,False
L5/6 NP_1,SEA-AD,L5/6 NP,Excitatory,#9fd4ae,15981,-3.4214,3.8216,0.81468,0.08901294527798417,0.9448024999999999,1.0,False
