cell_type,beta,se,t_stat,p_value,p_bonferroni,p_fdr,source,supercluster
Siletti_COP_43,3.2716730532662965,2.787849414651461,1.1735472640925706,0.12029649485799254,1.0,0.29919897439039167,Siletti,Committed oligodendrocyte precursor
Siletti_Splat_388,2.9942048937571393,2.5689368841152675,1.1655424126110177,0.12190799423092558,1.0,0.3016600877653005,Siletti,Splatter
Siletti_CA4_194,2.5154961543573284,2.1850752392824067,1.1512171796809314,0.12482961090749412,1.0,0.3073216309143891,Siletti,Hippocampal CA4
Siletti_MSN_221,2.8637821674087234,2.500538047870982,1.1452663837077048,0.12605754011920378,1.0,0.30877730786774665,Siletti,Medium spiny neuron
Pvalb_15,1.65378059809876,1.4574117186664868,1.1347380955684563,0.12825059988317133,1.0,0.31257055750421153,SEA-AD,
Siletti_Splat_393,2.796092653465417,2.50093948555004,1.118016917090844,0.1317878476712534,1.0,0.3195855306027895,Siletti,Splatter
Siletti_Splat_353,4.184446404202761,3.7618735948040127,1.1123304116285078,0.13300598483752357,1.0,0.32093483903581554,Siletti,Splatter
Siletti_Splat_417,3.1413998871375326,2.911129931016933,1.079099855237365,0.14027932510694663,1.0,0.3368092706775699,Siletti,Splatter
L5/6 NP_6,3.7412732247516267,3.5095813777550404,1.0660169467689595,0.1432156217568914,1.0,0.34216540173444493,SEA-AD,
Siletti_Splat_420,4.031065236548708,3.8251752696723416,1.0538249759452205,0.14598907774360304,1.0,0.34708187600807583,Siletti,Splatter
Siletti_Mmb_331,3.0979658227870375,2.960060521540601,1.046588676225668,0.14765216388357327,1.0,0.34906237700946546,Siletti,Mammillary body
Siletti_MSN_212,3.9592071353563996,3.792522517465292,1.0439508578059835,0.14826154569886574,1.0,0.34906237700946546,Siletti,Medium spiny neuron
Siletti_Amex_408,1.984886893048332,1.9519022535801984,1.0168987147833006,0.15460810209672982,1.0,0.36182190961533955,Siletti,Amygdala excitatory
Siletti_Splat_373,2.6920801996162687,2.663093757024964,1.0108844994716546,0.15604310900091678,1.0,0.36182190961533955,Siletti,Splatter
L4 IT_4,2.7923354601874855,2.7632798757228954,1.0105148901925791,0.1561315841164418,1.0,0.36182190961533955,SEA-AD,
Siletti_Midi_433,1.5446911871298232,1.5319928300236225,1.0082887836400676,0.1566651567406625,1.0,0.36182190961533955,Siletti,Midbrain-derived inhibitory
Vip_11,1.8771806093708332,1.8895955136364933,0.9934298614830177,0.1602573848203015,1.0,0.3683641309850532,SEA-AD,
L6 CT_1,3.6870820183879673,3.72662143640985,0.9893900095041651,0.16124327829451912,1.0,0.36888202817378196,SEA-AD,
Siletti_EMSN_233,1.6314552202633987,1.6810911324546587,0.970473990830715,0.1659121012610486,1.0,0.37592769863809455,Siletti,Eccentric medium spiny neuron
L5 IT_5,1.3756616958198657,1.419741004004337,0.9689525708843043,0.16629137541043448,1.0,0.37592769863809455,SEA-AD,
Siletti_EMSN_230,2.533002109150644,2.6180288683245383,0.96752260442861,0.16664836125193883,1.0,0.37592769863809455,Siletti,Eccentric medium spiny neuron
Siletti_Amex_407,2.505368049870235,2.6329588868393476,0.9515408927929463,0.17067175404173818,1.0,0.3832212995844584,Siletti,Amygdala excitatory
Siletti_Splat_354,4.891307089885318,5.250850283533701,0.9315266720180757,0.17579726511895666,1.0,0.39291093816909667,Siletti,Splatter
L6 IT Car3_1,2.8107319949527305,3.0468453630526526,0.9225056279642105,0.17813904725955454,1.0,0.39631852257286215,SEA-AD,
Siletti_Misc_176,1.205031354133999,1.3660137349466002,0.8821517114402263,0.1888536726393809,1.0,0.41684200929031484,Siletti,Miscellaneous
Siletti_Splat_361,1.5808590000808487,1.7937729529685023,0.8813038447617889,0.1890829732863284,1.0,0.41684200929031484,Siletti,Splatter
Siletti_Splat_421,2.9495972770115344,3.385844280037923,0.8711556211848283,0.19184079468686166,1.0,0.4210080788376828,Siletti,Splatter
Siletti_Splat_402,2.163382871240326,2.505841875815189,0.8633357484045334,0.193982586646537,1.0,0.42241406998237613,Siletti,Splatter
Siletti_Mmb_327,3.391426638277,3.937642255622979,0.8612835849762687,0.1945470602446132,1.0,0.42241406998237613,Siletti,Mammillary body
L2/3 IT_13,1.1871813292390272,1.384003690827451,0.8577876902403707,0.19551094965172244,1.0,0.42241406998237613,SEA-AD,
L6b_6,3.202442591744146,3.74740236092985,0.8545766595902763,0.19639884691274068,1.0,0.42241406998237613,SEA-AD,
Siletti_Midi_442,1.5286293459347846,1.7920666101663945,0.8529980622722781,0.19683624704333402,1.0,0.42241406998237613,Siletti,Midbrain-derived inhibitory
Siletti_Oligo_46,2.795095052666751,3.3323627082333718,0.8387727559670569,0.2008043656041738,1.0,0.42903135382389557,Siletti,Oligodendrocyte
Siletti_Splat_334,1.1686796615215767,1.4200346844347347,0.8229937439780117,0.20526159446253955,1.0,0.43548536366445356,Siletti,Splatter
Siletti_DLIT_145,1.9016130935921451,2.31447616805475,0.821617055227834,0.20565324764070747,1.0,0.43548536366445356,Siletti,Deep-layer intratelencephalic
Siletti_Splat_385,1.625968165212385,1.9934904213885212,0.8156388150989224,0.20735913141979212,1.0,0.43548536366445356,Siletti,Splatter
L6 IT Car3_3,1.629884255469195,1.998785173541887,0.8154374352202182,0.20741674021956447,1.0,0.43548536366445356,SEA-AD,
Siletti_MSN_216,4.1660285044426315,5.166718125791191,0.8063200668228205,0.2100348468708313,1.0,0.4390814686739361,Siletti,Medium spiny neuron
Siletti_CBI_301,1.574433807456954,1.979770356826133,0.7952608250893332,0.21323649482091445,1.0,0.4438613733396717,Siletti,Cerebellar inhibitory
L2/3 IT_1,1.1057806807740969,1.4130630172323748,0.7825416611212986,0.21695364996600974,1.0,0.44690045418675495,SEA-AD,
Siletti_Amex_161,1.1139360336808015,1.425931843567184,0.7811986517491062,0.2173483167132949,1.0,0.44690045418675495,Siletti,Amygdala excitatory
L5/6 NP_1,1.8728723815925092,2.3986091039845383,0.7808160064436168,0.21746083956303952,1.0,0.44690045418675495,SEA-AD,
Vip_2,1.0871827688510165,1.3985755346994582,0.7773500550219783,0.21848158777631987,1.0,0.4471036711878276,SEA-AD,
Vip_9,1.4138809700896415,1.9873892862844462,0.7114262816284896,0.23841497916194088,1.0,0.48584565081319886,SEA-AD,
Siletti_EMSN_222,1.0976472567405102,1.5788841001406717,0.6952044527161396,0.2434683807995034,1.0,0.49406763467681647,Siletti,Eccentric medium spiny neuron
Siletti_URL_297,0.3658650652982059,0.5416273980751982,0.6754921678600352,0.2496861940985884,1.0,0.504574183907564,Siletti,Upper rhombic lip
OPC_1,1.611969223585415,2.420824963094335,0.6658759919283762,0.2527497377135661,1.0,0.5086457377223219,SEA-AD,
Siletti_CA13_180,1.9244546173825623,2.9615630124087327,0.649810457964,0.2579117571272458,1.0,0.5164243650354845,Siletti,Hippocampal CA1-3
Siletti_Misc_170,2.386031574342272,3.686503875980172,0.6472342508273835,0.25874457877035617,1.0,0.5164243650354845,Siletti,Miscellaneous
Siletti_Splat_351,1.78322224985016,2.8195688854441237,0.632445002161838,0.26355235525001997,1.0,0.5223340964033856,Siletti,Splatter
Siletti_Splat_400,0.8063429153239593,1.2768592477912653,0.6315049342508081,0.2638594919975865,1.0,0.5223340964033856,Siletti,Splatter
Siletti_Splat_410,1.4303731430674054,2.2875103962091075,0.6252968928306681,0.2658923402178639,1.0,0.5242186382344065,Siletti,Splatter
Siletti_CA13_188,1.0757695932130467,1.78802440064235,0.6016526356276655,0.2737067362202199,1.0,0.5374403524971929,Siletti,Hippocampal CA1-3
Siletti_Oligo_47,1.9061308752132515,3.3738498521255247,0.5649720523313714,0.2860501446371635,1.0,0.5594125812460657,Siletti,Oligodendrocyte
Siletti_Thex_458,1.354985711313978,2.447229924906689,0.5536814083235937,0.28990212112425395,1.0,0.5646687901416192,Siletti,Thalamic excitatory
Siletti_DLIT_146,1.1137362242526607,2.1141500723385884,0.5268009299929641,0.29916938318870745,1.0,0.5803886033860925,Siletti,Deep-layer intratelencephalic
Siletti_CA4_193,1.5879995431456855,3.0751324839622804,0.5164003669525036,0.30279079052052627,1.0,0.5850738382567937,Siletti,Hippocampal CA4
L5 IT_1,0.6675983210981071,1.3117435660942183,0.5089396573797684,0.30540059007371734,1.0,0.5877749451815591,SEA-AD,
Pvalb_2,0.6819921832972222,1.4208452002454253,0.47999048958987256,0.3156201906349452,1.0,0.605042657936555,SEA-AD,
Siletti_Amex_419,1.2991639190694813,2.7275077300895734,0.4763190603411473,0.31692662979401276,1.0,0.6051146487286926,Siletti,Amygdala excitatory
L6b_1,1.019415554707765,2.16060069101768,0.4718204335237914,0.31853053467865255,1.0,0.6051146487286926,SEA-AD,
Siletti_Amex_154,0.6481131996633096,1.3850788198042698,0.4679251392746708,0.3199220862031177,1.0,0.6051146487286926,Siletti,Amygdala excitatory
Siletti_CBI_303,0.986021953704947,2.129643695969229,0.4629985549090621,0.3216856888531737,1.0,0.6051146487286926,Siletti,Cerebellar inhibitory
Siletti_Splat_380,1.00370510365364,2.1705876237865103,0.4624116956415302,0.32189603994227356,1.0,0.6051146487286926,Siletti,Splatter
Siletti_Thex_445,0.702931515276495,1.5716680724227243,0.4472518896390934,0.32734947202725406,1.0,0.6129903240664796,Siletti,Thalamic excitatory
Siletti_Mmb_328,0.9939544374662865,2.5382728525471467,0.39158691567333165,0.34768420257827226,1.0,0.6421736106498475,Siletti,Mammillary body
Siletti_MGE_236,1.0753229680803573,2.758320456384455,0.3898470047566071,0.3483273035059964,1.0,0.6421736106498475,Siletti,MGE interneuron
Siletti_Splat_360,0.8334511226600887,2.1433729460819344,0.38885025780680377,0.3486959149898132,1.0,0.6421736106498475,Siletti,Splatter
OPC_2,1.1931230139504767,3.0717704241911874,0.38841542471867246,0.34885676736241966,1.0,0.6421736106498475,SEA-AD,
VLMC_2,0.4737213745177963,1.2255726274407848,0.3865306420126332,0.34955429528156645,1.0,0.6421736106498475,SEA-AD,
Siletti_DG_200,0.4966655386775174,1.3660346310203242,0.36358195275514055,0.3580873816032589,1.0,0.6553674719908702,Siletti,Hippocampal dentate gyrus
Siletti_Splat_338,0.6061908794275922,1.685202573215261,0.3597139531249457,0.359532780499507,1.0,0.6555390922641386,Siletti,Splatter
Siletti_Amex_160,1.1068788335811097,3.1362052338685715,0.35293571403672225,0.36207052348506497,1.0,0.6576936475290506,Siletti,Amygdala excitatory
Siletti_Midi_439,0.7409130245962451,2.159353582759997,0.3431179731339971,0.365756993781746,1.0,0.6619109775527865,Siletti,Midbrain-derived inhibitory
Siletti_Splat_345,0.5474494226633452,1.6388209757123116,0.3340507784417373,0.36917269783077544,1.0,0.6620904245322121,Siletti,Splatter
Astro_5,0.7337394610431678,2.203093721034472,0.333049590236514,0.36955049535621876,1.0,0.6620904245322121,SEA-AD,
Siletti_Splat_416,0.513294778132132,1.5519660339330124,0.33073840980355335,0.3704230979441516,1.0,0.6620904245322121,Siletti,Splatter
Siletti_Splat_384,0.8657693871368851,2.6477588419801914,0.32698196429754844,0.37184279248811647,1.0,0.6620904245322121,Siletti,Splatter
Siletti_Oligo_45,0.6397547681919263,1.9773719298122407,0.32353790328796345,0.37314595956857166,1.0,0.6620904245322121,Siletti,Oligodendrocyte
Siletti_Splat_341,0.6175394435780546,1.9477284761624705,0.3170562278756468,0.37560243140527294,1.0,0.6620904245322121,Siletti,Splatter
Oligo_2_1-SEAAD,0.7658645248964736,2.4244107345940273,0.3158971844037472,0.3760422293337835,1.0,0.6620904245322121,SEA-AD,
Siletti_CBI_300,0.7422238312342808,2.364062988724671,0.31396110627098156,0.3767772312801867,1.0,0.6620904245322121,Siletti,Cerebellar inhibitory
Siletti_COP_38,0.8232315258709367,2.8020441178860884,0.2937967752242235,0.3844584075888471,1.0,0.6731491974028551,Siletti,Committed oligodendrocyte precursor
Siletti_Splat_379,1.1003701034289077,3.8471131152461315,0.2860248894341408,0.38743128598301646,1.0,0.6759142938912338,Siletti,Splatter
Siletti_Splat_418,0.4312097600048844,1.5428710346090029,0.27948529094926094,0.3899379261446272,1.0,0.6778490830829541,Siletti,Splatter
Oligo_2,0.755085559301185,2.872491056562982,0.26286785387059364,0.3963278227327445,1.0,0.6864964072335039,SEA-AD,
Siletti_Midi_444,0.6348328128387108,2.4930535059517287,0.2546406690924036,0.3995018750184872,1.0,0.6870805998289182,Siletti,Midbrain-derived inhibitory
Siletti_CA4_196,0.6834271877484841,2.6877452396696944,0.25427528534381205,0.3996429961365132,1.0,0.6870805998289182,Siletti,Hippocampal CA4
Siletti_Splat_374,0.9056871630572507,3.6228053785182204,0.2499960854722176,0.4012967105973698,1.0,0.6870805998289182,Siletti,Splatter
Siletti_Splat_377,0.7699210938221933,3.1130542687431064,0.24732016449332522,0.40233173268332534,1.0,0.6870805998289182,Siletti,Splatter
Siletti_DG_201,1.1571686535667962,4.804371827103733,0.24085743052581002,0.40483427230103897,1.0,0.6880485198348596,Siletti,Hippocampal dentate gyrus
Siletti_Oligo_48,0.38133769304149384,1.618258460839623,0.2356469638623976,0.4068547446229396,1.0,0.6880485198348596,Siletti,Oligodendrocyte
Siletti_DLCT6b_97,0.41673281931510814,1.7742784530916447,0.2348745308770219,0.4071544849332056,1.0,0.6880485198348596,Siletti,Deep-layer corticothalamic and 6b
Siletti_Splat_381,0.5074557248627686,2.2346627221465405,0.2270838099341112,0.41018066288678035,1.0,0.6884292301208425,Siletti,Splatter
Siletti_Splat_340,0.25925329028660926,1.1421549632845964,0.2269860908725131,0.4102186546493267,1.0,0.6884292301208425,Siletti,Splatter
Siletti_DG_204,0.31464417578855486,1.4106688848550746,0.22304608768689183,0.4117511693412683,1.0,0.6886183349328108,Siletti,Hippocampal dentate gyrus
Siletti_Splat_364,0.359403005765319,1.675277500913888,0.21453341644549004,0.41506685252495745,1.0,0.690622871601532,Siletti,Splatter
Siletti_Thex_452,0.3135036280473275,1.4891867044281406,0.2105200288957155,0.41663218234255384,1.0,0.690622871601532,Siletti,Thalamic excitatory
Siletti_Amex_155,1.0035353705379753,4.8561569457646225,0.2066521699660521,0.41814200441120997,1.0,0.690622871601532,Siletti,Amygdala excitatory
Oligo_3,0.5450058109558924,2.671300427697808,0.2040226570193723,0.41916912778358695,1.0,0.690622871601532,SEA-AD,
VLMC_2_1-SEAAD,0.20123322153263953,1.0149507459912814,0.1982689527816438,0.42141851580255496,1.0,0.690622871601532,SEA-AD,
Siletti_Thex_455,0.6392222718965269,3.2271379286150936,0.19807714638675056,0.42149354637949177,1.0,0.690622871601532,Siletti,Thalamic excitatory
Siletti_CA13_119,0.581636044645413,3.1503497656623427,0.1846258631295587,0.4267623595063361,1.0,0.6969014961635455,Siletti,Hippocampal CA1-3
L5/6 NP_3,0.5406419225403643,3.0110113625269417,0.17955492605203568,0.42875207529981163,1.0,0.6978011963772102,SEA-AD,
Siletti_DG_199,0.18744322752061293,1.1149025089615883,0.1681252181369617,0.43324339338032236,1.0,0.7027526615031985,Siletti,Hippocampal dentate gyrus
Siletti_Thex_446,0.4078309732238613,3.195785790795603,0.12761524079570122,0.449227495512736,1.0,0.7262511177455898,Siletti,Thalamic excitatory
Siletti_Splat_409,0.1050485078391878,0.9059485839418915,0.11595416086651307,0.4538451258571383,1.0,0.7312786911651564,Siletti,Splatter
Siletti_CGE_276,0.24028651896472733,2.266213414294205,0.10602996057172433,0.4577799211356728,1.0,0.7328177226889172,Siletti,CGE interneuron
Siletti_Amex_406,0.15003409433532033,1.416439972775697,0.10592336930544903,0.45782220613348845,1.0,0.7328177226889172,Siletti,Amygdala excitatory
Siletti_Bgl_51,0.07366774574432412,0.9454199075637173,0.07792066271817873,0.46894604370274284,1.0,0.7481540499862838,Siletti,Bergmann glia
Siletti_Mmb_326,0.16600592232875416,2.544125487785088,0.06525068166872487,0.4739875912072682,1.0,0.753717972903361,Siletti,Mammillary body
Siletti_CA13_187,0.14221264755685573,2.6266388934502496,0.0541424433756293,0.478411159137226,1.0,0.7546590389666552,Siletti,Hippocampal CA1-3
Siletti_OPC_36,0.19261546289913073,3.6333274357846554,0.053013516206125634,0.47886088322513864,1.0,0.7546590389666552,Siletti,Oligodendrocyte precursor
Siletti_Oligo_44,0.15817676520604845,3.2857555804395506,0.04814014960445975,0.48080255931285576,1.0,0.7546590389666552,Siletti,Oligodendrocyte
Siletti_Amex_171,0.12163548564713948,2.5268043347073132,0.048138070675436316,0.4808033877127762,1.0,0.7546590389666552,Siletti,Amygdala excitatory
Siletti_Thex_372,0.10679727591596083,3.4651540008313146,0.030820354850127706,0.48770658602454886,1.0,0.7630248200706652,Siletti,Thalamic excitatory
Siletti_Amex_157,0.01759385895494522,1.4402085577389288,0.012216188315508202,0.49512663944760016,1.0,0.7721428300067076,Siletti,Amygdala excitatory
Siletti_LRL_315,0.0165846650339837,3.277481280404397,0.00506018604382002,0.49798131638388765,1.0,0.7741055719429022,Siletti,Lower rhombic lip
Siletti_LRL_322,-0.012113562947541885,1.6188474630106793,-0.007482831597372046,0.5029851457852806,1.0,0.7790367861336464,Siletti,Lower rhombic lip
Siletti_Misc_164,-0.03939484055927946,3.599500142497581,-0.010944530906989937,0.5043660842184845,1.0,0.7790367861336464,Siletti,Miscellaneous
Siletti_Splat_429,-0.06598273042876299,3.0003573820181697,-0.021991623672637343,0.5087725512687054,1.0,0.7833482138581653,Siletti,Splatter
Siletti_DLCT6b_112,-0.11906104467879806,4.374463725194734,-0.027217289285785068,0.5108566259868275,1.0,0.7840679227962384,Siletti,Deep-layer corticothalamic and 6b
Siletti_Amex_172,-0.13349421841069367,3.4720442311408495,-0.038448305817472245,0.515334648953107,1.0,0.788445756284722,Siletti,Amygdala excitatory
Siletti_DLCT6b_103,-0.0992919109511137,2.076939670231456,-0.04780683443734719,0.5190646220813826,1.0,0.791655162608398,Siletti,Deep-layer corticothalamic and 6b
Siletti_DG_202,-0.2727554821246393,3.9992297974896376,-0.06820200286961531,0.5271871793766498,1.0,0.801522827578919,Siletti,Hippocampal dentate gyrus
Siletti_Splat_383,-0.09329906822605137,1.1987258352914736,-0.07783186570210647,0.5310186392012726,1.0,0.8048251250394287,Siletti,Splatter
Siletti_Per_21,-0.14439525842692497,1.7076894757947394,-0.08455592218235405,0.5336922768653328,1.0,0.8063574899678705,Siletti,Vascular
Siletti_CA13_181,-0.2633320953101598,2.8667478933704698,-0.09185743047692871,0.5365937974557522,1.0,0.8082235769131672,Siletti,Hippocampal CA1-3
Siletti_Splat_337,-0.28373098717704265,2.7737490333325217,-0.10229151367604226,0.5407367463245814,1.0,0.8085743011965676,Siletti,Splatter
Siletti_MSN_219,-0.20505270856569116,1.9140140753940342,-0.10713228873381057,0.5426573468390079,1.0,0.8085743011965676,Siletti,Medium spiny neuron
Siletti_Amex_158,-0.42887878943050073,3.983003695265481,-0.10767722609454282,0.5428734917899511,1.0,0.8085743011965676,Siletti,Amygdala excitatory
Siletti_Splat_392,-0.2936012535373124,2.6875463078255843,-0.10924509567794449,0.5434953034847032,1.0,0.8085743011965676,Siletti,Splatter
Siletti_CA13_169,-0.3951847409046292,3.249342120720266,-0.12161992373306338,0.5483992585447781,1.0,0.8133750470771173,Siletti,Hippocampal CA1-3
Siletti_EMSN_227,-0.31399229616289903,2.492362266771325,-0.1259818046313361,0.5501260852433292,1.0,0.8134486321433373,Siletti,Eccentric medium spiny neuron
Siletti_MSN_209,-0.42284821859213884,3.1966334348271648,-0.13227923289083704,0.552617494502831,1.0,0.8146488900725625,Siletti,Medium spiny neuron
Astro_4,-0.1993097405684933,1.4475145037527428,-0.13769101452992308,0.5547568674657049,1.0,0.8153244870329298,SEA-AD,
Siletti_Splat_365,-0.20334528764261567,1.301557427166605,-0.15623228249350735,0.5620740991993205,1.0,0.8235828945971917,Siletti,Splatter
Siletti_Splat_382,-0.34206398268160326,2.0979380830622727,-0.163047701666346,0.564758584771405,1.0,0.8250238361871428,Siletti,Splatter
Siletti_Splat_366,-0.24684509689369238,1.4052523211579653,-0.1756589141872297,0.5697179878954386,1.0,0.8297694418296928,Siletti,Splatter
Siletti_CA4_191,-0.3534360881616423,1.9628753015108236,-0.18006038788587478,0.5714463381184753,1.0,0.8297948322977861,Siletti,Hippocampal CA4
Siletti_CA4_190,-0.5344215862150833,2.544622231937907,-0.21002000984958935,0.5831727035021743,1.0,0.844294809547924,Siletti,Hippocampal CA4
Siletti_Splat_348,-0.28938278781866006,1.1075031706880771,-0.2612929655441712,0.6030651090598154,1.0,0.869598443800946,Siletti,Splatter
Siletti_CBI_299,-0.8647841391379052,3.2715796391009717,-0.2643322903719829,0.6042364444555026,1.0,0.869598443800946,Siletti,Cerebellar inhibitory
Oligo_4,-0.8004266857130062,2.8046805408128583,-0.28538960999851515,0.6123254140908063,1.0,0.8786326208107724,SEA-AD,
Siletti_CA13_184,-0.3367716254648275,1.1431127352011905,-0.294609284888734,0.6158520024900402,1.0,0.8810861982527125,Siletti,Hippocampal CA1-3
Siletti_Splat_415,-0.7116024517869555,2.131176057652126,-0.3339012979391827,0.6307709038426492,1.0,0.899776142246132,Siletti,Splatter
Siletti_COP_39,-0.3674161343331876,1.0595324129519932,-0.34677196265239224,0.6356165153940743,1.0,0.9040293547393725,Siletti,Committed oligodendrocyte precursor
Siletti_Splat_356,-2.1032909078067488,5.559288427156672,-0.37833815161169615,0.6474079151649381,1.0,0.9148622521725003,Siletti,Splatter
Siletti_MSN_214,-1.4942081761161028,3.910317886689277,-0.3821193620095153,0.6488111769464482,1.0,0.9148622521725003,Siletti,Medium spiny neuron
Astro_1,-0.7041120379805021,1.8415992066961255,-0.3823372834981269,0.6488919891697734,1.0,0.9148622521725003,SEA-AD,
OPC_2_2-SEAAD,-0.6514586487259021,1.6689275780287705,-0.39034566706325446,0.6518570553227426,1.0,0.9156331766289212,SEA-AD,
Siletti_Splat_335,-0.7755957070962548,1.9684140732237039,-0.39402060656173277,0.6532145961105293,1.0,0.9156331766289212,Siletti,Splatter
Siletti_DLCT6b_101,-0.6352512600665847,1.5879838167538787,-0.4000363563938273,0.6554325969340018,1.0,0.9160945519106365,Siletti,Deep-layer corticothalamic and 6b
Siletti_Epen_70,-0.7828910689930635,1.894883878599458,-0.4131604463127905,0.6602528406533363,1.0,0.920179964703644,Siletti,Ependymal
L6 CT_3,-0.8741431396150798,1.9983554701105153,-0.437431254193598,0.6690978880347633,1.0,0.9298351739165049,SEA-AD,
Siletti_Splat_399,-0.4382759696400641,0.9623121914833562,-0.45544052493451587,0.6756008949027571,1.0,0.9361898115081063,Siletti,Splatter
Siletti_Splat_313,-0.6748582233373434,1.431373955881914,-0.47147582961403134,0.6813464621097949,1.0,0.9414616356787764,Siletti,Splatter
Siletti_Amex_405,-0.6573884503522326,1.3394674287884591,-0.4907834533511851,0.6882069996646989,1.0,0.9482397580607357,Siletti,Amygdala excitatory
Siletti_Splat_395,-0.8603900826453749,1.7120114577666636,-0.5025609371608777,0.6923602190860105,1.0,0.9512597910955103,Siletti,Splatter
Astro_2,-1.315622657743775,2.5798806201402846,-0.5099548589470144,0.6949551193309977,1.0,0.9521277764845592,SEA-AD,
Siletti_Splat_431,-0.7489542399596182,1.440648769452914,-0.5198728904922699,0.6984205022247203,1.0,0.9541801227577166,Siletti,Splatter
Siletti_Splat_363,-0.8123911396921647,1.5170418055231034,-0.5355100543271037,0.7038478654196189,1.0,0.9588938615969528,Siletti,Splatter
Siletti_Per_22,-0.9916125341109577,1.7894996362057858,-0.5541283798265751,0.7102508315353488,1.0,0.9600790078083903,Siletti,Vascular
Siletti_OPC_34,-1.8521236013671978,3.3375158383765218,-0.5549407676423588,0.7105287318423807,1.0,0.9600790078083903,Siletti,Oligodendrocyte precursor
Siletti_Misc_314,-0.40936644699350216,0.7308275064841859,-0.5601409954626007,0.7123046447404926,1.0,0.9600790078083903,Siletti,Miscellaneous
Siletti_Astro_56,-1.1639748528421456,2.0744042343684317,-0.561112840765352,0.7126359645588052,1.0,0.9600790078083903,Siletti,Astrocyte
Siletti_Misc_166,-1.669563788093005,2.906796481017921,-0.574365559816677,0.7171359425615011,1.0,0.961979634069602,Siletti,Miscellaneous
Siletti_Splat_344,-1.296059669975163,2.2319423297115364,-0.5806868989050761,0.7192703735293968,1.0,0.961979634069602,Siletti,Splatter
Siletti_Epen_68,-0.8055314748970818,1.3820691502517142,-0.582844552134292,0.7199971281799289,1.0,0.961979634069602,Siletti,Ependymal
Siletti_Splat_349,-0.9977315375349981,1.6343295925107568,-0.6104836760632977,0.7292251595293759,1.0,0.9716324240982069,Siletti,Splatter
Siletti_EMSN_226,-0.9468655241293171,1.4500163668050707,-0.6530033355524232,0.7431184847301456,1.0,0.9874314112167689,Siletti,Eccentric medium spiny neuron
Siletti_DLCT6b_104,-1.1906107693071193,1.7591801730788899,-0.6767986517397652,0.75072850142997,1.0,0.9937859748221975,Siletti,Deep-layer corticothalamic and 6b
Siletti_Amex_159,-2.3581161369845742,3.446733783263771,-0.684159637867835,0.7530581160475706,1.0,0.9937859748221975,Siletti,Amygdala excitatory
VLMC_2_2-SEAAD,-0.6643358013597006,0.9665900844005687,-0.6872983823041064,0.7540479149166365,1.0,0.9937859748221975,SEA-AD,
Siletti_DG_203,-2.6065030627955994,3.7335732966777706,-0.6981255906010826,0.7574458590823996,1.0,0.9955589204741567,Siletti,Hippocampal dentate gyrus
Siletti_Splat_347,-1.841567508646227,2.553709107371883,-0.7211344092912183,0.7645815902078873,1.0,0.9959205221622387,Siletti,Splatter
Siletti_Splat_346,-0.8984640230198769,1.2408826170989369,-0.7240523887105443,0.765478191343228,1.0,0.9959205221622387,Siletti,Splatter
Siletti_Epen_69,-1.1053226159779512,1.5004525974596732,-0.7366594705153012,0.7693301461686858,1.0,0.9959205221622387,Siletti,Ependymal
Siletti_Amex_174,-1.3590926651911195,1.8307760751519555,-0.7423587644809669,0.771059831808881,1.0,0.9959205221622387,Siletti,Amygdala excitatory
Siletti_Splat_413,-1.888470698465694,2.5395427654462446,-0.7436262638144056,0.771443514940096,1.0,0.9959205221622387,Siletti,Splatter
Siletti_Mmb_329,-1.4619269882251804,1.9538103371461124,-0.7482440646519379,0.7728383041324167,1.0,0.9959205221622387,Siletti,Mammillary body
Siletti_URL_308,-1.452284528205695,1.9407259954349316,-0.7483202325427846,0.7728612700573849,1.0,0.9959205221622387,Siletti,Upper rhombic lip
Siletti_LRL_316,-1.0391709127009747,1.380780995711858,-0.752596476869406,0.7741485295982763,1.0,0.9959205221622387,Siletti,Lower rhombic lip
Oligo_1,-2.1095671341570053,2.6732406347126028,-0.7891422518286696,0.7849800178970123,1.0,0.9999999984905519,SEA-AD,
Siletti_Splat_342,-1.8164465115188726,2.260868359170724,-0.80342869329426,0.7891308397500019,1.0,0.9999999984905519,Siletti,Splatter
Siletti_DLCT6b_102,-1.8924256484560704,2.3494824452446457,-0.8054649024028,0.789718595431556,1.0,0.9999999984905519,Siletti,Deep-layer corticothalamic and 6b
Siletti_Splat_343,-1.3335105472946085,1.6308609374229108,-0.8176727498310334,0.7932221863583908,1.0,0.9999999984905519,Siletti,Splatter
Siletti_CA13_183,-2.3704854753188402,2.8917245166964753,-0.8197480298112554,0.7938143253387281,1.0,0.9999999984905519,Siletti,Hippocampal CA1-3
L6b_2,-2.192783318069777,2.580876701756253,-0.8496273055499384,0.8022278060873407,1.0,0.9999999984905519,SEA-AD,
Siletti_Thex_460,-0.4881539169812237,0.560310061972992,-0.8712210436884026,0.8081770626492942,1.0,0.9999999984905519,Siletti,Thalamic excitatory
Siletti_Misc_165,-1.9227832987445614,2.1925677601857783,-0.8769550176098742,0.8097382180606837,1.0,0.9999999984905519,Siletti,Miscellaneous
Siletti_Vsmc_20,-1.1747132114096062,1.330343050442236,-0.8830152576202845,0.8113796922101157,1.0,0.9999999984905519,Siletti,Vascular
