cluster,conti_beta,conti_pvalue,conti_fdr,conti_sig,repro_beta,repro_pvalue,repro_fdr,repro_sig,both_sig
MSN_217,28.472819895046054,1.3354639599061358e-05,0.0001399202012538,True,28.71801536825325,7.72524924030904e-08,1.695876142753556e-06,True,True
Splat_238,19.776087713083232,4.230386698789168e-05,0.0004244938287653,True,14.759424107498402,0.0005978962403839,0.0038821150255917,True,True
EMSN_224,24.712861652699473,4.235730178570041e-05,0.0004244938287653,True,25.943364284373928,4.353684763036547e-06,5.41878214181332e-05,True,True
Splat_355,26.913212924001165,4.776123224647933e-05,0.0004684665545878,True,25.89143659602791,2.6735830629287527e-05,0.0002408997160102,True,True
Splat_428,19.201735619064177,4.915350314904643e-05,0.0004720784364939,True,11.43686358763226,0.0013533586814125,0.0079986968221944,True,True
MGE_243,16.58707756835211,5.387059801864602e-05,0.000506823381359,True,11.961670407175491,0.0001971426322255,0.0014658508621934,True,True
EMSN_426,30.122919439492,6.30913791426213e-05,0.0005817025156949,True,4.389025101738984,0.0621823639906529,0.1737337563617635,False,False
ULIT_131,21.73916308105747,6.867919607922435e-05,0.00062080606652,True,14.367281485821236,0.0019277095285347,0.010837488934811,True,True
CGE_292,17.880535837762423,8.1484652470043e-05,0.0007223927843978,True,21.77077879993039,4.466675084358052e-06,5.41878214181332e-05,True,True
MGE_241,12.818875060158314,0.000104828282171,0.0009118082656766,True,4.131664911677854,0.0379894022093163,0.1222408892177702,False,False
LLC_275,16.034147273911195,0.0001079253925071,0.0009213630730702,True,8.882144807427162,0.0018285502945952,0.0104069343926965,True,True
MGE_256,15.273260898656185,0.0001187731314242,0.0009955347924834,True,11.025360114971736,0.0010327128278543,0.0062642186005374,True,True
EMSN_233,16.784028040787344,0.0001337283726856,0.0010848396726282,True,4.530153081737794,0.028118767692349,0.0960203844901695,False,False
MSN_220,21.684044817820073,0.0001341341894572,0.0010848396726282,True,20.08829551000173,6.120138061249669e-05,0.0005129788447701,True,True
CBI_306,8.765142048030649,0.0001554556671284,0.0012356045266592,True,11.845748902135307,0.0003434028736873,0.0023628167876102,True,True
Splat_390,19.725528006994622,0.0001997111932401,0.0015604552556559,True,34.080633904511664,8.866412226637976e-08,1.8579163802182304e-06,True,True
Splat_421,11.202259613547028,0.0002169328283025,0.0016667672307916,True,6.063667131951611,0.0197930201199347,0.0735853409297575,False,False
EMSN_225,14.152957656314362,0.000273832878769,0.00206945831332,True,12.163347531764137,0.0004426538755313,0.0029574411104339,True,True
CGE_296,12.297903204796627,0.0002859362782903,0.0021260745853522,True,10.831219623493151,0.0009422454305952,0.0058699343716814,True,True
DLCT6b_108,23.339094047331628,0.0002984539350315,0.0021839248261834,True,25.303225679588284,9.508569594973704e-05,0.0007690264181198,True,True
Splat_367,19.33605552893102,0.0003576095024074,0.0025759059470289,True,18.860617306739453,0.000271118565715,0.0019697503918793,True,True
MSN_206,12.173432133266925,0.000365321186278,0.0025909702596029,True,9.268612945268002,0.002272264229525,0.0124110947881613,True,True
CGE_291,16.835621725252363,0.0003993735119314,0.0027895634697028,True,19.574061703931292,2.2821745008339e-05,0.0002147107030376,True,True
EMSN_234,21.94381509127304,0.000466203542628,0.0032077587037542,True,12.604461866557768,0.0070038041824624,0.031347123573934,True,True
MGE_253,12.441493844226471,0.0005400058067603,0.0036609217193608,True,9.884484475260496,0.002288379733175,0.0124110947881613,True,True
ULIT_129,18.45352783873456,0.0005645497100789,0.0037718466137156,True,8.960945817679045,0.0147980472558911,0.0578590460324729,False,False
ULIT_128,15.86805709444786,0.0005802578239882,0.0038214122408371,True,12.160504270543546,0.0028954054037867,0.0151679760357464,True,True
Splat_425,19.253047574076483,0.0006602022438336,0.0042866652733425,True,11.259471938383845,0.0074823089729868,0.0328508993956851,True,True
DLCT6b_109,20.117915312577423,0.0006770690588345,0.0043351227239269,True,14.309321161902584,0.0035515030390582,0.0179916802308336,True,True
CGE_290,12.62802287424425,0.0007314654201867,0.0046192542288506,True,17.413912992387267,1.8506707574972303e-05,0.0001854693954796,True,True
MSN_207,14.161380315234606,0.0009255768763708,0.0057660937838778,True,15.586200779525717,0.0003301624472019,0.0023416136640016,True,True
CGE_285,14.544854554471463,0.0009699666503369,0.0059620616774047,True,7.612701927916741,0.0250208287468031,0.0880503973456201,False,False
Thex_450,11.132720297292916,0.0010641285101637,0.0064547795155988,True,6.711814605568282,0.0112816376297901,0.0464395370378711,True,True
Midi_434,13.17674488705546,0.0011301354704457,0.0067661357386425,True,15.842125290050038,4.6365558189820355e-05,0.0003958244875093,True,True
DLIT_136,11.79047106992777,0.001188209610672,0.007014046692711,True,11.52230341185788,2.717306991872892e-05,0.0002408997160102,True,True
CBI_307,9.13953823998366,0.0012019732944125,0.007014046692711,True,3.6813863148669426,0.0711238680744561,0.188437374611059,False,False
Midi_436,10.910329312259318,0.0012331931129556,0.007106275313407,True,9.069117739181213,0.0030002979336669,0.0153681927491163,True,True
Amex_407,13.949673720183782,0.0013081790579206,0.00744531537903,True,0.0550394592433157,0.4893419151367861,0.7725569276645836,False,False
LLC_266,13.658135491324527,0.0013818276986834,0.0077296811461202,True,19.201055478446367,2.4161356891427843e-05,0.0002227677105389,True,True
Splat_422,15.799097496707208,0.001391677950386,0.0077296811461202,True,7.865421059419942,0.0165894432828878,0.0637311112784273,False,False
CA13_179,13.058770764290689,0.0015129795722208,0.0082864123273475,True,20.234264466105504,1.266823672696482e-05,0.000132728571162,True,True
MGE_258,8.715861859690657,0.0015400813091944,0.0082864123273475,True,21.039392224576716,1.1635101543117088e-05,0.0001247391118924,True,True
CA4_198,10.99656502268268,0.0015663058907454,0.0082864123273475,True,3.446044184527711,0.0327490889725927,0.1078380715454661,False,False
EMSN_232,15.72245620469704,0.0015791367731027,0.0082864123273475,True,33.04689013141468,3.805935605560862e-07,6.249440568495794e-06,True,True
DLNP_94,14.95557315563376,0.0015901628882326,0.0082864123273475,True,17.517867498443717,0.0001001118344379,0.0007957164771703,True,True
MGE_244,11.934112937851763,0.0015997629005074,0.0082864123273475,True,8.823948439506129,0.0066853815075887,0.0308196087499843,True,True
Splat_385,16.18948786638374,0.0017671551807738,0.0090517615370749,True,3.35532606133375,0.0410558262119008,0.1270250730448744,False,False
