supertype,beta,se,t_stat,p_value,n_genes,p_bonferroni,p_fdr
L6b_1,0.2867344301260433,0.603619947335349,0.4750247757580222,0.3173876807502318,17160,1.0,0.49925942085264996
L6b_3,0.4038655942131554,0.8666772173711551,0.46599308960512303,0.3206131816610227,17160,1.0,0.49925942085264996
Sst_5,0.3360467553687983,0.7214828208927665,0.46577235886638624,0.3206921827374686,17160,1.0,0.49925942085264996
L6 CT_3,0.34233730870110135,0.7632780862097112,0.44850928499871007,0.3268956756928536,17160,1.0,0.5002787466233343
L2/3 IT_13,0.2738133458337686,0.6171818918074687,0.4436509714046913,0.3286502715043802,17160,1.0,0.5002787466233343
Pvalb_15,0.2628725105716435,0.6728452905275499,0.3906878955272707,0.3480163992575034,17160,1.0,0.5239367769041535
Oligo_3,0.16838709515664366,0.6624804316428163,0.2541767078901908,0.3996810452954608,17160,1.0,0.5951772087551971
Lamp5_Lhx6_1,0.10541551550485852,0.6602107717623782,0.1596694874024253,0.4365716588898598,17160,1.0,0.64284258395615
L2/3 IT_10,0.10977714587905461,0.7404976094495869,0.1482478059053454,0.44107447366334385,17160,1.0,0.64284258395615
OPC_1,0.0724589996693665,0.5991933506494618,0.12092757636717541,0.4518749079612576,17160,1.0,0.6516511830599189
Oligo_2,0.038501725215216685,0.5124872021690766,0.07512719352260905,0.47005719382638034,17160,1.0,0.6708107870230636
L2/3 IT_3,-0.0013525882231579414,0.6837646235346025,-0.0019781488784341773,0.5007891552093771,17160,1.0,0.7073001470482954
L6 CT_4,-0.04528685627370034,0.7611206193370461,-0.059500235735495184,0.5237228146090619,17160,1.0,0.7321431183820559
L6 CT_2,-0.06333430311539646,0.7786025287666448,-0.08134356205562544,0.5324151599122566,17160,1.0,0.7367765344240319
OPC_2_2-SEAAD,-0.051159130785548894,0.5176490621165202,-0.09882975654659494,0.5393627017245206,17160,1.0,0.7389269013625932
L4 IT_2,-0.06422372049425616,0.4942503666151879,-0.12994167497352468,0.5516929522914775,17160,1.0,0.7438283095016829
L5 ET_1,-0.0728058148202592,0.5382341879346974,-0.13526791209534345,0.5537991793370194,17160,1.0,0.7438283095016829
L2/3 IT_6,-0.14466711478503413,0.7325808864014435,-0.19747596131761305,0.5782712846220384,17160,1.0,0.7691569513904782
VLMC_2,-0.09700689299685246,0.30444985729432567,-0.3186301148535978,0.6249945532694459,17160,1.0,0.8059295644553838
Astro_5,-0.14944933585483688,0.4547977162248579,-0.32860617044292106,0.6287713027661475,17160,1.0,0.8059295644553838
L5/6 NP_1,-0.23076929735978763,0.6964248577633931,-0.33136280933583556,0.629812749538959,17160,1.0,0.8059295644553838
L5 IT_7,-0.32577164694421606,0.9650775865025173,-0.33756005890140556,0.6321505622285564,17160,1.0,0.8059295644553838
L2/3 IT_5,-0.19504710006333187,0.5636990684576997,-0.34601281246922677,0.6353313354830763,17160,1.0,0.8059295644553838
Astro_4,-0.17951809972386917,0.46062374170541526,-0.3897282824789287,0.6516288406683578,17160,1.0,0.8154047610444537
VLMC_2_1-SEAAD,-0.13487472853653104,0.33883012755269054,-0.3980600235011777,0.65470455266343,17160,1.0,0.8154047610444537
Oligo_4,-0.24631825523650266,0.5903540255195758,-0.41723820722610605,0.661745298746758,17160,1.0,0.8167487020568095
L2/3 IT_1,-0.38212696694164855,0.6951746024296857,-0.5496848785989694,0.7087286570720943,17160,1.0,0.8669270180256868
Oligo_1,-0.34872994648278655,0.5070183116906788,-0.6878054272239764,0.7542076913828689,17160,1.0,0.9068151529339219
L6b_6,-0.32093428866957757,0.465813544158063,-0.6889758631850258,0.7545761126603437,17160,1.0,0.9068151529339219
VLMC_2_2-SEAAD,-0.24205082174355816,0.3384529864251671,-0.715168225578876,0.7627425835297239,17160,1.0,0.9086585560310624
L5 ET_2,-0.6446610079678389,0.8329572912170238,-0.7739424515102479,0.7805122554341944,17160,1.0,0.9200490253841974
L6 IT Car3_1,-0.5450016723114546,0.6883685863564327,-0.7917294355283905,0.7857352990507379,17160,1.0,0.9200490253841974
L4 IT_4,-0.46730861930148276,0.5439440069743486,-0.8591116241924514,0.804854530573232,17160,1.0,0.9229000968692314
L5 IT_1,-0.5047459791909632,0.5792755077285309,-0.8713401006201442,0.8082096626776689,17160,1.0,0.9229000968692314
Astro_2,-0.39528658187892657,0.45332947873321,-0.8719631094441965,0.8083796468927574,17160,1.0,0.9229000968692314
L5 IT_2,-0.5141322880592543,0.5514572765198925,-0.9323157204558314,0.8244067467546665,17160,1.0,0.9334192091354488
L5 IT_5,-0.4832171485656142,0.47217866254675384,-1.0233777739115169,0.846928152734197,17160,1.0,0.9450161405358832
Astro_1,-0.6233959553640066,0.605345424649528,-1.029818563054192,0.8484451480723624,17160,1.0,0.9450161405358832
OPC_2,-0.6586553648814047,0.5514001822238848,-1.1945142314334078,0.8838533039019655,17160,1.0,0.9765153438271715
Astro_3,-0.5448714025407388,0.4339624679431146,-1.2555726423146865,0.8953559717576394,17160,1.0,0.9813101450463727
Endo_1,-0.4383056760602763,0.2798651176935984,-1.5661318554895491,0.9413319017950955,17160,1.0,0.9999998526386171
Micro-PVM_2_3-SEAAD,-0.6308528188482848,0.3345283631828044,-1.8857977029097313,0.9703304497393939,17160,1.0,0.9999998526386171
L6 IT Car3_2,-1.171510399038169,0.61172983449648,-1.915078083452394,0.9722504216716821,17160,1.0,0.9999998526386171
L6b_2,-1.637241541924234,0.8439599759934442,-1.9399516428453853,0.9737990325508776,17160,1.0,0.9999998526386171
Micro-PVM_1_1-SEAAD,-0.5855428879122485,0.25282979848975834,-2.315956787569752,0.9897138213823683,17160,1.0,0.9999998526386171
Endo_3,-0.8018549128850165,0.34118075747275584,-2.350234869119331,0.9906135837800489,17160,1.0,0.9999998526386171
Endo_2,-0.741835826322454,0.29506498576394796,-2.514143873769973,0.9940293742880764,17160,1.0,0.9999998526386171
Micro-PVM_2_1-SEAAD,-0.5855198287669293,0.23057182569171641,-2.539424871232066,0.9944438799862855,17160,1.0,0.9999998526386171
Micro-PVM_3-SEAAD,-0.87657082542322,0.3413442608287786,-2.5679963778940342,0.994881394733465,17160,1.0,0.9999998526386171
Micro-PVM_1,-0.9487474947320521,0.28210467446080745,-3.3631044807939214,0.9996138012532411,17160,1.0,0.9999998526386171
Micro-PVM_2,-0.9384787517212841,0.2654839670545021,-3.534973362548182,0.9997955549104208,17160,1.0,0.9999998526386171
VLMC_1,-1.4670398559355498,0.28603792287217206,-5.128829915993893,0.9999998526386171,17160,1.0,0.9999998526386171
