cell_type,expr_beta,expr_fdr,expr_logp,atac_beta,atac_fdr,atac_logp,class,subclass
L6b_1,0.2867344301260433,0.4992594208526499,0.4984099341849089,2.5755443953632593,0.4482648911896648,0.6222483549512947,Glutamatergic,L6b
L6b_2,-1.637241541924234,0.9999998526386172,0.011530661252461808,-7.797334585197561,0.9999999999187467,0.004988350944995795,Glutamatergic,L6b
L6b_3,0.4038655942131554,0.4992594208526499,0.49401862607120645,3.375063008845672,0.214145938069733,0.9993916025187692,Glutamatergic,L6b
L6b_4,0.5530090657556924,0.4453539087326175,0.5742014464367662,2.213222112273532,0.46980919934876925,0.5902796915144923,Glutamatergic,L6b
L6b_5,0.6304883969330262,0.3687986267820625,0.6777623368645735,-0.7447899639837047,0.9782846788353564,0.2282702622094387,Glutamatergic,L6b
L6b_6,-0.3209342886695775,0.906815152933922,0.12229694721878089,-7.237198097488211,0.9999999999187467,0.004286293233355203,Glutamatergic,L6b
Lamp5_1,5.677635306896656,2.8823306034930773e-05,5.939942562720834,9.943003446227639,0.02271936412919963,2.1633693377047263,GABAergic,Lamp5
Lamp5_2,1.7258944009032886,0.0590692131819993,1.7026015494992561,12.885403418657937,0.004488513056881205,3.0270376113546615,GABAergic,Lamp5
Lamp5_3,1.284021572876516,0.1280546484288287,1.2969314592002277,15.596937998317943,0.0012720801340572433,3.792158619908723,GABAergic,Lamp5
Lamp5_4,3.07594925721501,0.005848476483448,3.007949983177012,23.125020599608668,3.2921766612847847e-06,7.148410413720022,GABAergic,Lamp5
Lamp5_5,9.767772952833427,5.551502924028284e-09,10.392309994258605,17.058402745628378,0.0007573543726781064,4.117587627365139,GABAergic,Lamp5
Lamp5_6,3.8067700397123625,0.0054987964099144,3.060047571821136,13.732456300812812,0.002574280262886849,3.3706311372861095,GABAergic,Lamp5
Lamp5_Lhx6_1,0.1054155155048585,0.64284258395615,0.3599444609934639,11.108504172418195,0.02237178493847168,2.202249557454451,GABAergic,Lamp5 Lhx6
Micro-PVM_1,-0.948747494732052,0.9999998526386172,0.0001677563803727071,-4.844290680474115,0.9999999999187467,0.0015270363893469573,Non-neuronal,Micro-PVM
Micro-PVM_2,-0.938478751721284,0.9999998526386172,8.879845176949486e-05,-4.220387325240201,0.9999999999187467,0.003697791971655028,Non-neuronal,Micro-PVM
