gene,gwas_zstat,gwas_p,upper_sst_spec,deep_sst_spec,total_sst_spec,upper_fraction,upper_gwas_score,is_scz_gwas
GLT8D1,7.3905,7.3164e-14,0.051208605000000004,0.0678461802,0.1306715591,0.3918879161823669,0.37845719525250004,True
PRDM7,3.8364,6.2418e-05,0.098617708,0.11685711189999999,0.24230117550000002,0.40700466184903006,0.3783369749712,False
YPEL3,6.3671,9.6289e-11,0.0593876757,0.07589664289999999,0.1494661566,0.39733192483789337,0.37812726994947,False
OPCML,5.6385,8.5793e-09,0.06698001,0.0740516812,0.16024323220000006,0.4179896341356998,0.377666786385,True
YPEL1,4.6704,1.5028e-06,0.0806764045,0.08911171770000001,0.1832649788,0.44021724733367334,0.3767910795768,False
DGKI,5.4427,2.6233e-08,0.0690135845,0.0721848759,0.16041409839999995,0.4302214405613617,0.37562023635815006,True
ASPHD1,5.6699,7.1456e-09,0.06621632799999999,0.0634622974,0.1447705884,0.4573879869648992,0.37543995812719994,True
MCOLN3,1.1883,0.11736,0.315731304,0.003116303,0.3195082787,0.9881787892465023,0.3751835085432,False
SFN,1.8808,0.029997,0.199238945,0.04157948,0.253884782,0.7847612741121286,0.37472860775600003,False
C8orf87,3.2161,0.00064973,0.1159908583,0.392212471,0.6092185912999999,0.19039284085616845,0.37303819937863,False
TENM3,4.1906,1.3909e-05,0.088996222,0.11898596099999999,0.238593707,0.37300322426358046,0.3729475679132,False
NEGR1,5.1868,1.0699e-07,0.07123117949999999,0.0713787396,0.16378583509999997,0.43490439485508353,0.36946188183059997,False
RAB3C,4.3695,6.226e-06,0.0844965345,0.116646833,0.2230154795,0.3788819264449309,0.36920760749775,False
MOB4,7.6424,1.0658e-14,0.048184587900000006,0.0609085221,0.12223389970000001,0.3941998743250437,0.36824589456696005,True
ITGA9,3.2727,0.0005326,0.112340368,0.060460429100000004,0.2096772251,0.5357776360614379,0.36765632235359996,False
MAP7D1,4.8855,5.1591e-07,0.07495521349999999,0.07756229270000001,0.17238614920000006,0.4348099533973462,0.36619369555425,True
PRR12,5.4449,2.5915e-08,0.067114732,0.07082891570000001,0.15342092670000002,0.43745487296681795,0.3654330042668,True
GNL3,7.3748,8.2268e-14,0.0495217464,0.06825930029999999,0.13425692939999997,0.36885802931226586,0.36521297535071995,True
CFHR1,1.9606,0.024962,0.185486458,0.0059581415,0.19491514049999997,0.9516267311209722,0.3636647495548,False
AMIGO3,2.213,0.013448,0.16423884,0.0,0.186112277,0.8824718210287653,0.36346055292,False
LRRC37A,5.9992,9.9144e-10,0.0605314606,0.0546783504,0.12826536970000002,0.47192364347116517,0.36314033843152005,False
