gene,spearman_rho,pval,n_expressing,pval_fdr,abs_rho
LOC105372267,-0.2278148509084725,0.008112606913778913,34,0.2092329933722343,0.2278148509084725
SH3GL2,0.22765073190748086,0.00815972721184533,120,0.21001284376899063,0.22765073190748086
AK2P1,0.2276291948228631,0.008165928675634405,14,0.21001284376899063,0.2276291948228631
FSD1L,-0.22761940407132258,0.00816874923750936,105,0.21001284376899063,0.22761940407132258
ANKRD11,-0.22755645332236066,0.008186904957194208,133,0.210040035977307,0.22755645332236066
LOC105373162,-0.2275342063025461,0.008193329786000222,17,0.210040035977307,0.2275342063025461
C7,-0.22752594966769613,0.008195715395849856,75,0.210040035977307,0.22752594966769613
MEIS3,-0.22739381745333115,0.008233976376281416,105,0.21071699920941828,0.22739381745333115
MUC16,-0.2273609041710718,0.008243531486158544,66,0.21071699920941828,0.2273609041710718
FAM47E,-0.22734510266214084,0.008248122332443823,34,0.21071699920941828,0.22734510266214084
LOC102724691,-0.227273990698065,0.008268810645847977,53,0.21091027448041655,0.227273990698065
DMPK,-0.2272149229633869,0.008286029863241414,98,0.21091027448041655,0.2272149229633869
TXNIP,0.22720816903255228,0.008288000764414324,43,0.21091027448041655,0.22720816903255228
CCKBR,0.22718788189444275,0.008293923357655457,52,0.21091027448041655,0.22718788189444275
LOC105374516,0.22714535712698722,0.00830635011544881,14,0.21091027448041655,0.22714535712698722
DGAT2,-0.2271406749139602,0.008307719376351263,25,0.21091027448041655,0.2271406749139602
NBN,0.2270889358443899,0.00832286318534203,110,0.2110744061842581,0.2270889358443899
LOC105377986,0.22701610524456156,0.008344221766040686,11,0.21139564330403704,0.22701610524456156
RASAL2,0.22697568171152163,0.008356097431914223,132,0.21147621814941292,0.22697568171152163
LZTR1,-0.22690788727227548,0.008376047704966177,87,0.21176076531443075,0.22690788727227548
C1orf21,-0.22682300874233904,0.008401084783706422,102,0.2121731910950404,0.22682300874233904
LIPI,0.22673647266156424,0.008426678899602417,36,0.2124214543272388,0.22673647266156424
PDCD6IPP2,-0.2267307191279526,0.008428383019850558,93,0.2124214543272388,0.2267307191279526
CDC40,0.22664785794109013,0.008452959217062319,111,0.21282031171653484,0.22664785794109013
LOC101928278,0.22660706000753605,0.008465082931258586,87,0.2129051519867012,0.22660706000753605
COX19,-0.2265392728290851,0.008485260893725002,102,0.21319217995484066,0.2265392728290851
ADAD1,-0.22644713323042395,0.008512755920882872,20,0.21366226702971347,0.22644713323042395
INHBB,-0.22640409111176857,0.008525626920505855,12,0.21376471374600298,0.22640409111176857
LOC105369677,-0.22635623699024718,0.008539957056451497,39,0.21384238511504292,0.22635623699024718
C9orf24,-0.22622638492062477,0.008578949169289746,91,0.21384238511504292,0.22622638492062477
INTU,-0.22620429187889246,0.008585598929553928,94,0.21384238511504292,0.22620429187889246
BIRC3,-0.2262029798665746,0.00858599397394399,38,0.21384238511504292,0.2262029798665746
VRTN,-0.2261983849131951,0.008587377632232608,56,0.21384238511504292,0.2261983849131951
ZBTB16,-0.22618505684634133,0.00859139216974135,72,0.21384238511504292,0.22618505684634133
C21orf91,0.2261791940701528,0.008593158617558437,25,0.21384238511504292,0.2261791940701528
RASGRF1,-0.22615959971725236,0.008599064703034906,75,0.21384238511504292,0.22615959971725236
ANGPT1,-0.22612789265632152,0.008608629372626518,66,0.213861567897497,0.22612789265632152
LOC101929401,0.22604249865574869,0.008634435876337315,15,0.21428379076367327,0.22604249865574869
PPP1R13B,-0.2259233397517212,0.00867056054613354,130,0.21496096130735354,0.2259233397517212
VWDE,0.22583633644454584,0.008697021082892047,23,0.21539740301121943,0.22583633644454584
SEPT9,-0.22570910165362779,0.008735845775783712,114,0.21580279354911622,0.22570910165362779
TCEA3,-0.22563245094964934,0.00875930896461826,54,0.21580279354911622,0.22563245094964934
CIRBP,0.2256265742463239,0.008761110150213684,130,0.21580279354911622,0.2256265742463239
PFN1P1,0.22562410486165152,0.008761867104157316,31,0.21580279354911622,0.22562410486165152
GPC6,0.2256136568414866,0.008765070432059867,128,0.21580279354911622,0.2256136568414866
C14orf105,-0.2256085778154477,0.008766628018030789,12,0.21580279354911622,0.2256085778154477
LOC105374394,-0.22548696341338295,0.008803996618958925,43,0.2164157718732374,0.22548696341338295
HRH3,-0.2254696568159205,0.008809325856441143,13,0.2164157718732374,0.2254696568159205
