supertype,beta,se,t_stat,p_value,n_genes,p_bonferroni,p_fdr
Micro-PVM_2_3-SEAAD,-4.191693439088609,1.8373082375985519,-2.281431799689392,0.9887321262591584,16301,1.0,0.9999999999187467
L6b_6,-7.237198097488211,3.101637699336032,-2.3333473471248687,0.9901789893191169,16301,1.0,0.9999999999187467
Micro-PVM_2,-4.220387325240201,1.7674117668358742,-2.3878913813026093,0.9915216648600654,16301,1.0,0.9999999999187467
Monocyte,-3.871789484995356,1.5761884393696082,-2.4564255061684546,0.9929784785567014,16301,1.0,0.9999999999187467
Sst Chodl_1,-9.28844371636684,3.7441718870051677,-2.4807738524516143,0.9934401167899876,16301,1.0,0.9999999999187467
Pericyte_2-SEAAD,-3.6711093448544374,1.4720297135696878,-2.4939098110675757,0.9936778513277204,16301,1.0,0.9999999999187467
L6 CT_3,-8.115031696401747,3.1451776292784124,-2.5801505202310473,0.995057802190174,16301,1.0,0.9999999999187467
Micro-PVM_1,-4.844290680474115,1.7966837238263282,-2.6962400873523893,0.9964900431241025,16301,1.0,0.9999999999187467
Micro-PVM_3-SEAAD,-4.839980164444336,1.7853426169708622,-2.7109531349541114,0.9966419808635966,16301,1.0,0.9999999999187467
L5 IT_5,-7.461341793205223,2.7502965540745254,-2.712922641797064,0.9966618642793834,16301,1.0,0.9999999999187467
Endo_2,-6.241376588102093,2.265335029934936,-2.755167119047002,0.9970636355713738,16301,1.0,0.9999999999187467
L5 IT_6,-8.322898478170925,2.7025904840404564,-3.0796003047150284,0.9989618830446542,16301,1.0,0.9999999999187467
L2/3 IT_13,-8.096696794111415,2.6078383442965194,-3.1047541009661583,0.9990461815798543,16301,1.0,0.9999999999187467
L5 IT_3,-8.31362351313141,2.6274987987281486,-3.1640827075375455,0.9992207077679743,16301,1.0,0.9999999999187467
Astro_6-SEAAD,-7.775438823874841,2.249768566542086,-3.456106081091602,0.9997252819024628,16301,1.0,0.9999999999187467
Astro_2,-7.81308594860061,2.144940830751732,-3.642564790872286,0.9998646138756088,16301,1.0,0.9999999999187467
L6 CT_4,-12.245393689008768,3.17348334971419,-3.858660134489633,0.9999427751753974,16301,1.0,0.9999999999187467
L5 IT_7,-10.509319494440025,2.7183164931628307,-3.8661132803605818,0.9999444936014507,16301,1.0,0.9999999999187467
Astro_1,-7.583648134207015,1.9223569539296996,-3.9449739647490816,0.9999599285035152,16301,1.0,0.9999999999187467
Astro_5,-8.84652366726509,2.175582667150754,-4.066277876193468,0.9999760027734389,16301,1.0,0.9999999999187467
Astro_3,-7.673882653515698,1.8817173862664127,-4.078127092582028,0.9999771921685578,16301,1.0,0.9999999999187467
SMC-SEAAD,-4.32278858539637,1.0373632909700488,-4.167092303173835,0.9999844949564499,16301,1.0,0.9999999999187467
Astro_4,-11.324116152484809,2.236648618053673,-5.062983993587259,0.9999997913776085,16301,1.0,0.9999999999187467
Pericyte_1,-10.855672070881047,2.1404793192466722,-5.071608014742058,0.9999998006011319,16301,1.0,0.9999999999187467
VLMC_1,-13.120432130565574,2.0509470689898968,-6.397255360191944,0.9999999999187467,16301,1.0,0.9999999999187467
