gene,spearman_rho,pval,pval_fdr,abs_rho
SLC23A2,0.7764705882352941,0.0004043508405454708,0.05238536822853493,0.7764705882352941
ENTPD1-AS1,0.7764705882352941,0.0004043508405454708,0.05238536822853493,0.7764705882352941
EEPD1,0.7764705882352941,0.0004043508405454708,0.05238536822853493,0.7764705882352941
DNM3-IT1,0.7764705882352941,0.0004043508405454708,0.05238536822853493,0.7764705882352941
FAM151B,0.7764705882352941,0.0004043508405454708,0.05238536822853493,0.7764705882352941
HAPLN2,0.7764705882352941,0.0004043508405454708,0.05238536822853493,0.7764705882352941
AP001922.5,-0.7764705882352941,0.0004043508405454708,0.05238536822853493,0.7764705882352941
AC009133.4,-0.7763175947392074,0.00040611307665558937,0.05238536822853493,0.7763175947392074
ACR,0.7762058642344917,0.0004074040302932075,0.05238536822853493,0.7762058642344917
HRH2,-0.7735294117647058,0.00043935565171172104,0.05433756176494236,0.7735294117647058
LINC01901,-0.7735294117647058,0.00043935565171172104,0.05433756176494236,0.7735294117647058
ZNF337,-0.7735294117647058,0.00043935565171172104,0.05433756176494236,0.7735294117647058
TPD52L1,0.7735294117647058,0.00043935565171172104,0.05433756176494236,0.7735294117647058
ZDHHC21,0.7735294117647058,0.00043935565171172104,0.05433756176494236,0.7735294117647058
SFMBT2,0.7735294117647058,0.00043935565171172104,0.05433756176494236,0.7735294117647058
CDH18,0.7735294117647058,0.00043935565171172104,0.05433756176494236,0.7735294117647058
PRCD,0.7735294117647058,0.00043935565171172104,0.05433756176494236,0.7735294117647058
CPEB1,-0.7735294117647058,0.00043935565171172104,0.05433756176494236,0.7735294117647058
ERC1,0.7735294117647058,0.00043935565171172104,0.05433756176494236,0.7735294117647058
ANKK1,-0.7733545504844775,0.0004415130374252944,0.054394493024970236,0.7733545504844775
ERN2,-0.773220457064359,0.00044317335304114254,0.054394493024970236,0.773220457064359
TEX26,-0.7728647195308116,0.0004476029808348575,0.05440308477802055,0.7728647195308116
AC100839.2,-0.7711554699938907,0.00046939880520652553,0.05440308477802055,0.7711554699938907
LRRC36,-0.7705882352941176,0.00047682239536332553,0.05440308477802055,0.7705882352941176
PRDM1,-0.7705882352941176,0.00047682239536332553,0.05440308477802055,0.7705882352941176
RILP,-0.7705882352941176,0.00047682239536332553,0.05440308477802055,0.7705882352941176
HTATIP2,-0.7705882352941176,0.00047682239536332553,0.05440308477802055,0.7705882352941176
PKIA,0.7705882352941176,0.00047682239536332553,0.05440308477802055,0.7705882352941176
SPESP1,0.7705882352941176,0.00047682239536332553,0.05440308477802055,0.7705882352941176
PCSK6,0.7705882352941176,0.00047682239536332553,0.05440308477802055,0.7705882352941176
DCAF4L1,-0.7705882352941176,0.00047682239536332553,0.05440308477802055,0.7705882352941176
AC027307.1,-0.7705882352941176,0.00047682239536332553,0.05440308477802055,0.7705882352941176
CCNDBP1,-0.7705882352941176,0.00047682239536332553,0.05440308477802055,0.7705882352941176
PALLD,0.7705882352941176,0.00047682239536332553,0.05440308477802055,0.7705882352941176
DDB2,-0.7705882352941176,0.00047682239536332553,0.05440308477802055,0.7705882352941176
KLF3-AS1,0.7705882352941176,0.00047682239536332553,0.05440308477802055,0.7705882352941176
SLC18B1,0.7705882352941176,0.00047682239536332553,0.05440308477802055,0.7705882352941176
GLRA2,-0.7705882352941176,0.00047682239536332553,0.05440308477802055,0.7705882352941176
