cell_type,beta,se,t_stat,p_value,n_genes,p_bonferroni,p_fdr,source,supercluster
Sncg_1,20.418653227310703,5.114174561186552,3.992560868429435,3.282020975425848e-05,16870,0.016508565506392,0.0003439284480498,SEA-AD,
Vip_15,12.713113152824569,3.207454104633385,3.963614984999976,3.706374137768531e-05,16870,0.0186430619129757,0.0003804706512852,SEA-AD,
Sst_23,17.20612676812452,4.349829185119762,3.955586768093008,3.832961329963691e-05,16870,0.0192797954897173,0.0003836600791595,SEA-AD,
Pvalb_9,17.949627323774077,4.54185064611617,3.952051426244757,3.889992850325541e-05,16870,0.0195666640371374,0.0003836600791595,SEA-AD,
Splat_424,23.19249708133641,5.9807725717693865,3.877843004900453,5.289322708734723e-05,16870,0.0266052932249356,0.0005116402543256,Siletti,Splatter
LLC_270,17.461705391625593,4.517191541339805,3.86561101777996,5.5613393827758095e-05,16870,0.0279735370953623,0.0005278025867049,Siletti,LAMP5-LHX6 and Chandelier
Vip_5,20.03058905685488,5.272395555140162,3.7991438326979594,7.285328928852142e-05,16870,0.0366452045121262,0.0006786148983727,SEA-AD,
MSN_217,22.50466108198825,6.053701481485748,3.717504265913187,0.0001009257496399,16870,0.0507656520688873,0.0009068174590838,Siletti,Medium spiny neuron
Pax6_2,11.774100457747965,3.169056960809578,3.715332543199259,0.0001017958551957,16870,0.0512033151634688,0.0009068174590838,SEA-AD,
Sncg_5,15.784214241867566,4.251130824227783,3.712944836209497,0.0001027606265761,16870,0.0516885951677802,0.0009068174590838,SEA-AD,
LLC_266,17.085755566063074,4.719957180229092,3.6198963070325534,0.0001477919559537,16870,0.0743393538447177,0.0012817129973227,Siletti,LAMP5-LHX6 and Chandelier
L2/3 IT_8,16.860310698501596,4.705298436743114,3.5832606422669055,0.000170143989344,16870,0.0855824266400355,0.0014340080628527,SEA-AD,
Sst_12,14.971030867855855,4.184266610512671,3.5779342621816235,0.0001736455334108,16870,0.0873437033056402,0.0014340080628527,SEA-AD,
LLC_271,14.288075242155056,3.99570652146902,3.575857026882457,0.0001750292827635,16870,0.0880397292300825,0.0014340080628527,Siletti,LAMP5-LHX6 and Chandelier
L5 ET_1,6.901494289365473,1.931471696168968,3.5731790960511804,0.0001768284075727,16870,0.0889446890090759,0.0014340080628527,SEA-AD,
