supertype,comp_beta,se_y,comp_zval,comp_pval,comp_padj,abs_comp_beta,comp_logp,is_sst
Pvalb_7,0.135898804676527,0.0658871344963603,2.0626000161539,0.039150646223205,0.304815745594954,0.135898804676527,1.407261065052889,False
Sncg_6,-0.0099450623828084,0.0612025234955034,-0.162494319103348,0.87091660152526,0.961919380354394,0.0099450623828084,0.0600234307919953,False
L5 IT_6,0.105963133916066,0.0710765312253008,1.4908315317215,0.136005731008827,0.499604933085498,0.105963133916066,0.8664427909454517,False
L6b_3,0.123211420755199,0.0892720812798716,1.38017865147476,0.167531645433414,0.512977103115637,0.123211420755199,0.7759031460061636,False
L6b_4,0.263148912719372,0.0766304865344309,3.43399767664449,0.0005947492937785,0.021609224340621,0.263148912719372,3.225666064983479,False
Sncg_5,0.0147969765618592,0.0727340801672124,0.203439385331356,0.838791618356915,0.961919380354394,0.0147969765618592,0.07634591788185822,False
Pvalb_3,-0.0427632660488448,0.055314205714086,-0.773097353505972,0.439464767235097,0.725161804665052,0.0427632660488448,0.35707593744739896,False
L6 IT_1,0.1048442674229,0.0787099144638225,1.33203381222183,0.182849077951207,0.513113325556289,0.1048442674229,0.737907225327099,False
L5 IT_7,-0.0387628650406406,0.0673412840245114,-0.575618145720704,0.564873313227867,0.786920305648997,0.0387628650406406,0.24804894250858128,False
Chandelier_2,0.154152041754566,0.0699836489851141,2.20268654164283,0.027616849489067,0.231556661100639,0.154152041754566,1.5588258669432993,False
Vip_1,-0.0514451227739463,0.0492731622252091,-1.04407999102655,0.296448382399967,0.609676861916914,0.0514451227739463,0.5280509150835138,False
Sst Chodl_1,-0.0181061358445948,0.0703998396236776,-0.25719001550829,0.797032091301406,0.961919380354394,0.0181061358445948,0.09852419203608813,True
L2/3 IT_1,-0.0435929821253722,0.0610158349794698,-0.714453586352462,0.474946746590716,0.725161804665052,0.0435929821253722,0.3233550829190088,False
L2/3 IT_2,0.075801956093688,0.0821736060870001,0.922461112555214,0.356288105453833,0.652482950989092,0.075801956093688,0.44819867616706527,False
Sncg_2,0.157378115090815,0.0823075552516264,1.91207374110052,0.0558667363791497,0.338304125851518,0.157378115090815,1.2528466984971027,False
Sst_1,0.0697615060622537,0.0618378532279409,1.1281359623709,0.259262503421158,0.569755257858317,0.0697615060622537,0.5862602897668029,True
Sncg_8,-0.0017587901633398,0.0635160211386955,-0.0276904965362888,0.977909003464133,0.995669874819086,0.0017587901633398,0.009701555367838169,False
Pax6_3,0.0362607840844254,0.0718403102289647,0.504741474095217,0.613740427052186,0.81582568961815,0.0362607840844254,0.21201526881738175,False
