CellType,estimate,se,zval,pval,I2,ci.lb,ci.ub,k,padj
L2/3 IT_5,-0.06927504878788743,0.06139269504163358,-1.1283923721040168,0.2591542477973513,0,-0.18960251998334,0.051052422407565134,7,0.6011994412275342
Pvalb_2,-0.017292726331961127,0.06246887597523462,-0.2768214740860187,0.7819171913459277,36.97098758320487,-0.13972947339812042,0.10514402073419815,7,0.9066912112415545
Vip_23,-0.027757006002729748,0.043994779785350366,-0.6309158981623642,0.5280955161826264,0,-0.11398518988978726,0.05847117788432776,7,0.8054879853659168
Pax6_3,0.02231108062961045,0.07576673290395274,0.2944706703652321,0.768398272046409,0,-0.12618898708840276,0.17081114834762368,7,0.9066912112415545
Vip_5,-0.03406087991726453,0.06533309908651334,-0.5213418679582534,0.6021286397249176,27.718020991842366,-0.16211140112521738,0.09398964129068832,7,0.8723300506286329
Lamp5_3,0.10396645158656694,0.0670309202019258,1.5510222934934432,0.12089634150323446,46.916004373160824,-0.027411737859785942,0.2353446410329198,7,0.42508713625330824
L5 ET_2,0.0484163874346378,0.06992848028831221,0.6923700791868929,0.4887049509381236,0,-0.08864091542407321,0.18547369029334881,7,0.795057308242619
L4 IT_1,0.02803704166388399,0.05594026878187051,0.5011960484710868,0.6162331550312361,20.774578261396353,-0.08160387043407251,0.1376779537618405,7,0.8723300506286329
Pvalb_9,-0.005921380361762289,0.06198454226372624,-0.09552995223500295,0.923893900601128,61.12867152575295,-0.12740885079686654,0.11556609007334195,7,0.969883901658038
L6 IT_1,0.16789038271563708,0.08253555537252465,2.0341582722484026,0.04193564022794335,0,0.006123666741477435,0.32965709868979676,7,0.21419365953690625
Lamp5_4,0.10748340829300927,0.07339168660530447,1.4645174850803986,0.14305260916846105,0,-0.03636165421803818,0.25132847080405674,7,0.4510085784860005
Pvalb_15,-0.10099995496015976,0.04400112776580661,-2.2953946884663057,0.021710515478569913,0,-0.1872405806602861,-0.01475932926003344,7,0.1577630791442747
Pvalb_1,0.018593672625486463,0.06072540750490982,0.3061926364838822,0.7594579785769826,22.821686854436383,-0.10042593903065507,0.137613284281628,7,0.9066912112415545
Vip_19,-0.017151819176252088,0.03982546296000064,-0.43067469657487223,0.6667049197747101,0,-0.09520829224548727,0.0609046538929831,7,0.8755522440414867
Sst_1,0.04990784628447784,0.06083796835437165,0.8203404491381507,0.41202205349827337,0,-0.06933238058267813,0.1691480731516338,7,0.7527070321384046
L6 IT_2,0.08880033051462223,0.07825714066555806,1.134724956207151,0.2564905774682115,0,-0.06458084672295643,0.24218150775220088,7,0.6011994412275342
