# MEAN_SAMPLE_SIZE = 57475
# TOTAL_GENES = 15956
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE      TYPE  NGENES         BETA     BETA_STD           SE            P
Type226      COVAR   15956       41.347     0.053117       7.4562   1.4964e-08
Type227      COVAR   15956       39.382     0.051555       7.3049   3.5624e-08
Type228      COVAR   15956       14.612     0.019965       7.1359     0.020303
Type229      COVAR   15956       1.6396    0.0026385       5.7802      0.38834
Type230      COVAR   15956       31.714      0.04052       7.6572   1.7343e-05
Type231      COVAR   15956       28.487     0.035494       7.7103   0.00011054
Type232      COVAR   15956       7.9131     0.014208       5.0423     0.058297
Type233      COVAR   15956       1.9963    0.0042349       4.7605      0.33749
Type234      COVAR   15956       12.719     0.021431       5.2713    0.0079207
Type235      COVAR   15956       14.549     0.024338       5.6032    0.0047142
Type236      COVAR   15956       30.242     0.037267       7.7732    5.025e-05
Type237      COVAR   15956        30.71     0.041115       7.0392   6.4733e-06
Type238      COVAR   15956       24.207     0.031598       7.1617   0.00036342
Type239      COVAR   15956       24.215     0.032851       6.7543   0.00016907
Type240      COVAR   15956       24.623     0.034071       6.8013   0.00014767
Type241      COVAR   15956       10.033     0.014477       6.3555     0.057223
Type242      COVAR   15956       6.9988     0.013139       4.7101     0.068664
Type243      COVAR   15956       19.722     0.029164       6.3687   0.00098074
Type244      COVAR   15956       12.581     0.021537       5.2354    0.0081367
Type245      COVAR   15956       7.8128     0.013748       5.1082     0.063087
Type246      COVAR   15956       6.6982     0.012019       5.2808      0.10234
Type247      COVAR   15956       5.9977     0.010401        5.462      0.13609
Type248      COVAR   15956       27.926     0.040531       6.5804   1.1063e-05
Type249      COVAR   15956       27.231      0.03705        6.933   4.3094e-05
Type250      COVAR   15956       14.899     0.021613       6.4615     0.010567
Type251      COVAR   15956       12.486     0.017529       6.6712     0.030639
Type252      COVAR   15956       7.1455     0.013736       4.8234      0.06926
Type253      COVAR   15956       9.6331     0.014429       6.4708     0.068295
Type254      COVAR   15956       7.9164     0.015389        4.637     0.043902
Type255      COVAR   15956        5.574    0.0089558       5.6274      0.16097
Type256      COVAR   15956       2.6186    0.0039782       6.3702      0.34051
Type257      COVAR   15956        7.393     0.013439       4.9214     0.066534
Type258      COVAR   15956       42.112     0.053625       7.4831   9.3287e-09
Type259      COVAR   15956       25.612     0.036283       6.2234   1.9445e-05
Type260      COVAR   15956       26.899     0.038947       6.6559   2.6722e-05
Type261      COVAR   15956       12.353     0.022569       5.1904    0.0086642
Type262      COVAR   15956       11.469      0.02005       5.4372     0.017465
Type263      COVAR   15956       6.4674     0.013551       4.7952     0.088724
Type264      COVAR   15956       7.8304       0.0144       5.2841     0.069199
Type265      COVAR   15956      -4.0123   -0.0091062        4.271      0.82624
Type266      COVAR   15956       21.292     0.033485       6.0771   0.00023027
Type267      COVAR   15956       5.0448    0.0093855       5.3502      0.17287
Type268      COVAR   15956       10.254     0.015775       6.3272     0.052555
Type269      COVAR   15956       16.369     0.024134        6.354    0.0050014
Type270      COVAR   15956       4.2569    0.0088394       4.3966      0.16647
Type271      COVAR   15956       5.7227      0.01087       4.9009      0.12148
Type272      COVAR   15956       7.2172     0.013374       5.0529     0.076611
Type273      COVAR   15956       2.3605    0.0052675        4.214      0.28769
Type274      COVAR   15956       11.292     0.018727       5.6963     0.023727
Type275      COVAR   15956       6.5835     0.012681       4.6942     0.080399
Type276      COVAR   15956       13.272     0.025067       5.0222    0.0041164
Type277      COVAR   15956       13.879      0.02322       5.6744    0.0072325
Type278      COVAR   15956        2.943    0.0049951       5.6038      0.29973
Type279      COVAR   15956       18.383     0.031883       5.4656   0.00038603
Type280      COVAR   15956        3.525    0.0086375       3.7262      0.17208
Type281      COVAR   15956       10.766     0.020345       4.7283     0.011402
Type282      COVAR   15956       21.154     0.029715       6.6391   0.00072225
Type283      COVAR   15956       23.292     0.034883       6.2043   8.7363e-05
Type284      COVAR   15956       14.474     0.022185       6.0416    0.0082999
Type285      COVAR   15956       2.6119    0.0051301       4.6455      0.28698
Type286      COVAR   15956       8.1703     0.012631       6.0802     0.089526
Type287      COVAR   15956       18.429     0.033799       5.1737    0.0001846
Type288      COVAR   15956       19.843     0.032769       5.8356   0.00033751
Type289      COVAR   15956       14.803     0.024079       5.9436    0.0063829
Type290      COVAR   15956       6.7698     0.012313       5.2098      0.09691
Type291      COVAR   15956       13.247      0.02309       5.5277     0.008282
Type292      COVAR   15956       4.0703    0.0092739       4.0983      0.16033
Type293      COVAR   15956       13.195      0.02328       5.4655    0.0078902
Type294      COVAR   15956       7.3235     0.011332        6.174      0.11779
Type295      COVAR   15956       10.876     0.016328       6.4177     0.045074
Type296      COVAR   15956       4.4122    0.0077227       5.4578      0.20943
Type297      COVAR   15956       23.057     0.031888       7.0162     0.000509
Type298      COVAR   15956       48.117     0.055014       8.5281   8.5699e-09
Type299      COVAR   15956        20.58     0.030639        6.301   0.00054664
Type300      COVAR   15956       16.332     0.025377       5.8868    0.0027698
Type301      COVAR   15956       30.479     0.043281       6.8521   4.3671e-06
Type302      COVAR   15956       15.983     0.028455       5.1412   0.00094123
Type303      COVAR   15956       14.597     0.027078       5.1226    0.0021922
Type304      COVAR   15956       21.535     0.036618       5.5792   5.6993e-05
Type305      COVAR   15956       33.166     0.043677       7.2633   2.5053e-06
Type306      COVAR   15956       32.465     0.047342       6.5758   4.0161e-07
Type307      COVAR   15956       38.531     0.048681       7.5978   2.0032e-07
Type308      COVAR   15956       32.819     0.043065       7.2015    2.615e-06
Type309      COVAR   15956       55.374     0.064164       8.3213   1.4789e-11
Type310      COVAR   15956       36.814     0.050218       6.6278   1.4205e-08
Type311      COVAR   15956       32.151     0.043655       6.6807   7.5402e-07
Type312      COVAR   15956       52.039     0.063686       7.9453   2.9927e-11
Type313      COVAR   15956       41.851     0.051543       7.7651   3.5931e-08
Type314      COVAR   15956       50.229     0.061101       7.8805   9.5295e-11
Type315      COVAR   15956       53.796     0.061805        8.494   1.2387e-10
Type316      COVAR   15956       30.035     0.040917        6.892   6.6165e-06
Type317      COVAR   15956       53.971     0.059723       8.5096   1.1695e-10
Type318      COVAR   15956       31.547     0.039987       7.5888    1.622e-05
Type319      COVAR   15956       28.491     0.036036       7.4683    6.843e-05
Type320      COVAR   15956       14.259     0.023972       5.6134    0.0055452
Type321      COVAR   15956       18.704     0.026102       6.7701    0.0028695
Type322      COVAR   15956       48.509     0.058156        7.952    5.446e-10
Type323      COVAR   15956       43.967     0.058662       7.1955   5.1141e-10
Type324      COVAR   15956       61.193     0.074921       7.8789   4.3345e-15
Type325      COVAR   15956       60.343     0.076607        7.671   1.9703e-15
Type326      COVAR   15956       38.705     0.051834       6.9457   1.2803e-08
Type327      COVAR   15956       38.319     0.049339       7.5533   1.9834e-07
Type328      COVAR   15956       35.904     0.046127       7.5025   8.6192e-07
Type329      COVAR   15956       49.707      0.05815       8.2472   8.5714e-10
Type330      COVAR   15956        46.52     0.059502       7.6278   5.4978e-10
Type331      COVAR   15956       48.094     0.061116       7.6336   1.5334e-10
Type332      COVAR   15956       54.792     0.065427        8.133   8.4313e-12
Type333      COVAR   15956       40.473     0.052202        7.571   4.5786e-08
Type334      COVAR   15956       38.159     0.052276       7.0831   3.6401e-08
Type335      COVAR   15956       14.403      0.02084       6.2573      0.01068
Type336      COVAR   15956       24.544     0.043678       5.5349   4.6531e-06
Type337      COVAR   15956       1.6682     0.013912       1.0836     0.061846
Type338      COVAR   15956        3.197    0.0060149       4.9533      0.25933
Type339      COVAR   15956       10.328     0.018238       5.2238     0.024029
Type340      COVAR   15956       11.597     0.023366       4.5579    0.0054804
Type341      COVAR   15956        12.12     0.025535       4.2509     0.002181
