# MEAN_SAMPLE_SIZE = 90909
# TOTAL_GENES = 15981
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE      TYPE  NGENES         BETA     BETA_STD           SE            P
Type180      COVAR   15981      -2.0004    -0.010855       1.6228      0.89114
Type181      COVAR   15981      -1.7061   -0.0077454       1.9542      0.80868
Type182      COVAR   15981      -3.0088    -0.013531        1.991      0.93462
Type183      COVAR   15981      -3.7292    -0.015891       2.0973       0.9623
Type184      COVAR   15981      -2.9077    -0.013199       1.9368      0.93335
Type185      COVAR   15981      -3.4692    -0.014796       2.0771      0.95254
Type186      COVAR   15981      -8.8055    -0.029501       2.6076      0.99963
Type187      COVAR   15981      -9.3212    -0.035911        2.332      0.99997
Type188      COVAR   15981        -8.39    -0.034708       2.1473      0.99995
Type189      COVAR   15981      -7.7168    -0.033058       2.0837      0.99989
Type190      COVAR   15981      -8.4891    -0.034045       2.2499      0.99992
Type191      COVAR   15981      -8.4111    -0.033723       2.2325      0.99992
Type192      COVAR   15981      -7.6415    -0.030125       2.2856      0.99958
Type193      COVAR   15981      -5.9196    -0.029187        1.797      0.99951
Type194      COVAR   15981       10.042     0.018087        5.058     0.023561
Type195      COVAR   15981       8.6001      0.01331        5.974     0.075003
Type196      COVAR   15981        19.19     0.029109       5.9373   0.00061601
Type197      COVAR   15981       13.048     0.022243       5.3809    0.0076631
Type198      COVAR   15981       22.924     0.033429        6.321   0.00014405
Type199      COVAR   15981       19.523     0.031604       5.7721   0.00036049
Type200      COVAR   15981       27.498     0.039978       6.4414   9.8888e-06
Type201      COVAR   15981       26.135     0.037311       6.5102   2.9952e-05
Type202      COVAR   15981       10.378     0.017236       5.2972     0.025061
Type203      COVAR   15981       3.4473    0.0071072       4.3004       0.2114
Type204      COVAR   15981       8.0474      0.01682       4.4082      0.03397
Type205      COVAR   15981       8.3154      0.01334       5.6545     0.070715
Type206      COVAR   15981       7.3767     0.014485       4.7554     0.060434
Type207      COVAR   15981       6.4884     0.013407       4.4688     0.073271
Type208      COVAR   15981       6.6532     0.011096       5.6366      0.11894
Type209      COVAR   15981       12.011     0.022476       4.9961    0.0081142
Type210      COVAR   15981       32.226     0.039912       7.6349   1.2248e-05
Type211      COVAR   15981       3.6843    0.0064688       5.2516      0.24148
Type212      COVAR   15981       16.987     0.023953       6.7014    0.0056307
Type213      COVAR   15981       4.2705    0.0098993       3.8879      0.13602
Type214      COVAR   15981       11.034     0.022059        4.589    0.0081036
Type215      COVAR   15981       13.673     0.023671       5.2493    0.0046031
Type216      COVAR   15981       15.651     0.025117       5.6524    0.0028164
Type217      COVAR   15981       20.771     0.035512       5.2074   3.3386e-05
Type218      COVAR   15981        6.563     0.012431       4.9554     0.092696
Type219      COVAR   15981       15.481      0.02371       5.7138    0.0033736
Type220      COVAR   15981        51.39     0.063274       7.6647   1.0486e-11
Type221      COVAR   15981       17.131     0.024548       6.3658    0.0035655
Type222      COVAR   15981       39.103     0.050009        7.162   2.4272e-08
Type223      COVAR   15981       62.041     0.087436       6.5474   1.5448e-21
Type224      COVAR   15981       62.984     0.074114       7.9051   8.7394e-16
Type225      COVAR   15981       25.213     0.041668       5.3913   1.4721e-06
Type226      COVAR   15981        50.01     0.064242       7.3203    4.376e-12
Type227      COVAR   15981       45.451     0.059495       7.1819   1.2773e-10
Type228      COVAR   15981       19.031     0.026003       6.9431    0.0030668
Type229      COVAR   15981       7.0537     0.011351       5.6743      0.10693
Type230      COVAR   15981       31.489     0.040225       7.2319    6.726e-06
