# MEAN_SAMPLE_SIZE = 90908
# TOTAL_GENES = 15979
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE      TYPE  NGENES         BETA     BETA_STD           SE            P
Type308      COVAR   15979       41.441     0.054548       7.1275   3.1144e-09
Type309      COVAR   15979       51.495     0.060269       7.9276   4.2771e-11
Type310      COVAR   15979       37.219     0.051077       6.5797   7.8765e-09
Type311      COVAR   15979       33.645     0.046601       6.6375   2.0265e-07
Type312      COVAR   15979       47.899     0.060888        7.554   1.1784e-10
Type313      COVAR   15979       39.185     0.050066       7.3079   4.1835e-08
Type314      COVAR   15979       54.739     0.067119       7.6939   5.8969e-13
Type315      COVAR   15979       55.438     0.063732       8.2036   7.2963e-12
Type316      COVAR   15979        24.82     0.034086       6.9832   0.00019024
Type317      COVAR   15979       50.279     0.056189       8.3474   8.7629e-10
Type318      COVAR   15979       30.423     0.038664       7.2325   1.3057e-05
Type319      COVAR   15979       21.503     0.026955       7.2058    0.0014243
Type320      COVAR   15979       9.2113     0.015578       5.4231     0.044716
Type321      COVAR   15979       12.035     0.016728       6.6146     0.034433
Type322      COVAR   15979       39.579     0.047137       7.8302   2.1837e-07
Type323      COVAR   15979       36.945     0.049471       7.0533   8.2413e-08
Type324      COVAR   15979       46.145     0.056832       7.6493   8.2824e-10
Type325      COVAR   15979       49.478     0.063402       7.3959   1.1608e-11
Type326      COVAR   15979       36.406     0.048871       7.0344   1.1533e-07
Type327      COVAR   15979       33.974     0.044377        7.155   1.0363e-06
Type328      COVAR   15979       34.953     0.045231         7.31   8.7905e-07
Type329      COVAR   15979       52.654     0.061717       8.0402   3.0059e-11
Type330      COVAR   15979       44.608      0.05735         7.35   6.6054e-10
Type331      COVAR   15979       50.579     0.064304       7.4207   4.8834e-12
Type332      COVAR   15979       51.463     0.061755       7.8477   2.8331e-11
Type333      COVAR   15979       37.117     0.048126         7.27   1.6717e-07
Type334      COVAR   15979       42.378     0.056926       7.0598   9.9553e-10
Type335      COVAR   15979       17.996     0.024867       6.4746    0.0027266
Type336      COVAR   15979       22.825     0.036456       5.7139   3.2579e-05
Type337      COVAR   15979       1.2003     0.010209       1.0369      0.12351
Type338      COVAR   15979       3.6378    0.0070228        4.787      0.22366
Type339      COVAR   15979       9.3083     0.016803       5.0122     0.031657
Type340      COVAR   15979       9.1047     0.020417       4.1535     0.014196
Type341      COVAR   15979       9.9653     0.021036       4.2442    0.0094447
Type342      COVAR   15979       2.4992    0.0071447       3.2111       0.2182
Type343      COVAR   15979       1.6634    0.0045978       3.1767      0.30028
Type344      COVAR   15979       8.5362     0.017477       4.4973     0.028854
Type345      COVAR   15979       14.203     0.029525       4.2889   0.00046525
Type346      COVAR   15979         16.2     0.028683       5.0877   0.00072756
Type347      COVAR   15979       17.167     0.030919       5.1793   0.00046002
Type348      COVAR   15979        2.283    0.0054764       3.8411      0.27614
Type349      COVAR   15979       18.524     0.032027       5.3602    0.0002752
Type350      COVAR   15979       13.595     0.031225       4.0717   0.00042165
Type351      COVAR   15979       11.301     0.030955       3.4573   0.00054144
Type352      COVAR   15979       5.5389     0.015778       3.3901      0.05116
Type353      COVAR   15979       1.0746    0.0040077       2.3969      0.32696
Type354      COVAR   15979     -0.65317   -0.0036476       1.5396      0.66431
Type355      COVAR   15979      -0.3068   -0.0005422       5.1222      0.52388
Type356      COVAR   15979      -12.096    -0.030889       3.6393      0.99955
Type357      COVAR   15979      -8.3409    -0.019643       4.0781      0.97958
Type358      COVAR   15979      -5.1558    -0.010755       4.4328      0.87759
Type359      COVAR   15979      -6.9842      -0.0137        4.622      0.93461
Type360      COVAR   15979      -7.1377    -0.013497       4.9226      0.92646
Type361      COVAR   15979      -5.1871   -0.0097366       4.8666      0.85675
Type362      COVAR   15979      -2.3209    -0.005955       3.6032      0.74025
Type363      COVAR   15979       7.4227     0.012959       5.3368     0.082148
Type364      COVAR   15979       6.9026     0.011922       5.4908      0.10437
Type365      COVAR   15979       8.4523     0.013902       5.7495     0.070779
Type366      COVAR   15979       9.1451     0.015755       5.5503     0.049721
Type367      COVAR   15979       11.338     0.017847       6.1084     0.031724
Type368      COVAR   15979       17.131     0.027779       5.7208    0.0013771
Type369      COVAR   15979       18.442     0.026439       6.4342    0.0020797
Type370      COVAR   15979       10.972     0.017884       5.7379     0.027936
Type371      COVAR   15979       13.459     0.021167       5.6171    0.0082928
Type372      COVAR   15979       17.232     0.025113       6.3754     0.003441
Type373      COVAR   15979       7.6755     0.014698        4.909     0.058972
Type374      COVAR   15979       2.9975    0.0089192       3.1121      0.16774
Type375      COVAR   15979      -1.9417   -0.0050486       3.6081      0.70476
Type376      COVAR   15979      -6.0657    -0.013639       4.0024      0.93517
Type377      COVAR   15979      -6.7179    -0.015625       3.8179      0.96075
Type378      COVAR   15979      -1.1543   -0.0028581       3.7581      0.62063
Type379      COVAR   15979       15.095     0.023243       5.5787    0.0034109
Type380      COVAR   15979       1.6406    0.0037375        3.636      0.32592
Type381      COVAR   15979       7.0048     0.014425       4.1072     0.044064
Type382      COVAR   15979      -1.4697   -0.0035737       3.7173      0.65371
Type383      COVAR   15979       2.8948    0.0080057       3.4427      0.20022
Type384      COVAR   15979       2.4519    0.0048022       4.9324      0.30957
Type385      COVAR   15979       3.0972    0.0083277       3.4578      0.18521
Type386      COVAR   15979       5.7372      0.01578       3.3137     0.041704
Type387      COVAR   15979      0.73409    0.0013482         5.23      0.44419
Type388      COVAR   15979      -0.2724  -0.00072233       3.7663      0.52883
Type389      COVAR   15979       8.8058     0.016612       5.1794     0.044562
Type390      COVAR   15979        16.75     0.026756       6.0877    0.0029704
Type391      COVAR   15979       1.5555     0.002575       5.4547      0.38776
Type392      COVAR   15979       20.564     0.030374       6.1681    0.0004292
Type393      COVAR   15979       3.8194    0.0059665        5.666      0.25013
Type394      COVAR   15979       8.5938     0.010717       7.2085      0.11661
Type395      COVAR   15979       23.475     0.025911       8.1495    0.0019881
Type396      COVAR   15979       8.2658    0.0098272       7.7225      0.14224
Type397      COVAR   15979       6.7322     0.010404       5.7438      0.12059
Type398      COVAR   15979       9.4045     0.011773       7.2071     0.095976
Type399      COVAR   15979       10.817      0.01683       5.5785     0.026255
Type400      COVAR   15979       21.769      0.03332       6.2558   0.00025175
Type401      COVAR   15979      -2.0732   -0.0036033       5.3214      0.65158
Type402      COVAR   15979        1.671    0.0024914        6.197      0.39372
Type403      COVAR   15979       10.904     0.022122       4.2912     0.005531
Type404      COVAR   15979       18.623     0.030018       5.6006   0.00044287
Type405      COVAR   15979       9.9704     0.012935       6.8811     0.073686
Type406      COVAR   15979       1.4998    0.0021088       6.4774      0.40845
