,Sst_1,Sst_10,Sst_11,Sst_12,Sst_13,Sst_19,Sst_2,Sst_20,Sst_22,Sst_23,Sst_25,Sst_3,Sst_4,Sst_5,Sst_7,Sst_9
JPH4,0.5725554979002803,0.6007315664511026,0.6437998842893933,0.5474895361810601,0.609416769118524,0.5014267694324176,0.6034927129674272,0.6725027931641239,0.6189310249268508,0.6350372462331448,0.4937063900814844,0.5710767000930171,0.562513319905279,0.5965248714781605,0.5706297074828388,0.5318439650872502
AL135999.3,0.0,0.0027065113879102855,0.0008952392007265916,0.0017440261758329633,0.0007053252521102691,0.0008125919254866035,0.004825056736292151,0.00331073178107018,0.0,0.0012902138779001834,0.0018082676168744483,0.001438283280392951,0.004915659038588958,0.0,0.0,0.0016311134130813773
DHRS2,0.004221729052658702,0.001775505045561166,0.002912690841492734,0.001781888617188559,0.0006472153230068278,0.0,0.0,0.0,0.0022725738770771344,0.0,0.0,0.0024728779277385297,0.004996493582436108,0.009741345663760701,0.0,0.0006279309144541061
AL160237.1,0.0,0.001252544558448851,0.0,0.0,0.0,0.0,0.0021191383290496395,0.0010091760203437185,0.0,0.0,0.0,0.0,0.0,0.00583880545014595,0.0,0.0
AL136419.2,0.0,0.00459539653684614,0.0048845424646315515,0.0018692066018719,0.0006472153230068278,0.0,0.004601039554369634,0.0,0.0,0.001511212237580719,0.0,0.0015666423808587142,0.00169352455560907,0.0,0.0,0.004792907730838407
LINC00596,0.004984039479637301,0.006698767746067931,0.0008561024192557116,0.009266339659326609,0.006069119886236658,0.0029543918804511115,0.009602971455696939,0.0022353890331403463,0.004075242477332413,0.0009775879737876749,0.008296252247688091,0.005571039985311001,0.009483359456100498,0.011419150380612605,0.01727100063905546,0.008020836999245669
DHRS4-AS1,0.19394198453504746,0.14568015998658917,0.12788094530039582,0.13922078480980904,0.11538446357073125,0.1474529566039302,0.1458520301048048,0.0808085466596093,0.13795462974405892,0.09727185691234876,0.13082005670148325,0.11464806468587523,0.1767190188687758,0.2222406287331203,0.1999900919776504,0.13338873254649475
DHRS4,0.00862524837129343,0.009854917065156368,0.021585768499848678,0.02316667111919856,0.016607814175473624,0.021402718804091232,0.03519703116526859,0.020791433468822944,0.020459555110034347,0.017327819492021092,0.036033600181533065,0.023484275774756046,0.04875824613112142,0.029121309103813223,0.05387388832054424,0.0142913569742456
DHRS4L2,0.05100650977002816,0.059458632197249374,0.058250502222201725,0.05109390573648033,0.06722742208906657,0.06035251810610925,0.06490949580909261,0.05061328434525222,0.07233232821181426,0.0507930815107225,0.0697995053041031,0.0533605362192274,0.08770029991229701,0.08285628721433845,0.047533204745384715,0.05816574286949497
AL136419.3,0.0026032402145784203,0.027413280846936842,0.01907025749740991,0.015065144241243595,0.01630301010143074,0.021376038355860546,0.017118134802048348,0.012119288958084892,0.01642649527632536,0.020306283719545903,0.023553233799059436,0.016728126288253257,0.02535532713711644,0.03360231042000024,0.025208766584077752,0.01809257794673121
CARMIL3,0.09480993241798097,0.0998747035141345,0.09954042824251824,0.11033703251082891,0.1091750567021237,0.0889599029541452,0.1428851637206776,0.0979675665517886,0.10423593217980459,0.12983925418426348,0.11637476716890674,0.11230031741037065,0.11374460650251904,0.1530237244170754,0.160700637607615,0.11421086022872118
CPNE6,0.1509248815090229,0.10558340806531348,0.13156703634406247,0.1242772732465819,0.1412518476681937,0.09815358407297303,0.07565326974788025,0.11673422119837767,0.04374066385851742,0.03141766777898614,0.03861975410676918,0.0788798639150715,0.11502380130697698,0.07584309063746554,0.13417374017175687,0.07034264826073129
NRL,0.03861504344842724,0.040229733853595406,0.026144902108364326,0.025962291315079527,0.030454879111684246,0.027692001372570878,0.04324715626573061,0.035285062732921216,0.02670786016760689,0.028530279987322202,0.036168890091998133,0.02834555016490501,0.021592412753035067,0.033109946975272274,0.029001215187566876,0.03260329500443161
PCK2,0.01412884408366084,0.020312341732855333,0.035520783286916165,0.018913849543989645,0.016880875881156315,0.027018981660512274,0.027863515795607068,0.03000429136961165,0.010928967083719992,0.013165998131182756,0.025763750178275056,0.020007917755453745,0.01652741087987746,0.026719667544767234,0.0034632815791370464,0.018168518946089313
DCAF11,0.06800585271952611,0.06969929515809202,0.04958814541386144,0.039912510768950124,0.060242289461942995,0.05980654174756072,0.06009604341522096,0.07934519242210843,0.04819052327631082,0.07620281632830386,0.08568474124947091,0.05849270178190408,0.10102489777468608,0.07125839351346763,0.042979642222433674,0.07376084427739006
FITM1,0.0014863653300498767,0.0,0.006656183867158194,0.0039105293064922615,0.00328190672147605,0.0006230974475549216,0.003306057325237415,0.0025819330357953296,0.0030912509248769227,0.0013866745086781875,0.0010287518090921328,0.0020665049058196283,0.0,0.0,0.0021870353047266497,0.002955399642725168
PSME1,0.018826248161781863,0.023216738552865653,0.02493636915508521,0.02016173448570267,0.01802875933830182,0.031812641646925696,0.014007888978714739,0.027661705704841548,0.02645683954783079,0.028101847008759125,0.01474313123246185,0.016727445268214784,0.027949269322092355,0.021077628183630983,0.01748677025962377,0.01765353858432457
EMC9,0.04923291895954396,0.07900146088961131,0.0670930960163866,0.0655029887967939,0.05116764150575319,0.05172273055923163,0.0809264249907718,0.08306924523030369,0.06307656446116305,0.07671973463951874,0.06675302178189624,0.06007754357117959,0.0964264528341456,0.033431811119360236,0.13043522212276512,0.06789089735157286
AL136295.2,0.0,0.001787983944221867,0.007338216139795184,0.002989166083709578,0.00310012309196051,0.00556429895597607,0.003384325916002201,0.0020149598600121854,0.005760215723809124,0.00909972092652244,0.002208966287777314,0.0027170198204937127,0.01085830182711762,0.0,0.00697410979002711,0.0
PSME2,0.07628149682175901,0.06583536897033371,0.0881691092200664,0.06408844831778085,0.05395160946137601,0.08296725346072018,0.05771920568017028,0.07764190463705349,0.07557195712190713,0.08581067582410071,0.08271875372691989,0.07105307618648905,0.03634484314180929,0.07508935277463796,0.06496690823371833,0.06593195451999416
RNF31,0.0830086795056772,0.07724977653679428,0.08840518086966885,0.09928670876122331,0.10197519557059051,0.0830055832907918,0.09660691423765598,0.09276869136639744,0.09695514360636706,0.09868136771290685,0.10308789844331229,0.09135773785806574,0.08665402270952105,0.07947536447950662,0.07726647437418425,0.0749821016962499
