gene,logFC,logCPM,PValue,F,FDR,n_scz,n_ctrl,n_samples,n_genes_tested,celltype,cell_class
APOLD1,0.2335018339065762,6.670186205403853,0.11418626297623152,2.698268194747384,0.48655767531264865,12,12,24,300,Astro_2,Non-neuronal
P2RY12,-0.4318079940271734,6.670696150955125,0.11515198315732686,2.6831270254084854,0.48655767531264865,12,12,24,300,Astro_2,Non-neuronal
KANSL1-AS1,-0.3529440563575961,4.873304398366598,0.11797855199041908,2.633081147038982,0.49157729996007954,12,12,24,300,Astro_2,Non-neuronal
SLC2A1,-0.2811575572854437,9.944393837525807,0.12140356119680594,2.5882981980180024,0.49891874464440805,12,12,24,300,Astro_2,Non-neuronal
CALB2,0.1777517123104222,7.299726009158119,0.12602397596502132,2.52216648165298,0.5069642767895332,12,12,24,300,Astro_2,Non-neuronal
FGFR3,-0.17215919863534906,14.22663432234801,0.12842066766452825,2.488802672888659,0.5069642767895332,12,12,24,300,Astro_2,Non-neuronal
NEFM,0.12141379508009098,11.349311044375504,0.13053727635280102,2.4600489921048947,0.5069642767895332,12,12,24,300,Astro_2,Non-neuronal
DIRAS2,0.1423132949496963,9.823861074118193,0.1308915230598963,2.4552929315951744,0.5069642767895332,12,12,24,300,Astro_2,Non-neuronal
MAG,0.2743933535239962,6.182423224887706,0.1318107119652786,2.4432656615458157,0.5069642767895332,12,12,24,300,Astro_2,Non-neuronal
SYTL4,0.5818507894698352,8.856699170220763,0.1361375699252769,2.386565559293096,0.516978113640292,12,12,24,300,Astro_2,Non-neuronal
SCN1B,-0.14895477611052807,10.044808235871065,0.1403231012732456,2.3339435936886246,0.526211629774671,12,12,24,300,Astro_2,Non-neuronal
LZTS3,0.13733588000157212,9.042007919416228,0.14406571142918498,2.2884581937308712,0.5304451451929759,12,12,24,300,Astro_2,Non-neuronal
PMP22,-0.2794262525786454,10.589195087303954,0.1464412008638581,2.2603051881282497,0.5304451451929759,12,12,24,300,Astro_2,Non-neuronal
GABBR2,0.12541436732152475,9.780420719502011,0.14675649017005665,2.256611308557566,0.5304451451929759,12,12,24,300,Astro_2,Non-neuronal
GSTM5,0.6154280971650311,9.696096870931797,0.14885746022395932,2.2322297108256777,0.5316337865141405,12,12,24,300,Astro_2,Non-neuronal
ENC1,0.12866430109764748,11.947555459030355,0.15145861986743672,2.2026078500293225,0.5345598348262472,12,12,24,300,Astro_2,Non-neuronal
CSMD1,0.12252651659450664,8.776500891499182,0.15619931429610218,2.150171852667573,0.5364881408738642,12,12,24,300,Astro_2,Non-neuronal
SMYD2,0.19393426017282747,7.267138261726943,0.15622113843277421,2.1500265244941805,0.5364881408738642,12,12,24,300,Astro_2,Non-neuronal
