subclass,beta,se,p,dataset,n_donors
L6 IT Car3,0.3238493239599957,0.3284788129552069,0.3302170343156302,MSSM 1,35
L5/6 NP,0.20198126180577208,0.2569321912646411,0.4365130383928988,MSSM 1,35
Lamp5_Lhx6,-0.03569851925195218,0.07604214537791776,0.6392665439354848,MSSM 2,185
Lamp5,-0.011270420593395484,0.08234903880916992,0.891281141363675,MSSM 2,185
Pax6,-0.08533265928303672,0.12697288453233346,0.5023432269210477,MSSM 2,185
Sncg,-0.08117983420237715,0.10941932098002025,0.45902988080500606,MSSM 2,185
Vip,-0.06618977193020446,0.08139289010358336,0.4170858333257471,MSSM 2,185
Sst Chodl,-0.11475057892602077,0.13369408685255843,0.3917747798034733,MSSM 2,185
Sst,-0.05374776678822321,0.09520519733159313,0.573029855956708,MSSM 2,185
Pvalb,-0.09355268090317781,0.06733794086248862,0.16632268751428966,MSSM 2,185
Chandelier,-0.01436533956369262,0.08400316567839307,0.8643932874456577,MSSM 2,185
L2/3 IT,-0.1311981500324262,0.09260295144418382,0.15813950980195413,MSSM 2,185
L6 IT,0.07656921796871508,0.12007381996482913,0.5244257568179185,MSSM 2,185
L4 IT,0.025106752615031338,0.0846250110439367,0.7670241730448649,MSSM 2,185
L5 IT,0.04743488948330886,0.0893475420383359,0.5960889556592668,MSSM 2,185
L5 ET,0.10426673441469454,0.14056306894680493,0.45911208596713726,MSSM 2,185
L6 CT,-0.08257013331216467,0.10057603871474287,0.4126627914819464,MSSM 2,185
L6b,0.21229902443781185,0.13133186627157048,0.10759818129669736,MSSM 2,185
L6 IT Car3,-0.14818301458764885,0.09532872358474939,0.12169744447175344,MSSM 2,185
L5/6 NP,0.06996024105511663,0.11421786509965619,0.5409089040044546,MSSM 2,185
Lamp5_Lhx6,-0.19509784299244556,0.5406988839990134,0.7204485419134354,Multiome,11
Lamp5,-0.15977712183415524,0.5103545663738347,0.756127479360382,Multiome,11
Pax6,-0.04906507829262653,0.48854117948012016,0.9205877562874083,Multiome,11
Sncg,-0.585810338365014,0.5108218260622341,0.2594216904617592,Multiome,11
Vip,-0.438842508156265,0.5104877973991685,0.3959640857487,Multiome,11
Sst Chodl,-0.12368664219524561,0.6980600553199799,0.8604069457666524,Multiome,11
Sst,-0.25195827573902557,0.5606558606742609,0.6559779461057188,Multiome,11
Pvalb,-0.12141169906994877,0.6028786036128051,0.8415888562145621,Multiome,11
Chandelier,-0.2058403517974025,0.5712716008427923,0.7208232316586868,Multiome,11
L2/3 IT,-0.5673050659783655,0.5453868070470584,0.30554790797241194,Multiome,11
L6 IT,0.38650433163125436,0.5247989761809093,0.4664585383881358,Multiome,11
L4 IT,-0.11748205105648278,0.5485532972690667,0.8316881338752677,Multiome,11
L5 IT,0.06729335519550804,0.5512760085930657,0.9035590930068292,Multiome,11
L5 ET,1.1246288941964817,0.559299119376195,0.052282382600712496,Multiome,11
L6 CT,1.0628852939757165,0.5480307096261329,0.06072669407887434,Multiome,11
L6b,0.35909992762119375,0.5132526448989508,0.4888728314917079,Multiome,11
L6 IT Car3,0.2858739196984254,0.5409300561205627,0.6005739431914032,Multiome,11
L5/6 NP,0.2716160293025796,0.5691395831988711,0.6362260976003968,Multiome,11
