supertype,beta,se,p,dataset,n_donors
Vip_14,-0.2099435382444131,0.14199777269717162,0.14451522650471119,Fröhlich,61
Vip_15,-0.019318918548992585,0.09183837801224862,0.8341025374161155,Fröhlich,61
Vip_16,-0.11216244723661994,0.12536955782860895,0.374553587640035,Fröhlich,61
Vip_4,0.0016255909692281423,0.09043700100830383,0.9857186765985936,Fröhlich,61
Vip_5,-0.14657724504872344,0.12726615666181454,0.25400629776386296,Fröhlich,61
Vip_6,0.12795384965926773,0.13135064923711637,0.3339059253927603,Fröhlich,61
Vip_9,-2.3772480711276673e-4,0.11088625046195623,0.9982965728238469,Fröhlich,61
Vip_2,-0.15418660069856654,0.10644749785839884,0.15270009453824715,Fröhlich,61
Vip_11,0.12098284593284192,0.09885912045375914,0.22582458599190344,Fröhlich,61
Vip_13,-0.05685013293788268,0.10197033587801116,0.5792527847706733,Fröhlich,61
Vip_1,-0.06880332789905601,0.08038260598783326,0.3954385369585578,Fröhlich,61
Vip_12,-0.21185091979544085,0.1837172039828942,0.2534365514738534,Fröhlich,61
Vip_18,-0.03616586314371995,0.12207073993124948,0.7680491547807461,Fröhlich,61
Vip_19,-0.0344210829806011,0.08846798509435351,0.6985973932048165,Fröhlich,61
Vip_21,0.07181675915757085,0.11696663706586273,0.5415451455848592,Fröhlich,61
Vip_23,-0.03701117284696457,0.07013754561320255,0.5996614693078144,Fröhlich,61
Sst Chodl_1,-0.22807875070297232,0.14390463457357847,0.11824934898919304,Fröhlich,61
Sst_1,-0.1606815300346334,0.13313411361747987,0.2322108475524769,Fröhlich,61
Sst_4,0.08604268291669545,0.1376441667051793,0.5342740032071582,Fröhlich,61
Sst_5,0.0016546182563481214,0.14117293571120598,0.9906875627101446,Fröhlich,61
Sst_7,0.08662175811754201,0.15183163462614152,0.5704650965972802,Fröhlich,61
Sst_3,-0.4346803217216189,0.1303033050630358,0.0014641316670767023,Fröhlich,61
Sst_19,-0.0706152810919178,0.09208945675597068,0.44620596372468047,Fröhlich,61
Sst_9,-0.05916103654753305,0.1019124955713867,0.56375016410807,Fröhlich,61
Sst_10,0.03251245510792919,0.11290535444549388,0.7743700751857475,Fröhlich,61
Sst_13,-0.028465888051586383,0.09851976738015297,0.7736283752819546,Fröhlich,61
Sst_12,-0.27929748244262814,0.1524613171359204,0.07193709579828106,Fröhlich,61
Sst Chodl_2,0.10508457371900648,0.18055712708401142,0.5627501863168421,Fröhlich,61
Sst_11,-0.49072116855854137,0.16183105022144625,0.0035837260305652693,Fröhlich,61
Sst_20,-0.6090962772797136,0.18950293933509316,0.0021086482231813704,Fröhlich,61
Sst_22,-0.6062518510003042,0.2043188559154416,0.004314060283433086,Fröhlich,61
Sst_23,-0.04638645733414688,0.1281330580414958,0.7186130393500341,Fröhlich,61
Sst_25,-0.4096056041436914,0.1702824153936087,0.019258677765080834,Fröhlich,61
Sst_2,-0.37927181644399904,0.13543121619302873,0.0068597855668302374,Fröhlich,61
Pvalb_6,-0.19110461793711553,0.0948991445122949,0.048533932932312444,Fröhlich,61
Pvalb_5,-0.11346501317736188,0.12067866354358363,0.35087974126015653,Fröhlich,61
Pvalb_8,-0.19513170984695538,0.1734947442978191,0.26519881362980935,Fröhlich,61
Pvalb_7,0.052974453942629174,0.1599078013418281,0.741588566168115,Fröhlich,61
Pvalb_1,-0.11737450730886524,0.13544741913545502,0.3896371866879622,Fröhlich,61
Pvalb_3,-0.09695647349568157,0.10666936522757209,0.36702339787638694,Fröhlich,61
Pvalb_2,-0.047634260588071395,0.09621385472661527,0.6223502104082748,Fröhlich,61
Pvalb_15,-0.04531606050569916,0.0741556442326528,0.5434501474133899,Fröhlich,61
Pvalb_14,0.25633781609658435,0.12737890407429436,0.0486813044342134,Fröhlich,61
Pvalb_12,0.05298744242595289,0.1479465872576915,0.7214885955459023,Fröhlich,61
Pvalb_10,-0.15618671663934322,0.1778834930102833,0.38343766811773916,Fröhlich,61
Pvalb_13,0.16115835594164743,0.12876580243875538,0.2155964865417864,Fröhlich,61
Pvalb_9,-0.06032325067993646,0.11196493579912858,0.5920434351084736,Fröhlich,61
Chandelier_1,-0.10001134276050959,0.07612057735593174,0.19390629692020775,Fröhlich,61
Chandelier_2,0.2216420192073372,0.13406030187982104,0.10350317007040227,Fröhlich,61
L2/3 IT_1,-0.042743475389266615,0.10993823448110061,0.6988064996027606,Fröhlich,61
L2/3 IT_2,0.08026296043304897,0.18050195260576987,0.6581646212100795,Fröhlich,61
L2/3 IT_6,0.036758783046330124,0.12432331173275163,0.7685042555279618,Fröhlich,61
L2/3 IT_7,0.14373516247833712,0.20372755317858507,0.48321821661854025,Fröhlich,61
L2/3 IT_5,0.002652528861393369,0.08646261032738468,0.9756280867602074,Fröhlich,61
L2/3 IT_13,-0.0365005672658329,0.11795761845083269,0.7580625256984388,Fröhlich,61
L2/3 IT_10,-0.28993071782696017,0.11885059187939402,0.017688904858149827,Fröhlich,61
L2/3 IT_8,0.2087749287282639,0.18133027288604367,0.2541637729763361,Fröhlich,61
