supertype,beta,se,p,k,I2,Q_p,dropped
Chandelier_1,0.02362524254099221,0.060381652195047965,0.6956011784029187,6,0,0.9923285366944061,Fröhlich
Chandelier_2,0.12887018843902645,0.08205121286738519,0.1162740220621791,6,0,0.7825934065139938,Fröhlich
L2/3 IT_1,-0.043971132688439614,0.07334959504667427,0.5488572289319934,6,5.178153337200617,0.3834739233846741,Fröhlich
L2/3 IT_10,-0.04676842886254015,0.11955409595925766,0.6956564157129276,6,1.2622625249251518,0.4081292624694364,Fröhlich
L2/3 IT_12,-0.07658218516481678,0.10506557803701878,0.4660635024475932,6,0,0.5162161473421643,Fröhlich
L2/3 IT_13,-0.09136428602601382,0.09282589322346928,0.32499048556116306,6,0,0.7837071357069142,Fröhlich
L2/3 IT_2,0.07463568654424621,0.09229221088909415,0.4186941142557586,6,5.090152405144682,0.38403797658313316,Fröhlich
L2/3 IT_3,-0.11814288723188732,0.0882526912984098,0.18067201193716254,6,63.446545365187035,0.017785198014490498,Fröhlich
L2/3 IT_5,-0.07480203451917498,0.07430789693101342,0.3141030619158967,6,0,0.9238100990485056,Fröhlich
L2/3 IT_6,-0.16360220208596074,0.09619980591955411,0.08900872505395722,6,0,0.8176768092432455,Fröhlich
L2/3 IT_7,0.22331695890519093,0.098071181424544,0.02278081983639496,6,41.357653612703935,0.12951852281884643,Fröhlich
L2/3 IT_8,-0.147701554719178,0.09173499991340252,0.10737833190665276,6,5.817620362999997,0.3793616283165412,Fröhlich
L4 IT_1,0.01941938634330452,0.07005189213612353,0.781615558840324,6,28.781766080262038,0.21910729513033814,Fröhlich
L4 IT_2,0.004040942018733584,0.06345786122880814,0.9492257150304657,6,0,0.4789654654498334,Fröhlich
L4 IT_3,0.15454921590643664,0.0887248458973274,0.08152711400045587,6,56.57791659302997,0.04207492687192086,Fröhlich
L4 IT_4,0.05851003300116901,0.06985909923507382,0.40228714818098377,6,19.452686055564378,0.28654580883517433,Fröhlich
L5 ET_1,0.17992601559550925,0.09758304571616738,0.06520871331680943,6,0,0.5370547054945368,Fröhlich
