supertype,beta,se,p,method,k,I2,Q_p,fdr
Sst_22,-0.27142856495951023,0.08089818763077064,7.931128967773425e-4,FE meta,7,3.733878487362996,0.39763188531728333,0.021612326437182583
Sst_23,-0.06544867880277679,0.07005222506411063,0.3501573730236137,FE meta,7,0,0.6281303245549145,0.6524829509890895
Sst_25,-0.2589926463432553,0.08261387388973924,0.001718672185470766,FE meta,7,0,0.6178133223723346,0.0374670536432627
Sst_3,-0.18628691101121622,0.061741194028260754,0.0025510261027712564,FE meta,7,1.3114476665923247,0.4143179739795095,0.04634364086701116
Sst_4,0.04168988731190155,0.0659924621571455,0.5275586746718932,FE meta,7,0,0.9173094148565871,0.7667186071898181
Sst_5,0.03097837495509431,0.06677035984668592,0.6426807091228516,FE meta,7,27.030266143100146,0.2222454027749122,0.8339547296951288
Sst_7,0.015003904169099892,0.06605300612464962,0.8203075314621366,FE meta,7,0,0.707999825575866,0.961919380354394
Sst_9,-0.06124910140582053,0.05453124503509127,0.26135562287078634,FE meta,7,0,0.7779066828626467,0.5697552578583143
Vip_1,-0.05144512277394625,0.049273162225209104,0.29644838239996735,FE meta,7,0,0.8595944515524968,0.6096768619169141
Vip_11,-0.024353106073928158,0.05448947981027267,0.654923974353506,FE meta,7,0,0.4548774951039692,0.8398436847592019
Vip_12,-0.06832778289999988,0.06717023532121835,0.30904258026591974,FE meta,7,43.03192036235487,0.1039553324421176,0.6238081712775047
Vip_13,-0.0514919712288367,0.06299360055887505,0.41369078744767884,FE meta,7,0,0.7537094899840366,0.7045671223718281
Vip_14,0.06952359953054175,0.06372525189280773,0.27527737281508713,FE meta,7,0,0.5021864040378774,0.5883379144479313
Vip_15,-0.017948234693710822,0.04647975890308117,0.6993843738249994,FE meta,7,16.9903050147079,0.3002694656794138,0.8864290319409877
Vip_16,0.045796159287642656,0.06384342792832334,0.4731767508537146,FE meta,7,0,0.4968663860629945,0.7251618046650474
Vip_18,-0.06483615529695412,0.06102625141551974,0.28804026026709617,FE meta,7,0,0.96911736533359,0.6037766994060285
Vip_19,-0.003547494579619081,0.041368679003730036,0.9316626492671738,FE meta,7,0,0.929622941496513,0.995669874819086
Vip_2,-0.07710421689425537,0.056733788476813755,0.1741298423420043,FE meta,7,0,0.7163562384619274,0.5129771031156343
Vip_21,0.011430868309314966,0.06082297564762854,0.8509262859863448,FE meta,7,12.508557277609095,0.33419703165331527,0.961919380354394
Vip_23,-0.0011319693886933167,0.0420144085596279,0.9785056681135862,FE meta,7,0,0.9142391711955655,0.995669874819086
Vip_4,-0.06871427014419171,0.04788093042546706,0.1512565393745083,FE meta,7,0,0.7583303647487826,0.4996049330854972
Vip_5,-0.0965279301348536,0.06540536490634302,0.13998653616795625,FE meta,7,5.49819132654855,0.38524213052737194,0.4996049330854972
Vip_6,0.015127847796408243,0.06324721584524047,0.8109613675017308,FE meta,7,11.709727276592346,0.34014846682231564,0.961919380354394
Vip_9,-0.0014910282198698907,0.05871688828694691,0.9797410832274213,FE meta,7,21.167297020275736,0.2680051000450212,0.995669874819086
Chandelier_1,-0.024124586886285784,0.04730581020008723,0.6100718447377402,RE meta,7,0,0.9089611627347214,0.846806412008713
Chandelier_2,0.1548020913145898,0.07125693382543465,0.029821773687730885,RE meta,7,1.6400812771135196,0.8325540365637647,0.3611748146625185
L2/3 IT_1,-0.04359298212537237,0.061015834979469816,0.4749467465907138,RE meta,7,0,0.5092890054659258,0.7459360787045501
L2/3 IT_10,-0.13980939747256985,0.10748497895985773,0.19334942180800294,RE meta,7,21.391881306182373,0.30768852486008863,0.5551355041308677
L2/3 IT_12,-0.058888677112525795,0.0824681365615157,0.47517898574499506,RE meta,7,0,0.635065466929489,0.7459360787045501
L2/3 IT_13,-0.07038214182240243,0.07294714658211025,0.3346262148641512,RE meta,7,0,0.8587685735933733,0.6631683167307724
L2/3 IT_2,0.07580359413009578,0.08218087075850447,0.3563202302752865,RE meta,7,0.008718375468920781,0.5098124212676575,0.6813843000001092
L2/3 IT_3,-0.15962642270951904,0.13205116569937275,0.226731038318068,RE meta,7,61.33380633581477,0.030515106769749476,0.5551355041308677
