class,subclass,supertype,median_MERFISH,median_Xenium,n_MERFISH,n_Xenium,q25_MERFISH,q25_Xenium,q75_MERFISH,q75_Xenium,delta_median,iqr_MERFISH,iqr_Xenium
Glutamatergic,L2/3 IT,L2/3 IT_6,0.19837543828206783,0.1975624172933954,6804.0,16022.0,0.15689173007965293,0.16813787415591397,0.25037407364264547,0.2348347145031514,-0.0008130209886724193,0.09348234356299254,0.06669684034723744
Glutamatergic,L2/3 IT,L2/3 IT_7,0.20547150086070412,0.2168398981094442,166.0,10404.0,0.15753306899245365,0.18465021294164902,0.2800723728216493,0.2639095851841585,0.011368397248740086,0.12253930382919567,0.07925937224250951
Glutamatergic,L2/3 IT,L2/3 IT_8,0.2376476756150348,0.27394912795434456,94.0,8357.0,0.1947305841386878,0.2234661631506703,0.2828811762871476,0.3278143286620876,0.03630145233930976,0.0881505921484598,0.10434816551141729
Glutamatergic,L4 IT,L4 IT_1,0.5611366919470456,0.561434810727042,4745.0,12279.0,0.5054102122260539,0.5172435514772376,0.6193816930042387,0.606011176569497,0.0002981187799964147,0.11397148077818486,0.08876762509225944
Glutamatergic,L4 IT,L4 IT_2,0.5236614533982493,0.5512284346194801,14416.0,13997.0,0.4746275476722726,0.5265128988112348,0.5704329110405361,0.5772571253029178,0.027566981221230802,0.09580536336826345,0.050744226491683087
Glutamatergic,L4 IT,L4 IT_3,0.46938062666919694,0.5302818896391034,3145.0,6669.0,0.4145237702282235,0.4789280564403588,0.5165964078148124,0.5709249664806462,0.060901262969906444,0.10207263758658891,0.09199691004028737
Glutamatergic,L4 IT,L4 IT_4,0.4834835610456175,0.5524121404194949,2267.0,2345.0,0.43447283274862536,0.522159936710636,0.5316971303731948,0.5920446288255006,0.06892857937387742,0.09722429762456941,0.06988469211486459
Glutamatergic,L5 ET,L5 ET_1,0.5686257160258493,0.541656032804253,474.0,5621.0,0.4909110436522556,0.4682611386238748,0.6425381517186997,0.6005030212937807,-0.02696968322159632,0.15162710806644408,0.13224188266990594
Glutamatergic,L5 ET,L5 ET_2,0.6079532602390725,0.5799486964700766,1027.0,2488.0,0.5603294893751112,0.5095875954144857,0.6679692554785762,0.6228792147878534,-0.02800456376899585,0.10763976610346504,0.11329161937336762
Glutamatergic,L5 IT,L5 IT_1,0.5985808781787054,0.5623710708245842,6071.0,2119.0,0.5297071634461934,0.523688956844329,0.6730533825582997,0.6084957533507592,-0.03620980735412127,0.14334621911210632,0.0848067965064302
