Subject,488 Channel,568 Channel,Area (um^2),Layer,,,
1263 - L - 16,12,0,,5/6,,,
1263 - L - 17,16,0,,5/6,,,
1263 - L - 18,8,0,,5/6,,,
1263 - L - 19,9,1,,5/6,,,
1263 - L - 20,16,1,,5/6,,,
1263 - R - 1,1,1,112093982.00,2/3,,,
1263 - R - 2,0,2,,2/3,,,
1263 - R - 3,1,1,,2/3,,,
1263 - R - 4,3,2,,2/3,,,
1263 - R - 5,2,1,,2/3,,,
1263 - R - 6,0,1,,2/3,,,
1263 - R - 7,3,0,,2/3,,,
1263 - R - 8,2,0,,2/3,,,
1263 - R - 9,3,1,,2/3,,,
1263 - R - 10,1,0,,2/3,,,
1263 - R - 11,1,1,,5/6,,,
1263 - R - 12,3,1,,5/6,,,
1263 - R - 13,1,0,,5/6,,,
1263 - R - 14,0,0,,5/6,,,
1263 - R - 15,1,0,,5/6,,,
1263 - R - 16,0,0,,5/6,,,
1263 - R - 17,1,1,,5/6,,,
1263 - R - 18,2,0,,5/6,,,
1263 - R - 19,0,1,,5/6,,,
1263 - R - 20,0,0,,5/6,,,
1282 - L - 1,8,2,44512403.00,2/3,,,
1282 - L - 2,9,1,,2/3,,,
1282 - L - 3,3,2,,2/3,,,
1282 - L - 4,26,2,,2/3,,,
1282 - L - 5,20,1,,2/3,,,
1282 - L - 6,17,2,,2/3,,,
1282 - L - 7,7,1,,2/3,,,
1282 - L - 8,10,1,,2/3,,,
1282 - L - 9,14,0,,2/3,,,
1282 - L - 10,11,1,,2/3,,,
1282 - L - 11,5,2,,5/6,,,
1282 - L - 12,10,0,,5/6,,,
1282 - L - 13,13,0,,5/6,,,
1282 - L - 14,11,1,,5/6,,,
1282 - L - 15,18,0,,5/6,,,
1282 - L - 16,8,0,,5/6,,,
1282 - L - 17,16,2,,5/6,,,
1282 - L - 18,17,4,,5/6,,,
1282 - L - 19,23,0,,5/6,,,
1282 - L - 20,16,1,,5/6,,,
1282 - R - 1,5,9,49243220.00,2/3,,,
1282 - R - 2,4,2,,2/3,,,
1282 - R - 3,4,3,,2/3,,,
1282 - R - 4,4,1,,2/3,,,
1282 - R - 5,5,3,,2/3,,,
1282 - R - 6,4,1,,2/3,,,
1282 - R - 7,3,6,,2/3,,,
1282 - R - 8,0,2,,2/3,,,
1282 - R - 9,2,3,,2/3,,,
1282 - R - 10,6,5,,2/3,,,
1282 - R - 11,0,0,,5/6,,,
1282 - R - 12,2,2,,5/6,,,
1282 - R - 13,4,1,,5/6,,,
1282 - R - 14,0,0,,5/6,,,
1282 - R - 15,2,0,,5/6,,,
1282 - R - 16,1,0,,5/6,,,
1282 - R - 17,3,0,,5/6,,,
1282 - R - 18,3,0,,5/6,,,
1282 - R - 19,1,2,,5/6,,,
1282 - R - 20,0,0,,5/6,,,
1289 - L - 1,9,0,68007290.00,2/3,,,
1289 - L - 2,13,0,,2/3,,,
1289 - L - 3,16,6,,2/3,,,
1289 - L - 4,12,0,,2/3,,,
1289 - L - 5,14,1,,2/3,,,
1289 - L - 6,10,0,,2/3,,,
1289 - L - 7,15,2,,2/3,,,
1289 - L - 8,28,1,,2/3,,,
1289 - L - 9,16,1,,2/3,,,
1289 - L - 10,12,1,,2/3,,,
1289 - L - 11,9,0,,5/6,,,
1289 - L - 12,6,0,,5/6,,,
1289 - L - 13,10,0,,5/6,,,
1289 - L - 14,0,0,,5/6,,,
1289 - L - 15,0,0,,5/6,,,
1289 - L - 16,7,0,,5/6,,,
1289 - L - 17,1,0,,5/6,,,
1289 - L - 18,17,0,,5/6,,,
1289 - L - 19,14,3,,5/6,,,
1289 - L - 20,16,1,,5/6,,,
1289 - R - 1,11,0,65409253.00,2/3,,,
1289 - R - 2,26,0,,2/3,,,
1289 - R - 3,20,2,,2/3,,,
1289 - R - 4,16,0,,2/3,,,
1289 - R - 5,12,1,,2/3,,,
1289 - R - 6,12,0,,2/3,,,
1289 - R - 7,11,1,,2/3,,,
1289 - R - 8,16,3,,2/3,,,
1289 - R - 9,14,1,,2/3,,,
1289 - R - 10,9,0,,2/3,,,
1289 - R - 11,8,0,,5/6,,,
1289 - R - 12,12,0,,5/6,,,
1289 - R - 13,3,0,,5/6,,,
1289 - R - 14,12,1,,5/6,,,
1289 - R - 15,13,1,,5/6,,,
1289 - R - 16,4,1,,5/6,,,
1289 - R - 17,10,2,,5/6,,,
1289 - R - 18,10,0,,5/6,,,
1289 - R - 19,4,0,,5/6,,,
1289 - R - 20,12,1,,5/6,,,
1293 - L - 1,18,1,112326864.00,2/3,,,
1293 - L - 2,24,3,,2/3,,,
1293 - L - 3,16,2,,2/3,,,
1293 - L - 4,16,2,,2/3,,,
1293 - L - 5,10,2,,2/3,,,
1293 - L - 6,14,0,,2/3,,,
1293 - L - 7,17,0,,2/3,,,
1293 - L - 8,19,0,,2/3,,,
1293 - L - 9,41,0,,2/3,,,
1293 - L - 10,16,0,,2/3,,,
1293 - L - 11,5,0,,5/6,,,
1293 - L - 12,21,0,,5/6,,,
1293 - L - 13,12,0,,5/6,,,
1293 - L - 14,22,0,,5/6,,,
1293 - L - 15,17,0,,5/6,,,
1293 - L - 16,24,2,,5/6,,,
1293 - L - 17,17,0,,5/6,,,
1293 - L - 18,23,1,,5/6,,,
1293 - L - 19,7,1,,5/6,,,
1293 - L - 20,36,2,,5/6,,,
1293 - R - 1,7,2,121460807.00,2/3,,,
1293 - R - 2,5,4,,2/3,,,
1293 - R - 3,2,1,,2/3,,,
1293 - R - 4,8,4,,2/3,,,
1293 - R - 5,6,3,,2/3,,,
1293 - R - 6,12,8,,2/3,,,
1293 - R - 7,2,3,,2/3,,,
1293 - R - 8,5,5,,2/3,,,
1293 - R - 9,5,2,,2/3,,,
1293 - R - 10,2,3,,2/3,,,
1293 - R - 11,1,0,,5/6,,,
1293 - R - 12,2,0,,5/6,,,
1293 - R - 13,0,0,,5/6,,,
1293 - R - 14,1,0,,5/6,,,
1293 - R - 15,3,0,,5/6,,,
1293 - R - 16,1,0,,5/6,,,
1293 - R - 17,2,0,,5/6,,,
1293 - R - 18,2,0,,5/6,,,
1293 - R - 19,4,0,,5/6,,,
1293 - R - 20,5,0,,5/6,,,
1298 - L - 1,0,0,46650422.00,2/3,,,
1298 - L - 2,2,0,,2/3,,,
1298 - L - 3,1,0,,2/3,,,
1298 - L - 4,0,0,,2/3,,,
1298 - L - 5,0,0,,2/3,,,
1298 - L - 6,6,0,,2/3,,,
1298 - L - 7,8,1,,2/3,,,
1298 - L - 8,1,0,,2/3,,,
1298 - L - 9,2,0,,2/3,,,
1298 - L - 10,2,1,,2/3,,,
1298 - L - 11,6,0,,5/6,,,
1298 - L - 12,5,0,,5/6,,,
1298 - L - 13,3,0,,5/6,,,
1298 - L - 14,4,0,,5/6,,,
1298 - L - 15,1,0,,5/6,,,
1298 - L - 16,4,1,,5/6,,,
1298 - L - 17,8,0,,5/6,,,
1298 - L - 18,6,1,,5/6,,,
1298 - L - 19,11,0,,5/6,,,
1298 - L - 20,2,0,,5/6,,,
1298 - R - 1,0,0,48169732.00,2/3,,,
1298 - R - 2,0,0,,2/3,,,
1298 - R - 3,0,0,,2/3,,,
1298 - R - 4,2,0,,2/3,,,
1298 - R - 5,0,0,,2/3,,,
1298 - R - 6,0,0,,2/3,,,
1298 - R - 7,1,0,,2/3,,,
1298 - R - 8,2,0,,2/3,,,
1298 - R - 9,1,0,,2/3,,,
1298 - R - 10,2,0,,2/3,,,
1298 - R - 11,2,1,,5/6,,,
1298 - R - 12,5,1,,5/6,,,
1298 - R - 13,2,0,,5/6,,,
1298 - R - 14,1,2,,5/6,,,
1298 - R - 15,4,0,,5/6,,,
1298 - R - 16,1,0,,5/6,,,
1298 - R - 17,3,1,,5/6,,,
1298 - R - 18,1,1,,5/6,,,
1298 - R - 19,2,1,,5/6,,,
1298 - R - 20,4,4,,5/6,,,
1312 - L - 1,0,0,96063149.00,2/3,,,
1312 - L - 2,0,0,,2/3,,,
1312 - L - 3,19,0,,2/3,,,
1312 - L - 4,14,0,,2/3,,,
1312 - L - 5,9,0,,2/3,,,
1312 - L - 6,9,0,,2/3,,,
1312 - L - 7,14,0,,2/3,,,
1312 - L - 8,17,0,,2/3,,,
1312 - L - 9,20,0,,2/3,,,
1312 - L - 10,29,0,,2/3,,,
1312 - L - 11,32,1,,5/6,,,
1312 - L - 12,17,0,,5/6,,,
1312 - L - 13,11,0,,5/6,,,
1312 - L - 14,18,0,,5/6,,,
1312 - L - 15,18,0,,5/6,,,
1312 - L - 16,23,0,,5/6,,,
1312 - L - 17,36,2,,5/6,,,
1312 - L - 18,22,1,,5/6,,,
1312 - L - 19,21,1,,5/6,,,
1312 - L - 20,14,0,,5/6,,,
1312 - R - 1,4,3,88705903.00,2/3,,,
1312 - R - 2,2,1,,2/3,,,
1312 - R - 3,6,3,,2/3,,,
1312 - R - 4,4,4,,2/3,,,
1312 - R - 5,2,0,,2/3,,,
1312 - R - 6,6,3,,2/3,,,
1312 - R - 7,2,2,,2/3,,,
1312 - R - 8,2,3,,2/3,,,
1312 - R - 9,3,1,,2/3,,,
1312 - R - 10,4,3,,2/3,,,
1312 - R - 11,5,1,,5/6,,,
1312 - R - 12,3,1,,5/6,,,
1312 - R - 13,3,0,,5/6,,,
1312 - R - 14,3,0,,5/6,,,
1312 - R - 15,2,2,,5/6,,,
1312 - R - 16,4,0,,5/6,,,
1312 - R - 17,0,1,,5/6,,,
1312 - R - 18,0,2,,5/6,,,
1312 - R - 19,0,0,,5/6,,,
1312 - R - 20,3,1,,5/6,,,
1314 - L - 1,22,0,25373322.00,2/3,,,
1314 - L - 2,17,1,,2/3,,,
1314 - L - 3,9,0,,2/3,,,
1314 - L - 4,20,0,,2/3,,,
1314 - L - 5,23,0,,2/3,,,
1314 - L - 6,36,1,,2/3,,,
1314 - L - 7,20,2,,2/3,,,
1314 - L - 8,17,0,,2/3,,,
1314 - L - 9,14,1,,2/3,,,
1314 - L - 10,20,1,,2/3,,,
1314 - L - 11,10,0,,5/6,,,
1314 - L - 12,11,0,,5/6,,,
1314 - L - 13,18,0,,5/6,,,
1314 - L - 14,20,0,,5/6,,,
1314 - L - 15,21,0,,5/6,,,
1314 - L - 16,24,0,,5/6,,,
1314 - L - 17,21,1,,5/6,,,
1314 - L - 18,26,1,,5/6,,,
1314 - L - 19,11,0,,5/6,,,
1314 - L - 20,20,0,,5/6,,,
1314 - R - 1,0,0,29381326.00,2/3,,,
1314 - R - 2,2,1,,2/3,,,
1314 - R - 3,5,0,,2/3,,,
1314 - R - 4,7,1,,2/3,,,
1314 - R - 5,4,1,,2/3,,,
1314 - R - 6,2,2,,2/3,,,
1314 - R - 7,5,1,,2/3,,,
1314 - R - 8,5,2,,2/3,,,
1314 - R - 9,1,1,,2/3,,,
1314 - R - 10,1,1,,2/3,,,
1314 - R - 11,0,0,,5/6,,,
1314 - R - 12,1,1,,5/6,,,
1314 - R - 13,3,2,,5/6,,,
1314 - R - 14,3,0,,5/6,,,
1314 - R - 15,5,0,,5/6,,,
1314 - R - 16,0,0,,5/6,,,
1314 - R - 17,4,0,,5/6,,,
1314 - R - 18,6,0,,5/6,,,
1314 - R - 19,2,1,,5/6,,,
1314 - R - 20,0,1,,5/6,,,
1324 - L - 1,15,0,84977594.00,2/3,,,
1324 - L - 2,16,2,,2/3,,,
1324 - L - 3,23,0,,2/3,,,
1324 - L - 4,21,0,,2/3,,,
1324 - L - 5,26,1,,2/3,,,
1324 - L - 6,17,0,,2/3,,,
1324 - L - 7,11,0,,2/3,,,
1324 - L - 8,17,1,,2/3,,,
1324 - L - 9,12,3,,2/3,,,
1324 - L - 10,20,0,,2/3,,,
1324 - L - 11,18,2,,5/6,,,
1324 - L - 12,13,4,,5/6,,,
1324 - L - 13,13,0,,5/6,,,
1324 - L - 14,19,2,,5/6,,,
1324 - L - 15,19,1,,5/6,,,
1324 - L - 16,19,0,,5/6,,,
1324 - L - 17,23,1,,5/6,,,
1324 - L - 18,30,4,,5/6,,,
1324 - L - 19,24,3,,5/6,,,
1324 - L - 20,38,1,,5/6,,,
1324 - R - 1,3,10,76019242.00,2/3,,,
1324 - R - 2,0,4,,2/3,,,
1324 - R - 3,1,3,,2/3,,,
1324 - R - 4,2,1,,2/3,,,
1324 - R - 5,3,1,,2/3,,,
1324 - R - 6,,,,2/3,,,
1324 - R - 7,3,1,,2/3,,,
1324 - R - 8,3,1,,2/3,,,
1324 - R - 9,1,1,,2/3,,,
1324 - R - 10,4,1,,2/3,,,
1324 - R - 11,0,0,,5/6,,,
1324 - R - 12,1,0,,5/6,,,
1324 - R - 13,2,2,,5/6,,,
1324 - R - 14,1,0,,5/6,,,
1324 - R - 15,7,1,,5/6,,,
1324 - R - 16,2,0,,5/6,,,
1324 - R - 17,1,0,,5/6,,,
1324 - R - 18,1,0,,5/6,,,
1324 - R - 19,2,0,,5/6,,,
1324 - R - 20,0,0,,5/6,,,
1328 - L - 1,30,6,67202512.00,2/3,,,
1328 - L - 2,21,0,,2/3,,,
1328 - L - 3,23,2,,2/3,,,
1328 - L - 4,44,4,,2/3,,,
1328 - L - 5,17,2,,2/3,,,
1328 - L - 6,10,1,,2/3,,,
1328 - L - 7,21,0,,2/3,,,
1328 - L - 8,8,0,,2/3,,,
1328 - L - 9,31,4,,2/3,,,
1328 - L - 10,19,1,,2/3,,,
1328 - L - 11,12,0,,5/6,,,
1328 - L - 12,16,0,,5/6,,,
1328 - L - 13,19,0,,5/6,,,
1328 - L - 14,7,0,,5/6,,,
1328 - L - 15,25,0,,5/6,,,
1328 - L - 16,2,0,,5/6,,,
1328 - L - 17,12,1,,5/6,,,
1328 - L - 18,12,0,,5/6,,,
1328 - L - 19,11,0,,5/6,,,
1328 - L - 20,21,0,,5/6,,,
1328 - R - 1,2,1,70629832.00,2/3,,,
1328 - R - 2,7,1,,2/3,,,
1328 - R - 3,4,3,,2/3,,,
1328 - R - 4,6,1,,2/3,,,
1328 - R - 5,2,1,,2/3,,,
1328 - R - 6,7,2,,2/3,,,
1328 - R - 7,5,2,,2/3,,,
1328 - R - 8,1,0,,2/3,,,
1328 - R - 9,1,1,,2/3,,,
1328 - R - 10,7,1,,2/3,,,
1328 - R - 11,2,0,,5/6,,,
1328 - R - 12,1,0,,5/6,,,
1328 - R - 13,1,1,,5/6,,,
1328 - R - 14,0,0,,5/6,,,
1328 - R - 15,1,0,,5/6,,,
1328 - R - 16,1,0,,5/6,,,
1328 - R - 17,0,0,,5/6,,,
1328 - R - 18,0,0,,5/6,,,
1328 - R - 19,1,1,,5/6,,,
1328 - R - 20,2,0,,5/6,,,
1341 - L - 1,12,0,50348649.00,2/3,,,
1341 - L - 2,17,0,,2/3,,,
1341 - L - 3,19,0,,2/3,,,
1341 - L - 4,14,0,,2/3,,,
1341 - L - 5,12,2,,2/3,,,
1341 - L - 6,18,0,,2/3,,,
1341 - L - 7,14,2,,2/3,,,
1341 - L - 8,20,2,,2/3,,,
1341 - L - 9,21,1,,2/3,,,
1341 - L - 10,15,3,,2/3,,,
1341 - L - 11,12,0,,5/6,,,
1341 - L - 12,3,0,,5/6,,,
1341 - L - 13,5,1,,5/6,,,
1341 - L - 14,5,0,,5/6,,,
1341 - L - 15,7,0,.,5/6,,,
1341 - L - 16,4,0,,5/6,,,
1341 - L - 17,4,0,,5/6,,,
1341 - L - 18,6,0,,5/6,,,
1341 - L - 19,22,2,,5/6,,,
1341 - L - 20,8,0,,5/6,,,
1367 - R - 1,1,0,50864099.00,2/3,,,
1367 - R - 2,1,0,,2/3,,,
1367 - R - 3,0,0,,2/3,,,
1367 - R - 4,0,0,,2/3,,,
1367 - R - 5,0,0,,2/3,,,
1367 - R - 6,3,0,,2/3,,,
1367 - R - 7,3,0,,2/3,,,
1367 - R - 8,0,0,,2/3,,,
1367 - R - 9,1,5,,2/3,,,
1367 - R - 10,6,0,,2/3,,,
1367 - R - 11,1,1,,5/6,,,
1367 - R - 12,0,1,,5/6,,,
1367 - R - 13,3,3,,5/6,,,
1367 - R - 14,5,1,,5/6,,,
1367 - R - 15,5,4,,5/6,,,
1367 - R - 16,2,4,,5/6,,,
1367 - R - 17,3,0,,5/6,,,
1367 - R - 18,0,0,,5/6,,,
1367 - R - 19,0,3,,5/6,,,
1367 - R - 20,0,1,,5/6,,,
1374 - L - 1,21,1,110750601.00,2/3,,,
1374 - L - 2,21,0,,2/3,,,
1374 - L - 3,17,1,,2/3,,,
1374 - L - 4,23,0,,2/3,,,
1374 - L - 5,9,0,,2/3,,,
1374 - L - 6,21,0,,2/3,,,
1374 - L - 7,9,0,,2/3,,,
1374 - L - 8,13,0,,2/3,,,
1374 - L - 9,12,0,,2/3,,,
1374 - L - 10,14,0,,2/3,,,
1374 - L - 11,17,0,,5/6,,,
1374 - L - 12,22,0,,5/6,,,
1374 - L - 13,12,0,,5/6,,,
1374 - L - 14,16,0,,5/6,,,
1374 - L - 15,6,0,,5/6,,,
1374 - L - 16,12,0,,5/6,,,
1374 - L - 17,7,0,,5/6,,,
1374 - L - 18,10,0,,5/6,,,
1374 - L - 19,7,0,,5/6,,,
1374 - L - 20,11,0,,5/6,,,
1374 - R - 1,5,10,112497385.00,2/3,,,
1374 - R - 2,4,1,,2/3,,,
1374 - R - 3,3,3,,2/3,,,
1374 - R - 4,3,5,,2/3,,,
1374 - R - 5,6,3,,2/3,,,
1374 - R - 6,4,1,,2/3,,,
1374 - R - 7,4,2,,2/3,,,
1374 - R - 8,2,0,,2/3,,,
1374 - R - 9,3,1,,2/3,,,
1374 - R - 10,6,1,,2/3,,,
1374 - R - 11,1,0,,5/6,,,
1374 - R - 12,1,0,,5/6,,,
1374 - R - 13,1,0,,5/6,,,
1374 - R - 14,1,0,,5/6,,,
1374 - R - 15,4,0,,5/6,,,
1374 - R - 16,1,0,,5/6,,,
1374 - R - 17,1,0,,5/6,,,
1374 - R - 18,4,0,,5/6,,,
1374 - R - 19,5,1,,5/6,,,
1374 - R - 20,4,0,,5/6,,,
1381 - L - 1,14,0,58632522.00,2/3,,,
1381 - L - 2,5,0,,2/3,,,
1381 - L - 3,13,0,,2/3,,,
1381 - L - 4,17,0,,2/3,,,
1381 - L - 5,15,0,,2/3,,,
1381 - L - 6,8,0,,2/3,,,
1381 - L - 7,6,0,,2/3,,,
1381 - L - 8,2,0,,2/3,,,
1381 - L - 9,18,0,,2/3,,,
1381 - L - 10,18,2,,2/3,,,
1381 - L - 11,14,0,,5/6,,,
1381 - L - 12,14,0,,5/6,,,
1381 - L - 13,16,0,,5/6,,,
1381 - L - 14,15,0,,5/6,,,
1381 - L - 15,15,0,,5/6,,,
1381 - L - 16,10,0,,5/6,,,
1381 - L - 17,28,0,,5/6,,,
1381 - L - 18,12,0,,5/6,,,
1381 - L - 19,21,0,,5/6,,,
1381 - L - 20,1,0,,5/6,,,
1381 - R - 1,2,4,59739303.00,2/3,,,
1381 - R - 2,3,1,,2/3,,,
1381 - R - 3,2,1,,2/3,,,
1381 - R - 4,2,3,,2/3,,,
1381 - R - 5,3,2,,2/3,,,
1381 - R - 6,5,5,,2/3,,,
1381 - R - 7,3,1,,2/3,,,
1381 - R - 8,7,1,,2/3,,,
1381 - R - 9,5,2,,2/3,,,
1381 - R - 10,6,1,,2/3,,,
1381 - R - 11,1,0,,5/6,,,
1381 - R - 12,1,0,,5/6,,,
1381 - R - 13,2,0,,5/6,,,
1381 - R - 14,0,0,,5/6,,,
1381 - R - 15,2,0,,5/6,,,
1381 - R - 16,2,1,,5/6,,,
1381 - R - 17,1,1,,5/6,,,
1381 - R - 18,1,0,,5/6,,,
1381 - R - 19,1,0,,5/6,,,
1381 - R - 20,1,1,,5/6,,,
1449 - L - 1,17,2,104103831.00,2/3,,,
1449 - L - 2,8,0,,2/3,,,
1449 - L - 3,9,2,,2/3,,,
1449 - L - 4,14,0,,2/3,,,
1449 - L - 5,9,1,,2/3,,,
1449 - L - 6,13,3,,2/3,,,
1449 - L - 7,11,1,,2/3,,,
1449 - L - 8,9,1,,2/3,,,
1449 - L - 9,3,0,,2/3,,,
1449 - L - 10,11,2,,2/3,,,
1449 - L - 11,16,1,,5/6,,,
1449 - L - 12,17,0,,5/6,,,
1449 - L - 13,14,0,,5/6,,,
1449 - L - 14,10,1,,5/6,,,
1449 - L - 15,8,0,,5/6,,,
1449 - L - 16,14,1,,5/6,,,
1449 - L - 17,9,0,,5/6,,,
1449 - L - 18,10,2,,5/6,,,
1449 - L - 19,15,0,,5/6,,,
1449 - L - 20,15,1,,5/6,,,
1449 - R - 1,5,3,104103831.00,2/3,,,
1449 - R - 2,2,2,,2/3,,,
1449 - R - 3,2,7,,2/3,,,
1449 - R - 4,0,1,,2/3,,,
1449 - R - 5,2,2,,2/3,,,
1449 - R - 6,2,4,,2/3,,,
1449 - R - 7,2,5,,2/3,,,
1449 - R - 8,4,5,,2/3,,,
1449 - R - 9,3,0,,2/3,,,
1449 - R - 10,5,1,,2/3,,,
1449 - R - 11,4,0,,5/6,,,
1449 - R - 12,3,1,,5/6,,,
1449 - R - 13,1,1,,5/6,,,
1449 - R - 14,0,0,,5/6,,,
1449 - R - 15,1,0,,5/6,,,
1449 - R - 16,0,0,,5/6,,,
1449 - R - 17,2,0,,5/6,,,
1449 - R - 18,0,0,,5/6,,,
1449 - R - 19,2,2,,5/6,,,
1449 - R - 20,0,0,,5/6,,,
1789 - L - 1,0,0,60874814.00,2/3,,,
1789 - L - 2,21,0,,2/3,,,
1789 - L - 3,42,0,,2/3,,,
1789 - L - 4,26,0,,2/3,,,
1789 - L - 5,25,1,,2/3,,,
1789 - L - 6,40,0,,2/3,,,
1789 - L - 7,35,0,,2/3,,,
1789 - L - 8,24,0,,2/3,,,
1789 - L - 9,12,2,,2/3,,,
1789 - L - 10,16,0,,2/3,,,
1789 - L - 11,22,1,,5/6,,,
1789 - L - 12,21,3,,5/6,,,
1789 - L - 13,17,2,,5/6,,,
1789 - L - 14,30,0,,5/6,,,
1789 - L - 15,22,0,,5/6,,,
1789 - L - 16,21,1,,5/6,,,
1789 - L - 17,31,0,,5/6,,,
1789 - L - 18,15,1,,5/6,,,
1789 - L - 19,12,1,,5/6,,,
1789 - L - 20,19,2,,5/6,,,
1789 - R - 1,3,0,64612756.00,2/3,,,
1789 - R - 2,1,2,,2/3,,,
1789 - R - 3,2,2,,2/3,,,
1789 - R - 4,4,1,,2/3,,,
1789 - R - 5,5,0,,2/3,,,
1789 - R - 6,4,2,,2/3,,,
1789 - R - 7,4,2,,2/3,,,
1789 - R - 8,1,2,,2/3,,,
1789 - R - 9,4,0,,2/3,,,
1789 - R - 10,3,2,,2/3,,,
1789 - R - 11,1,1,,5/6,,,
1789 - R - 12,0,0,,5/6,,,
1789 - R - 13,2,0,,5/6,,,
1789 - R - 14,1,1,,5/6,,,
1789 - R - 15,1,0,,5/6,,,
1789 - R - 16,3,1,,5/6,,,
1789 - R - 17,4,2,,5/6,,,
1789 - R - 18,2,1,,5/6,,,
1789 - R - 19,2,1,,5/6,,,
1789 - R - 20,2,0,,5/6,,,
10003 - L - 1,3,0,58690996.00,2/3,,,
10003 - L - 2,11,0,,2/3,,,
10003 - L - 3,0,0,,2/3,,,
10003 - L - 4,11,0,,2/3,,,
10003 - L - 5,7,0,,2/3,,,
10003 - L - 6,4,0,,2/3,,,
10003 - L - 7,3,1,,2/3,,,
10003 - L - 8,0,0,,2/3,,,
10003 - L - 9,11,1,,2/3,,,
10003 - L - 10,7,1,,2/3,,,
10003 - L - 11,9,0,,5/6,,,
10003 - L - 12,8,2,,5/6,,,
10003 - L - 13,7,2,,5/6,,,
10003 - L - 14,9,1,,5/6,,,
10003 - L - 15,8,1,,5/6,,,
10003 - L - 16,18,0,,5/6,,,
10003 - L - 17,23,0,,5/6,,,
10003 - L - 18,17,1,,5/6,,,
10003 - L - 19,16,2,,5/6,,,
10003 - L - 20,12,2,,5/6,,,
10003 - R - 1,2,4,55269929.00,2/3,,,
10003 - R - 2,6,4,,2/3,,,
10003 - R - 3,1,1,,2/3,,,
10003 - R - 4,6,2,,2/3,,,
10003 - R - 5,0,0,,2/3,,,
10003 - R - 6,2,0,,2/3,,,
10003 - R - 7,5,2,,2/3,,,
10003 - R - 8,6,1,,2/3,,,
10003 - R - 9,6,4,,2/3,,,
10003 - R - 10,1,0,,2/3,,,
10003 - R - 11,1,0,,5/6,,,
10003 - R - 12,0,0,,5/6,,,
10003 - R - 13,3,0,,5/6,,,
10003 - R - 14,2,1,,5/6,,,
10003 - R - 15,4,3,,5/6,,,
10003 - R - 16,3,0,,5/6,,,
10003 - R - 17,2,0,,5/6,,,
10003 - R - 18,2,1,,5/6,,,
10003 - R - 19,3,0,,5/6,,,
10003 - R - 20,2,0,,5/6,,,
10004 - L - 1,16,0,23311184.00,2/3,,,
10004 - L - 2,37,0,,2/3,,,
10004 - L - 3,6,1,,2/3,,,
10004 - L - 4,7,0,,2/3,,,
10004 - L - 5,13,0,,2/3,,,
10004 - L - 6,23,1,,2/3,,,
10004 - L - 7,46,2,,2/3,,,
10004 - L - 8,31,0,,2/3,,,
10004 - L - 9,29,1,,2/3,,,
10004 - L - 10,25,0,,2/3,,,
10004 - L - 11,22,1,,5/6,,,
10004 - L - 12,2,0,,5/6,,,
10004 - L - 13,19,0,,5/6,,,
10004 - L - 14,22,1,,5/6,,,
10004 - L - 15,2,1,,5/6,,,
10004 - L - 16,11,0,,5/6,,,
10004 - L - 17,6,0,,5/6,,,
10004 - L - 18,9,0,,5/6,,,
10004 - L - 19,6,0,,5/6,,,
10004 - L - 20,30,2,,5/6,,,
10004 - R - 1,2,2,22142042.00,2/3,,,
10004 - R - 2,3,1,,2/3,,,
10004 - R - 3,0,1,,2/3,,,
10004 - R - 4,1,1,,2/3,,,
10004 - R - 5,2,1,,2/3,,,
10004 - R - 6,2,2,,2/3,,,
10004 - R - 7,3,1,,2/3,,,
10004 - R - 8,3,1,,2/3,,,
10004 - R - 9,3,0,,2/3,,,
10004 - R - 10,1,1,,2/3,,,
10004 - R - 11,0,1,,5/6,,,
10004 - R - 12,2,0,,5/6,,,
10004 - R - 13,3,0,,5/6,,,
10004 - R - 14,2,0,,5/6,,,
10004 - R - 15,0,1,,5/6,,,
10004 - R - 16,2,0,,5/6,,,
10004 - R - 17,1,0,,5/6,,,
10004 - R - 18,1,0,,5/6,,,
10004 - R - 19,1,0,,5/6,,,
10004 - R - 20,4,0,,5/6,,,
10006 - L - 1,0,0,33352995.00,2/3,,,
10006 - L - 2,6,0,,2/3,,,
10006 - L - 3,3,0,,2/3,,,
10006 - L - 4,11,0,,2/3,,,
10006 - L - 5,0,0,,2/3,,,
10006 - L - 6,0,0,,2/3,,,
10006 - L - 7,10,0,,2/3,,,
10006 - L - 8,8,0,,2/3,,,
10006 - L - 9,9,0,,2/3,,,
10006 - L - 10,2,0,,2/3,,,
10006 - L - 11,4,0,,5/6,,,
10006 - L - 12,4,0,,5/6,,,
10006 - L - 13,11,0,,5/6,,,
10006 - L - 14,10,0,,5/6,,,
10006 - L - 15,3,0,,5/6,,,
10006 - L - 16,7,0,,5/6,,,
10006 - L - 17,11,0,,5/6,,,
10006 - L - 18,2,0,,5/6,,,
10006 - L - 19,4,0,,5/6,,,
10006 - L - 20,4,0,,5/6,,,
10006 - R - 1,3,0,32197880.00,2/3,,,
10006 - R - 2,5,1,,2/3,,,
10006 - R - 3,4,2,,2/3,,,
10006 - R - 4,2,2,,2/3,,,
10006 - R - 5,2,3,,2/3,,,
10006 - R - 6,3,0,,2/3,,,
10006 - R - 7,0,0,,2/3,,,
10006 - R - 8,0,0,,2/3,,,
10006 - R - 9,1,1,,2/3,,,
10006 - R - 10,1,1,,2/3,,,
10006 - R - 11,0,0,,5/6,,,
10006 - R - 12,1,0,,5/6,,,
