CellType,logFC,AveExpr,t,P.Value,adj.P.Val,Cohort
Sst_22,-0.146245012453823,-1.2151642900092963,-1.1119435587988988,0.2675541747628756,0.9984640559243151,MSSM 2
Sst_1,0.1115143848873688,-0.4337124399125426,1.1031029245664965,0.2713645444040319,0.9984640559243151,MSSM 2
Vip_14,0.11813116373433907,-0.9047732469520595,1.1007841863533416,0.2723701068677145,0.9984640559243151,MSSM 2
L5 IT_7,0.13285352034985953,-1.135954632782683,1.0824401132066888,0.2804159256562946,0.9984640559243151,MSSM 2
Sst Chodl_1,-0.13469203070263933,-1.1505097962575002,-1.077757275487428,0.28249565541481675,0.9984640559243151,MSSM 2
Pax6_4,-0.15702693279963695,-1.853338654247369,-1.069143313833031,0.28634872942587425,0.9984640559243151,MSSM 2
Vip_9,-0.10350926296663039,0.10793678975341368,-1.0335261541366214,0.30265907861543073,0.9984640559243151,MSSM 2
Vip_18,-0.10080643117239649,0.8528390309682031,-0.9885934341062401,0.3241075384553652,0.9984640559243151,MSSM 2
Vip_21,-0.0979254456146388,-0.20531772669968704,-0.9819860095131997,0.3273437431500701,0.9984640559243151,MSSM 2
L2/3 IT_13,-0.13687905875445455,0.3971701912973899,-0.9144189975149399,0.3616447900637667,0.9984640559243151,MSSM 2
Sncg_3,0.11008378316185412,-0.9374655882554217,0.9025149006385796,0.36791537270546293,0.9984640559243151,MSSM 2
Pvalb_9,-0.08828214806104706,0.2578508635339492,-0.8967366497680941,0.37098356578426805,0.9984640559243151,MSSM 2
Sst_7,0.09997336596268867,-0.795463759265672,0.8852180498736626,0.37714741215481473,0.9984640559243151,MSSM 2
L6 CT_3,0.11535239811852704,-1.5678415552822877,0.8634632155097313,0.3889612540681453,0.9984640559243151,MSSM 2
L6b_2,0.1127192582904838,-0.7078016407409041,0.8475147243549626,0.3977645680454198,0.9984640559243151,MSSM 2
L6 IT_2,0.12384048980718888,1.1532371037966516,0.8412428809863846,0.4012594274287804,0.9984640559243151,MSSM 2
Pvalb_13,0.08617356474266277,-0.9002637686667309,0.8307188242610404,0.4071653298151785,0.9984640559243151,MSSM 2
Sst_5,0.09117251882248115,-0.024242035257443836,0.7886524824443849,0.43128881342243985,0.9984640559243151,MSSM 2
L6 CT_1,-0.11660090191850331,0.33999564817137307,-0.7825495467507014,0.4348567209061198,0.9984640559243151,MSSM 2
L2/3 IT_3,0.10245852622714094,0.25932762706554124,0.7618060587480512,0.4471114482146271,0.9984640559243151,MSSM 2
Vip_15,0.05874767822926015,1.0354482540430912,0.7603916233905967,0.4479542096553776,0.9984640559243151,MSSM 2
Sst_4,0.0815599627457204,-0.5550860742804243,0.7474910299501031,0.4556826154832072,0.9984640559243151,MSSM 2
L6 CT_2,-0.09383887251615693,1.178441544654428,-0.7459722629694661,0.4565974180479828,0.9984640559243151,MSSM 2
Sncg_2,-0.11345026116775347,-1.4709765607335619,-0.7438041917297584,0.45790511833528114,0.9984640559243151,MSSM 2
L5/6 NP_1,0.0959504332665279,0.6855048611481371,0.7183568914593579,0.47341137287641755,0.9984640559243151,MSSM 2
Pvalb_3,0.06894066278467743,0.05443899925735859,0.7164036744310864,0.4746134735357982,0.9984640559243151,MSSM 2
Sncg_5,-0.07865603199158988,-0.4172699837105111,-0.676703254355935,0.49940949778313715,0.9984640559243151,MSSM 2
L4 IT_2,0.06630384560696621,2.7793760568178882,0.6586452320488512,0.5109134573176074,0.9984640559243151,MSSM 2
Sst_10,0.06898037605746796,-0.09916519003791807,0.6543664515640606,0.513659586672026,0.9984640559243151,MSSM 2
L2/3 IT_10,0.12467093120379759,1.440820230980201,0.6382334741901708,0.5240829737989815,0.9984640559243151,MSSM 2
L5 IT_5,0.09438215346429572,0.8530997537269075,0.6279037402359529,0.5308138588167692,0.9984640559243151,MSSM 2
Lamp5_5,0.06868573578313003,0.8979649598905185,0.6235778178494638,0.533645720494857,0.9984640559243151,MSSM 2
Pvalb_10,0.060934185138117526,-0.46163068894001275,0.6167432339414326,0.5381354439479793,0.9984640559243151,MSSM 2
L4 IT_3,-0.08635999097573982,-1.2048008912339285,-0.6062118654234162,0.5450908313359014,0.9984640559243151,MSSM 2
Pvalb_14,0.06274745644570749,0.35095998524783584,0.6031485225500838,0.5471224127651166,0.9984640559243151,MSSM 2
Vip_16,0.06721903558633491,-0.8747690868898047,0.6012975886683927,0.5483517631606282,0.9984640559243151,MSSM 2
L6 IT_1,0.07504447192062899,-0.6605447863068076,0.5827630900652673,0.5607372692072559,0.9984640559243151,MSSM 2
Pax6_1,-0.05260591777808421,0.512463277475374,-0.49898478014967595,0.6183618996545841,0.9984640559243151,MSSM 2
