gene,log2FC,pct_vulnerable,pct_not_depleted,mean_vulnerable,mean_not_depleted,p_wilcoxon,fdr_wilcoxon,donor_delta,p_donor_paired,fdr_donor,neg_log10_p,always_label
CPSF1,0.046156812,0.1456813367851259,0.11591355599214145,0.08996879,0.067910254,1.0146299e-06,2.9864975216942993e-06,0.013461664,0.21302512,0.35982085836295785,5.9936924,False
SPATA7,-0.065293916,0.5511885149446929,0.5843565815324165,0.43251967,0.4743689,1.0149495e-06,2.9866633170928165e-06,-0.010243589,0.4297639,0.5742721153279944,5.9935555,False
DKK3,0.043292176,0.6679218639679925,0.6103880157170923,0.5615267,0.5196376,1.0427584e-06,3.0676999971796122e-06,0.018973809,0.18406454,0.3273538462998707,5.9818163,False
PCNT,-0.0784297,0.46622734761120266,0.4943516699410609,0.32963008,0.37215266,1.0441923e-06,3.071122029871096e-06,0.005472976,0.8073797,0.8725270092050109,5.9812193,False
MAP3K4,0.059906684,0.6399152741821605,0.5988457760314342,0.5228553,0.48070273,1.0498607e-06,3.0869929947464995e-06,0.029936826,0.042298123,0.13317510269762178,5.9788685,False
UST,0.06573939,0.6610967286420334,0.6065815324165029,0.69805014,0.6436295,1.0534445e-06,3.096728408759849e-06,0.16984375,0.105684765,0.22888276812774436,5.9773884,False
PPA1,-0.065547936,0.44881148505530716,0.4888261296660118,0.32314125,0.36190498,1.0544181e-06,3.098787431040576e-06,-0.042933278,0.19944067,0.3442567069575472,5.9769874,False
SEM1,0.054196898,0.5881383855024712,0.5388015717092338,0.4665724,0.42595306,1.0624466e-06,3.121573284048393e-06,0.02398013,0.009156232,0.06048861538017726,5.973693,False
CDKN2D,-0.043949954,0.20851965168274889,0.24766699410609036,0.12960881,0.15414613,1.0687164e-06,3.139181414658637e-06,-0.028892761,0.01375606,0.07290540371805304,5.9711375,False
NIPBL,-0.06516742,0.8241939279830548,0.8196218074656189,0.82528853,0.8645862,1.098262e-06,3.2251319840045103e-06,-0.06669154,0.02612542,0.10163427592140914,5.959294,False
SMARCA5,-0.06957892,0.416333254883502,0.4543222003929273,0.2858058,0.32401612,1.1077956e-06,3.2522859279351698e-06,-0.05083976,0.019844033,0.08722750001134658,5.95554,False
RPL30,-0.085939206,0.5116497999529301,0.5394155206286837,0.39686278,0.44330043,1.1102798e-06,3.2587357607572537e-06,-0.09310533,0.0051620877,0.047162722318600386,5.9545674,False
