cell,t_ms,v_mV,i_pA
Sst_25,90.94000000000003,-67.5,-90.0
Sst_25,91.89999999999998,-67.475,-90.0
Sst_25,92.86000000000006,-67.36875,-90.0
Sst_25,93.82000000000002,-67.36875,-90.0
Sst_25,94.77999999999997,-67.24375,-90.0
Sst_25,95.74000000000005,-67.1875,-90.0
Sst_25,96.7,-67.143745,-90.0
Sst_25,97.65999999999997,-67.125,-90.0
Sst_25,98.62000000000005,-67.06251,-90.0
Sst_25,99.58,-67.006256,-90.0
Sst_25,100.54000000000008,-67.02501,-90.0
Sst_25,101.50000000000003,-66.918755,-90.0
Sst_25,102.46,-66.918755,-90.0
Sst_25,103.42000000000007,-66.8375,-90.0
Sst_25,104.38000000000002,-66.79375,-90.0
Sst_25,105.33999999999999,-66.78125,-90.0
Sst_25,106.30000000000007,-66.637505,-90.0
Sst_25,107.26000000000002,-66.600006,-90.0
Sst_25,108.21999999999998,-66.61876,-90.0
Sst_25,109.18000000000005,-66.518745,-90.0
Sst_25,110.14000000000001,-66.50625,-90.0
Sst_25,111.09999999999998,-66.4125,-90.0
Sst_25,112.06000000000004,-66.331245,-90.0
Sst_25,113.02000000000001,-66.225,-90.0
Sst_25,113.97999999999998,-66.2125,-90.0
Sst_25,114.94000000000004,-66.11875,-90.0
Sst_25,115.9,-66.068756,-90.0
Sst_25,116.86000000000007,-66.018745,-90.0
Sst_25,117.82000000000004,-66.0,-90.0
Sst_25,118.78,-65.862495,-90.0
Sst_25,119.74000000000007,-65.81875,-90.0
Sst_25,120.70000000000003,-65.81875,-90.0
Sst_25,121.66,-65.768745,-90.0
Sst_25,122.62000000000006,-65.71876,-90.0
Sst_25,123.58000000000003,-65.612495,-90.0
Sst_25,124.53999999999998,-65.61875,-90.0
Sst_25,125.50000000000006,-65.5625,-90.0
Sst_25,126.46000000000002,-65.55,-90.0
Sst_25,127.41999999999997,-65.487495,-90.0
Sst_25,128.38000000000005,-65.443756,-90.0
Sst_25,129.34,-65.4,-90.0
Sst_25,130.29999999999998,-65.38125,-90.0
Sst_25,131.26000000000005,-65.325,-90.0
Sst_25,132.22,-65.31875,-90.0
Sst_25,133.18000000000006,-65.325,-90.0
Sst_25,134.14000000000004,-65.33125,-90.0
Sst_25,135.1,-65.31251,-90.0
Sst_25,136.06000000000006,-65.28125,-90.0
Sst_25,137.02000000000004,-65.27501,-90.0
Sst_25,137.98,-65.27501,-90.0
Sst_25,138.94000000000005,-65.25,-90.0
Sst_25,139.90000000000003,-65.24376,-90.0
Sst_25,140.85999999999999,-65.200005,-90.0
Sst_25,141.82000000000005,-65.20625,-90.0
Sst_25,142.78000000000003,-65.19375,-90.0
Sst_25,143.73999999999998,-65.15001,-90.0
Sst_25,144.70000000000005,-65.11875,-90.0
Sst_25,145.66000000000003,-65.1,-90.0
Sst_25,146.61999999999998,-65.075005,-90.0
Sst_25,147.58000000000004,-65.037506,-90.0
Sst_25,148.54,-65.09376,-90.0
Sst_25,149.50000000000009,-65.11875,-90.0
Sst_25,150.46000000000004,-65.10625,-90.0
Sst_25,151.42,-65.0625,-90.0
Sst_25,152.38000000000008,-65.081245,-90.0
Sst_25,153.34000000000003,-65.04375,-90.0
Sst_25,154.29999999999998,-65.0875,-90.0
Sst_25,155.26000000000008,-65.04375,-90.0
Sst_25,156.22000000000003,-65.00001,-90.0
Sst_25,157.17999999999998,-65.049995,-90.0
Sst_25,158.14000000000007,-65.00001,-90.0
Sst_25,159.10000000000002,-64.981255,-90.0
Sst_25,160.05999999999997,-65.01875,-90.0
Sst_25,161.02000000000004,-64.987495,-90.0
Sst_25,161.98000000000002,-64.99375,-90.0
