symbol,specificity,P,neg_log10_p,p_fdr,is_driver,is_hcn1
ZNF438,0.002781401368533,0.0048865,2.3110020968936866,0.029446137443438915,False,False
ZEB1,0.0022246035649008,0.1415,0.849243560139691,0.2853029901589704,False,False
ARHGAP12,0.0024171293703496,0.0011952,2.9225594155286765,0.010546930535615682,False,False
KIF5B,0.0017261477352592,0.00096286,3.0164368547731875,0.008942117013364323,False,False
EPC1,0.0020375855202816,0.07142,1.1461801541432368,0.1851359318734793,False,False
CCDC7,0.0018029277628696,0.12186,0.9141388262115496,0.2591622714570858,False,False
ITGB1,0.0018276552788367,0.11032,0.9573457468322066,0.2436114587650228,False,False
NRP1,0.0008166753629557,5.3352e-07,6.2728492955894035,2.1775743214285715e-05,False,False
PARD3,0.0019199323334517,0.12071,0.9182567500772789,0.2583109949116229,False,False
CUL2,0.0017650295225546,0.0003792,3.4211316713339714,0.0043254783725910064,False,False
CREM,0.0011291845834473,0.00013018,3.8854557327941355,0.0018492502933333333,False,False
CCNY,0.0015120066461336,0.0035865,2.445329164828544,0.023242439781021897,False,False
GJD4,0.0004936395927858,0.5627,0.24972308484600736,0.6692207270427146,False,False
FZD8,4.766458223001552e-05,0.14156,0.8490594460345228,0.2853519626639758,False,False
ANKRD30A,0.0005033603195099,0.072007,1.1426252825464795,0.18620450922330098,False,False
ZNF248,0.0019550165078683,0.79047,0.1021146078085461,0.8336083588491487,False,False
