gene,estimate,se,zval,pval,k,coef,padj
AC016831.7,0.05839072078011483,0.0412238334584525,1.4164311244601742,0.1566493165435752,7,dxSCZ:stratumdepleted,0.9369945376758018
AC092422.1,0.20506230729713418,0.13115809690313895,1.563474250839229,0.11794108754200203,5,dxSCZ:stratumdepleted,0.8983905592385042
ACAA1,-0.03517274008702536,0.0687479655220735,-0.5116186322012998,0.6089179427867409,6,dxSCZ:stratumdepleted,0.9838273170540576
ACACA,0.021798728487168403,0.03109127621021425,0.7011204152503391,0.48322787077017393,6,dxSCZ:stratumdepleted,0.9838273170540576
ACACB,-0.08379255733327408,0.13292916860804252,-0.6303549342157282,0.5284623888243656,5,dxSCZ:stratumdepleted,0.9838273170540576
ACAD10,0.06405145643303993,0.08409083538415467,0.7616936630541455,0.4462428583346676,6,dxSCZ:stratumdepleted,0.9838273170540576
ACAD8,0.041501162325809575,0.11187362042687832,0.37096468468127514,0.710663835460543,6,dxSCZ:stratumdepleted,0.9901358000485027
ACAD9,-0.031262070731484515,0.05585979812144826,-0.5596524116237531,0.5757165478730103,6,dxSCZ:stratumdepleted,0.9838273170540576
ACADM,-0.05152803612529003,0.0727107590377761,-0.7086714099424981,0.47852841066835267,6,dxSCZ:stratumdepleted,0.9838273170540576
ACADSB,0.025161026224447783,0.05920917157946243,0.4249514991217215,0.6708720314563348,6,dxSCZ:stratumdepleted,0.9862420968151533
ACADVL,0.02414042307705579,0.05852596951081866,0.4124736980665203,0.6799922551100207,6,dxSCZ:stratumdepleted,0.9878057588390625
ACAP2,-0.02355645634076028,0.05008932417791123,-0.47028896331462955,0.6381485815585299,7,dxSCZ:stratumdepleted,0.9838273170540576
ACAP3,0.03504661678974417,0.05096052967684715,0.68772081083111,0.4916286121829908,7,dxSCZ:stratumdepleted,0.9838273170540576
ACAT1,0.054205217408416204,0.07617042512771098,0.7116307584936429,0.4766934549577389,6,dxSCZ:stratumdepleted,0.9838273170540576
ACAT2,0.009208724900441589,0.09198895094378953,0.10010685855161716,0.9202594903508038,7,dxSCZ:stratumdepleted,0.9963126055122565
ACBD3,0.06072997048694731,0.06944048085659196,0.8745614911908006,0.38181254850424673,7,dxSCZ:stratumdepleted,0.9838273170540576
ACBD4,-0.059669357796861514,0.08836879492913177,-0.6752310908473285,0.4995289564374493,6,dxSCZ:stratumdepleted,0.9838273170540576
ACBD5,-0.09343797605420866,0.049301510529780254,-1.8952355627677586,0.05806120066397378,7,dxSCZ:stratumdepleted,0.843170591909467
ACBD6,0.06211708820017863,0.04313956795224463,1.4399098356511606,0.14989291001601449,7,dxSCZ:stratumdepleted,0.9349459900060129
ACCS,0.26124494239257684,0.12760430098879025,2.0473051485586415,0.04062813270856579,5,dxSCZ:stratumdepleted,0.8062756160735716
