gene,estimate,se,zval,pval,k,ci.lb,ci.ub,tau2,I2,stratum,padj
DNMT3A,-0.07087603259791322,0.03615765016479081,-1.9601946552082659,0.04997304296780776,7,-0.14174372468650195,-8.340509324494816e-6,3.045516813230033e-7,0.0028020670819397632,depleted,0.5269160124347854
DNMT3B,-0.049334185875886165,0.0937957421613121,-0.5259746843416419,0.598905796443721,6,-0.23317046241526296,0.13450209066349061,0.01515821283458231,30.745476617697935,depleted,0.9092845389184349
DNPEP,-0.05703702530013274,0.07061222945294991,-0.8077499569410629,0.4192345385880434,5,-0.195434451895993,0.08136040129572752,3.873658982124141e-7,0.0013148686495437463,depleted,0.8413244035461691
DNTTIP1,-0.04533538521921316,0.07509328288759472,-0.603720911856718,0.5460292085360003,7,-0.19251551515977675,0.10184474472135044,0.004239499663783381,10.351016188601132,depleted,0.8906854451611204
DNTTIP2,-0.004083394476448419,0.06896023085860964,-0.059213758794118214,0.952781850939273,7,-0.13924296332489094,0.1310761743719941,0,0,depleted,0.9909080455424084
DOC2A,-0.040645723223149806,0.057639876088594666,-0.7051667349297523,0.4807064800920682,7,-0.15361780443014678,0.07232635798384718,4.979406397166293e-7,0.0018365947128340945,depleted,0.8637301808668009
DOCK1,-0.11072511858630242,0.10577519273198245,-1.0467966611685813,0.2951933706350741,6,-0.3180406867987709,0.09659044962616604,0.025110194422121156,42.39235712491988,depleted,0.7710712318530161
DOCK10,-0.060718054309500835,0.05508483001974115,-1.1022645306836905,0.2703466847202741,7,-0.16868233724270426,0.04724622862370259,0,0,depleted,0.7567710340074808
DOCK11,-0.019762185754250795,0.02872876279243563,-0.6878885073134524,0.49152299440440395,7,-0.07606952614781898,0.03654515463931738,5.028181914460982e-4,8.127345082034662,depleted,0.8669876304012764
DOCK2,0.057842591719472106,0.22822542408784596,0.2534449961070419,0.7999243605010461,6,-0.38947101984908605,0.5051562032880302,0.2096091478823653,74.552730081501565,depleted,0.9597180269035135
DOCK3,0.010301921569454276,0.021526908603901836,0.47856019454586307,0.632251541883249,7,-0.03189004399267874,0.052493887131587286,0,0,depleted,0.9172995461476127
DOCK4,0.008701003352921306,0.040848993992910185,0.21300410371015416,0.831323761836364,7,-0.07136155367787567,0.08876356038371827,0,0,depleted,0.9697007130353023
DOCK5,-0.014123564665451593,0.09496128309950082,-0.14872971599017742,0.8817669120495752,5,-0.2002442594661853,0.17199713013528212,0,0,depleted,0.9749355566301032
DOCK6,0.00680977647465388,0.12566947792023156,0.05418799049182309,0.9567853888262615,5,-0.23949787420495147,0.2531174271542592,0.02637634370800906,34.52120842198262,depleted,0.9916117141037476
DOCK7,0.010731282247606467,0.026705266474531,0.4018414217226016,0.6878007356476792,7,-0.04161007824001923,0.06307264273523217,0,0,depleted,0.9342584028351042
DOCK9,0.06817885075965012,0.034936997508704805,1.951479967408844,0.050999976951873985,7,-2.964060853768852e-4,0.1366541076046771,0.002038065686169126,25.612818968295016,depleted,0.5279850851587993
DOHH,-0.039510471027065,0.09261478403408585,-0.42661084230918905,0.6696627992661472,5,-0.22103211216982846,0.14201117011569844,5.898549829557836e-6,0.012628382909079663,depleted,0.929252494658116
DOK4,-0.13335444082272407,0.06593580729767892,-2.0224889371668984,0.04312586534285947,6,-0.262586248417748,-0.004122633227700123,1.656766143343264e-6,0.005720889627690332,depleted,0.5048381137744832
DOK5,-0.03161433196215243,0.07984085890906223,-0.3959668319470457,0.6921294969129901,7,-0.1880995399186583,0.12487087599435343,0.011197754681752466,26.625972917266203,depleted,0.9342584028351042
DOK6,0.07322496495018868,0.051746629709740845,1.4150673263345832,0.15704875696301726,7,-0.028196565602233714,0.17464649550261108,0.00440264366854681,24.6359058243939,depleted,0.6769525385154415
