stratum,gene,k,estimate,se,z,padj
depleted,ADAP1,5,-0.04673122193134613,0.0705883772205039,-0.6620243129455603,0.8727296763832127
depleted,ADAP2,6,-0.02255829782197998,0.08475504997374403,-0.2661587460448462,0.9567813314966792
depleted,ADAR,7,0.00868695334064616,0.04282383259873868,0.20285324347410283,0.970918773084764
depleted,ADARB1,7,-0.00631672104478704,0.03271045205567979,-0.19311017267614383,0.9727199653624676
depleted,ADARB2,7,0.28054757206737396,0.2168608996287992,1.2936752201415158,0.7053201802729094
depleted,ADAT1,7,0.04676741327248988,0.07715009194787477,0.6061873951373583,0.8894591506564045
depleted,ADAT2,6,-0.06669932183197386,0.10310242208972152,-0.6469229381821017,0.8785694172443043
depleted,ADCK1,6,-0.19229548892456463,0.06805197714240094,-2.825714946123904,0.2865897981072971
depleted,ADCK2,5,0.09829362897434024,0.11525849921077286,0.8528102452088239,0.8311815497549983
depleted,ADCK5,6,-0.15595118711976758,0.08126387899095026,-1.9190714134767632,0.5346569168589208
depleted,ADCY1,7,-0.08365927124035316,0.03885372544717642,-2.153185319489945,0.47595003562309374
depleted,ADCY10,5,0.31928552964812046,0.1029561483815765,3.101179819439079,0.23078515213360493
depleted,ADCY2,7,-0.01112953238689023,0.03115909327931991,-0.35718409027893094,0.9388513566499722
depleted,ADCY3,7,0.0070303312323043,0.03721644289464462,0.18890390068192012,0.973590191851925
depleted,ADCY5,7,-0.0464566210148482,0.03578337088605209,-1.2982740268596775,0.704373349839659
depleted,ADCY6,7,-0.07557847299451764,0.05314078524686969,-1.4222310160343303,0.6741605197644055
depleted,ADCY8,7,0.13474191637591135,0.05418519187963167,2.486692612904839,0.3824545948973955
depleted,ADCY9,7,-0.01075368462533118,0.03802876411534081,-0.28277765200876304,0.9514045522428116
depleted,ADCYAP1R1,7,-0.05013252306823548,0.03222404252332248,-1.5557490352723915,0.6398560596498611
depleted,ADD1,7,-0.03702440957798572,0.02525114777657685,-1.4662466001775107,0.6622328249041073
depleted,ADD2,7,0.02952207083666161,0.04252248870723605,0.694269590849179,0.8663909581071907
depleted,ADD3,7,0.05684302623913966,0.04111142955606441,1.3826574958095723,0.6896177943651439
depleted,ADD3-AS1,5,0.14050499793175156,0.12325143408000508,1.1399867188607868,0.7506591442069629
depleted,ADGRA1,7,-0.02570366059614268,0.04819327375735658,-0.5333453943294126,0.90731539682465
depleted,ADGRA1-AS1,6,9.900953310561643e-4,0.07936113908130416,0.01247582056555196,0.9969639461952862
depleted,ADGRA2,7,-0.03297677020611312,0.06608771315977346,-0.4989848888610895,0.913163248208214
depleted,ADGRA3,7,0.05002682076831221,0.05647002776762898,0.8859004102879104,0.820621774857096
depleted,ADGRB1,7,-0.1428574912986258,0.04241138282172475,-3.36837617153687,0.18257095953219227
depleted,ADGRB2,7,-0.13592208441826018,0.05857901704136078,-2.3203203345370222,0.4203607527238499
