pathway,pval,padj,log2err,ES,NES,size,leadingEdge,coef
GOBP_NEURON_APOPTOTIC_PROCESS,0.7857852882703777,0.990701765612598,0.021218436926829978,-0.17671726798786297,-0.8897541590970561,192,RASA1|PIGT|HRAS|MAP3K5|SLC25A27|NCSTN|PTK2B|GRINA|BAX|CCND1|SEMA3E|IL6ST|GRN|NLRP1|EPHA4|LGMN|CX3CL1|SIAH1|KCNB1|NRP1|AIMP2|NMNAT1|EGLN1|HRK|ELP6|NEFL|PIK3CA|TGFB1|FOXO3|JUN|COL6A1|SOD1|CRLF1|MCL1|PARK7|CLU|GMPPA|BNIP3|PINK1|UBB|SLC1A1|TGFB2|DDIT3|ARSG,dxSCZ:stratumdepleted
GOBP_NEURON_CELLULAR_HOMEOSTASIS,0.50552608311229,0.9293798991347397,0.026498292629130466,-0.25211732230126804,-0.9709684339204294,44,ATP6V1C1|TSC22D4|ATP6V1E1|SLC8A2|ATP6V1D|NELL2|CX3CL1|ATP6V1F|BAP1|DCTN1|DNAJB2|ATP2B3|ATP6V1G1,dxSCZ:stratumdepleted
GOBP_NEURON_CELL_CELL_ADHESION,0.02479969477298741,0.5913866808591001,0.1259529316386221,0.5851744533251855,1.6218386849340312,14,NRXN2|NRXN1|RET|ASTN2|NLGN1|ASTN1,dxSCZ:stratumdepleted
GOBP_NEURON_FATE_COMMITMENT,0.7901023890784983,0.990701765612598,0.018811540072090176,-0.23572215855386452,-0.7848602187113096,24,FKBP8|DLL1|RBPJ|NTRK3|TGFB2|JAG2|MYT1L,dxSCZ:stratumdepleted
GOBP_NEURON_FATE_SPECIFICATION,0.6945545587314834,0.9784820816792933,0.020425251729959227,-0.3212115014844216,-0.8229964357904606,10,FKBP8|DLL1|NTRK3,dxSCZ:stratumdepleted
GOBP_NEURON_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_OXIDATIVE_STRESS,0.4295387219636056,0.8977429691931467,0.02859075033596515,-0.34883349177874956,-1.0120466242782507,15,MAP3K5|MCL1|PARK7|PINK1,dxSCZ:stratumdepleted
GOBP_NEURON_MATURATION,0.7952311612668366,0.990701765612598,0.01638056333872066,0.22275641374970398,0.803101175284321,38,RET|BCL2|PICK1|CNTNAP2|MAP3K13|B4GALT6|NTN4|KDM1A|KCNIP2|FARP2|ANKS1A,dxSCZ:stratumdepleted
GOBP_NEURON_MIGRATION,0.45257960156649074,0.9117985861867195,0.023980807668029017,0.21652229916679985,0.9974847307129371,140,FLRT2|PRKG1|KIAA0319|APBB2|ULK4|FLNA|CHL1|SDCCAG8|GPM6A|VAX1|ASTN2|MEF2C|NRG3|ELP3|GPR173|TYRO3|CRK|CELSR2|DNER|ASTN1|DAB1|SRF|CUL5|ERBB4|POMGNT2|MAP1B|ABI1|FILIP1|MYH10|ADGRL3|SHTN1|DISC1|NEXMIF|PSEN1|MARK2|CTNNA2|WASF2|ARX|FZD3,dxSCZ:stratumdepleted
GOBP_NEURON_PROJECTION_ARBORIZATION,0.05053995680345572,0.6211447152898245,0.09330404959216085,-0.41811620682894696,-1.451460982020847,28,SEMA3A|DLG4|VPS13A|CC2D1A|SSNA1|NRP1|PAK6|MACF1|GRIP1|NTNG1,dxSCZ:stratumdepleted
GOBP_NEURON_PROJECTION_EXTENSION,0.19395103216514642,0.7906335096876095,0.048676687486809755,-0.2383792159904893,-1.1312514914194214,127,CACNG7|ITGB1|SEMA3A|TTL|TSC22D4|RIMS2|SSNA1|NRP2|PLXNA1|IFRD1|SYT3|EIF2AK4|MEGF8|MUL1|ZFYVE27|RAPH1|DDR1|NRP1|FN1|CLSTN3|PAK6|ULK2|NEDD4L|ULK1|MACF1|NRCAM|RNF6|SYT17|VEGFA|NTRK3|PAK1|SEMA7A,dxSCZ:stratumdepleted
GOBP_NEURON_PROJECTION_EXTENSION_INVOLVED_IN_NEURON_PROJECTION_GUIDANCE,0.31267130508117225,0.8502401837928153,0.03458080819819102,-0.374370837573851,-1.1099926283402863,16,SEMA3A|NRP2|MEGF8|NRP1|VEGFA|SEMA5A|SLIT1,dxSCZ:stratumdepleted
GOBP_NEURON_PROJECTION_GUIDANCE,0.5444048225505179,0.938920914637883,0.021004411561293096,0.20604452845855847,0.96349929306644,156,FLRT2|ALCAM|SOS1|NRXN1|EPHB2|BOC|APBB2|EXT1|EFNA5|EPHA5|KIF21A|CHL1|EPHA6|RET|ABLIM1|PTPRO|CYFIP1|VAX1,dxSCZ:stratumdepleted
GOBP_NEURON_PROJECTION_MAINTENANCE,0.8076441102756893,0.990701765612598,0.01817090503069812,-0.2726641375511466,-0.7430069615042029,12,NMNAT1|NMNAT3|NMNAT2|DCTN1,dxSCZ:stratumdepleted
GOBP_NEURON_PROJECTION_ORGANIZATION,0.860328219764538,0.9948323365623336,0.014948877582047639,0.19001297931191877,0.7974507210076323,80,IL1RAPL1|GRIN2B|EPHB2|DTNBP1|PTEN|CTNND2|NLGN1|PICK1|MTMR2|ZDHHC15|TANC1|NGEF,dxSCZ:stratumdepleted
GOBP_NEURON_PROJECTION_REGENERATION,0.36680737613863584,0.8778427958564297,0.03244883785943566,-0.28042689754187805,-1.0499601713963396,39,PUM2|FIGNL2|GRN|EPHA4|NEO1|ULK1|NEFL|NTRK3|JUN|THY1|ADAM17|OMG|RTCA|NREP|MATN2|KREMEN1,dxSCZ:stratumdepleted
GOBP_NEURON_RECOGNITION,0.4163519217951566,0.8968762095858798,0.030047058097799832,-0.27147489660224056,-1.0164425433681,39,NTM|CNTN6|EPHA4|DSCAML1|MEGF8|NRP1|NRCAM|EMB|EPHB3|CNTN4|SEMA5A|NPTN|APP|CNTN2|AMIGO1,dxSCZ:stratumdepleted
GOBP_NEURON_REMODELING,0.8425409047160731,0.993416750874269,0.01635395769349795,0.27508338461033394,0.7088821405638701,11,NTN4|FARP2|ANKS1A|BCL11A|EDNRA,dxSCZ:stratumdepleted
GOBP_NEUROPEPTIDE_SIGNALING_PATHWAY,0.5016519823788547,0.9265321257579219,0.023528327280516886,0.28421541291161456,0.9692777511313555,30,OPRM1|OPRD1|TENM1|GLRA2|TYRO3|QRFPR|NXPH2|SORCS2|NMU,dxSCZ:stratumdepleted
GOBP_NEUROTRANSMITTER_GATED_ION_CHANNEL_CLUSTERING,0.4126231993934799,0.8968762095858798,0.027352609302624443,0.36371886981387747,1.0325350249020608,15,NRXN1|ZDHHC2|NLGN1|SLITRK3|LHFPL4|FRRS1L,dxSCZ:stratumdepleted
GOBP_NEUROTRANSMITTER_RECEPTOR_INTERNALIZATION,0.8175135135135135,0.9932161300836564,0.018504793842420052,-0.2256097090250617,-0.7740091233204403,27,SCRIB|AP2A2|SYT17|GSG1L|AP2S1|OPHN1|MDM2|RALA|CALY|LPAR1|ATAD1|HIP1,dxSCZ:stratumdepleted
GOBP_NEUROTRANSMITTER_RECEPTOR_LOCALIZATION_TO_POSTSYNAPTIC_SPECIALIZATION_MEMBRANE,0.20816864295125165,0.8024067104790845,0.044593371693071954,-0.33792989476236546,-1.18787762301403,30,CACNG7|LGI1|HRAS|DLG4,dxSCZ:stratumdepleted
GOBP_NEUROTRANSMITTER_RECEPTOR_TRANSPORT,0.1677295918367347,0.7727665715475353,0.04931054086047623,-0.39739291797254933,-1.2574082809690326,20,NSG1|ARHGAP44|SCRIB|RAB11A|RAB8A|GRIP1|SLC1A1|GRIPAP1,dxSCZ:stratumdepleted
