pathway,pval,padj,log2err,ES,NES,size,leadingEdge,signature,source
GOBP_ADAPTIVE_IMMUNE_RESPONSE,0.7280445741576015,0.922876248430875,0.023463335894760864,0.17981822660547706,0.9060324857301454,167,JAM3|STX7|ALCAM|KLRD1|HMGB1|MAP3K7|CADM1|CXCL13|AKIRIN2|HPRT1|IL6ST|CD8A|ZBTB1|TRIM27|OPA1|CD247|SLC22A13|RIPK2|CTNNBL1|C2|JAK3|SWAP70|RC3H2|DENND1B|C1S|RC3H1|SERPING1|ATAD5|TNFSF13B|STAT4|OTUD7B|NFKBIZ|CD55|RIF1|TSC1|JAK2|CTSS,depleted,C5:GO:BP
GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS,0.7992376111817027,0.9407554801227662,0.021302142433555656,0.17993438186504623,0.8671250506959912,125,STX7|KLRD1|HMGB1|MAP3K7|CADM1|CXCL13|HPRT1|IL6ST|CD8A|ZBTB1|OPA1|SLC22A13|RIPK2|C2|JAK3|SWAP70|RC3H2|DENND1B|C1S|RC3H1|SERPING1|ATAD5|TNFSF13B|STAT4|NFKBIZ|CD55|RIF1|JAK2,depleted,C5:GO:BP
GOBP_ADAPTIVE_THERMOGENESIS,0.6010354041416166,0.8915521265527147,0.019242467475837712,-0.21231314130357598,-0.9306945534555737,96,BOLA3|TFE3|CLSTN3|DYNC1H1|CKB|MFN2|SLC25A4|PRKAB1|PEMT|RHEB|SLC25A44|PCTP|PLCL2|PPARGC1A|FFAR4|FABP5|EHMT1|LIPA|ADIPOR2|SLC25A5|VEGFA|ADAM17|PPARGC1B|SMARCA4|ACHE|ACSL1|ADAMTS5,depleted,C5:GO:BP
GOBP_ADENYLATE_CYCLASE_ACTIVATING_ADRENERGIC_RECEPTOR_SIGNALING_PATHWAY,0.5646243775709028,0.8761192833248849,0.024291921715843816,0.33197015588359335,0.9239286335019706,12,ATP2B4,depleted,C5:GO:BP
GOBP_ADENYLATE_CYCLASE_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY,0.024332142249446995,0.3289609053497942,0.1199912983547285,-0.3484392730149341,-1.4579311726594442,74,ADGRB1|HTR4|GNB1|GPR61|ADGRB2|RACK1|PDE2A|ADCY1|DRD3|PRKAR1B|DGKQ|MRAP2|ADCYAP1R1|PDE10A|ADCY6|FFAR4|GPR161|LPAR1|ADCY5|GSK3A|MGRN1,depleted,C5:GO:BP
GOBP_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY,0.42201834862385323,0.8180880911324713,0.030860659389615068,0.2548495433317586,1.012448296656977,46,GRM1|HRH3|GPR176|EDNRA|PALM|GRM5|FLNA|HTR1E|CHRM2|GNAI1|PRMT5|GRM3|NPY1R|GNAO1,depleted,C5:GO:BP
GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY,0.5294508047121288,0.862726459386592,0.021076954637024123,-0.21388891605945948,-0.9670171339053473,117,ADGRB1|CHRM5|HTR4|GNB1|GPR61|ADGRB2|RACK1|PDE2A|ADCY1|DRD3|PRKAR1B|DGKQ|MRAP2|ADCYAP1R1|GRK5|PSAP|PDE10A|ADCY6|FFAR4|GPR161|LPAR1|ADCY5,depleted,C5:GO:BP
GOBP_ADHERENS_JUNCTION_ASSEMBLY,0.7921233512911016,0.9379057269962218,0.01673489421942348,-0.28042837259555925,-0.7551899097467054,12,VCL,depleted,C5:GO:BP
GOBP_ADHERENS_JUNCTION_ORGANIZATION,0.43841768871998615,0.8230560746403358,0.024741007076975456,-0.26063451189443365,-1.0056102152271724,49,VCL|CDH4|CDC42|CAMSAP3|DSP|KIFC3|ADD1|PIP5K1C|PLEC|MTSS1|BMP6|PLEKHA7|VEGFA,depleted,C5:GO:BP
GOBP_ADIPOSE_TISSUE_DEVELOPMENT,0.26334435521965044,0.719605812709261,0.04073585006982165,0.28506985494154674,1.1247737431208473,45,SPART|PPARG|ACAT1|DYRK1B|LRP5|PIK3CA|NCOA1|NCOA2|SH3PXD2B,depleted,C5:GO:BP
