pathway,source,k_cells,mean_NES,sd_NES,p_fisher,n_pos_NES,n_neg_NES,n_sig_per_ct,padj_fisher,stouffer_Z,p_stouffer,padj_stouffer
GOBP_VASCULAR_ASSOCIATED_SMOOTH_MUSCLE_CELL_DIFFERENTIATION,C5:GO:BP,13,-0.13733421512963503,1.0909071117409976,0.4937300185313182,6,7,0,0.741371638128918,-0.6893715897493261,0.49058945716434194,0.6027399749620462
GOBP_VASCULAR_ASSOCIATED_SMOOTH_MUSCLE_CELL_MIGRATION,C5:GO:BP,22,-0.17354077766331774,0.9587019009322624,0.9022202468678685,9,13,0,0.9943490541692773,-0.6902406272032977,0.49004287829104015,0.6022622242530855
GOBP_VASCULAR_ASSOCIATED_SMOOTH_MUSCLE_CELL_PROLIFERATION,C5:GO:BP,23,0.01654612372764288,1.17069188167477,0.03552635736867501,12,11,0,0.11211355009279796,-0.07243040927230585,0.9422593852414552,0.9608806149137392
GOBP_VASCULAR_ASSOCIATED_SMOOTH_MUSCLE_CONTRACTION,C5:GO:BP,20,-0.0650941090097867,0.9691483990991576,0.9337460811011921,9,11,0,0.9999994617856818,-0.09092687710168104,0.9275506938100336,0.949684182824141
GOBP_VASCULAR_ENDOTHELIAL_CELL_PROLIFERATION,C5:GO:BP,18,0.9849079051056594,0.5561408703371158,0.13108565209168052,17,1,0,0.2987414819594407,3.8624192774237747,1.1226966782656707e-4,5.292613908589461e-4
GOBP_VASCULAR_ENDOTHELIAL_CELL_RESPONSE_TO_FLUID_SHEAR_STRESS,C5:GO:BP,18,-0.38773178800383123,0.9616207797553887,0.7025266178220636,6,12,0,0.8971899298172408,-1.564334256195317,0.11773909130832519,0.1965836117887362
GOBP_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_PRODUCTION,C5:GO:BP,19,0.7463850156052549,0.9141333406637896,0.027804334411323284,15,4,0,0.09299583295540081,3.756810306090544,1.7209284459402836e-4,7.66339973273816e-4
GOBP_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY,C5:GO:BP,21,-0.3267833285222837,1.0011466063378442,0.47113669808199704,8,13,0,0.7196141926504424,-1.9339456292877915,0.05311981313352229,0.10241757457730617
GOBP_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_SIGNALING_PATHWAY,C5:GO:BP,20,-0.2938125833957918,1.0871493698679116,0.14121283663103193,7,13,0,0.31681622601386333,-1.028320679748443,0.30379900653076924,0.41826446960077246
GOBP_VASCULAR_PROCESS_IN_CIRCULATORY_SYSTEM,C5:GO:BP,23,-1.0588952379895888,0.6441911915272963,1.2277725643342143e-7,2,21,0,2.281386635966033e-6,-7.23399552491682,4.689872340950014e-13,1.5572415246884897e-11
GOBP_VASCULAR_TRANSPORT,C5:GO:BP,23,-1.0534667285714534,0.8023543327868587,1.8505158145373323e-8,3,20,0,4.0493952079145004e-7,-7.2001407840577665,6.015042116374658e-13,1.9220450478139443e-11
GOBP_VASCULAR_WOUND_HEALING,C5:GO:BP,6,-0.6159206761434,0.9859420448630617,0.2367395755226325,2,4,0,0.4599012328773678,-2.07800092124022,0.03770927429595952,0.0774155182253341
GOBP_VASCULATURE_DEVELOPMENT,C5:GO:BP,20,-0.391809692242231,1.062014689084346,1.5158815953525087e-4,7,13,1,0.0012583464938812077,-2.918641924248408,0.0035155980001697115,0.010495942895737327
GOBP_VASCULOGENESIS,C5:GO:BP,22,-0.14733763381994894,1.1125866049162563,0.07399615226515177,10,12,1,0.19683337333645562,-0.8984291778572743,0.36895678673727894,0.48766406720536504
GOBP_VASOCONSTRICTION,C5:GO:BP,23,-0.8302682377474649,0.6490097609986016,0.31735692214988664,2,21,0,0.5618529953174761,-3.343411330278114,8.275513592329842e-4,0.00301096223461758
GOBP_VASODILATION,C5:GO:BP,20,0.2348802661107213,1.049495532924072,0.42558876358835357,13,7,0,0.6754408536002195,0.3901783446680852,0.6964046735927647,0.7804024199894269
